,Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Front garden,Total number of floors,Age,New building,Renovation,Developer name,Project name,Kód jednotky,Administration fee,Investment Advisor
39,594659,"CZK 11,000",50.06888,14.433909,"Pod Zvonařkou, Prague - Vinohrady",Studio,30 m²,CZK 800,Partially furnished,1.0,No,No,Yes,No,No,No,No,10. 01. 2022,90.0,622,113,712,173,657,489,522,335,422.0,Good,"CZK 15,000",Personal,Brick building,C,Standard materials and solutions,,50 m²,Raised ground floor,30 to 50 years years,,Interior,,,,,
40,696924,"CZK 31,706",50.0183023,14.5625656,"Ibišková, Prague - Křeslice",4 bedroom with open-plan kitchen,180 m²,"CZK 10,569",Furnished,1.0,Yes,Yes,No,No,No,No,Yes,02. 01. 2022,695.0,843,921,,,,,,,,,,,,,,,,,,,,,,,,
41,690487,"CZK 15,334",50.0839446,14.4142188,"Karoliny Světlé, Prague - Staré Město",1 bedroom,29 m²,"CZK 5,111",Furnished,2.0,No,No,No,No,No,No,No,02. 01. 2022,121.0,731,23,390,14,376,531,533,489,221.0,,,,,,,,,,,,,,,,,
42,686749,"CZK 34,200",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,64 m²,"CZK 11,400",Furnished,3.0,Yes,Yes,No,No,No,Yes,No,02. 01. 2022,110.0,274,157,129,77,143,300,496,282,367.0,,,,,,,,,,,,,,,,,
43,596743,"CZK 11,500",50.042999,14.552268,"Nad Přehradou, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,45 m²,"CZK 3,500",Partially furnished,2.0,No,No,No,No,No,Yes,No,01. 01. 2022,249.0,423,281,797,647,716,414,496,463,70.0,Excellent,"CZK 15,000",Personal,Prefab concrete building,C,Standard materials and solutions,District heating,,Middle floor,1 to 10 years years,,Overall,,,,,
44,689531,"CZK 11,500",50.088,14.48924,"Na Rovnosti, Prague - Žižkov",1 bedroom with open-plan kitchen,44 m²,"CZK 2,500",Unfurnished,2.0,No,No,Yes,No,No,Yes,No,01. 11. 2021,212.0,659,274,675,203,664,620,464,264,588.0,Excellent,"CZK 11,500",Cooperative,Prefab concrete building,G,,District heating,,Middle floor,,,,,,,,
45,619815,"CZK 11,000",50.081986,14.625491,"Na Vaňhově, Prague - Běchovice",2 bedroom with open-plan kitchen,75 m²,"CZK 4,000",,,No,No,No,No,No,No,No,01. 02. 2022,220.0,437,659,742,793,853,686,896,,,Excellent,"CZK 15,000",,Other,C,,,,,,,,,,,,
46,344771,"CZK 14,000",50.1393916,14.5196612,"Miroslava Hajna, Prague - Letňany",1 bedroom with open-plan kitchen,45 m²,"CZK 3,500",Furnished,2.0,Yes,No,No,No,No,No,No,01. 01. 2022,420.0,536,"1,087","1,103",351,640,930,"1,114","1,191",151.0,,"CZK 20,000",Personal,Brick building,B,,,,,,Yes,,,,,,
47,697496,"CZK 18,000",50.08422,14.36744,"Bělohorská, Prague - Břevnov",2 bedroom,56 m²,"CZK 3,300",Partially furnished,2.0,Yes,No,Yes,No,No,Yes,No,01. 01. 2022,278.0,268,83,23,140,98,135,394,201,351.0,Excellent,"CZK 40,000",Personal,Brick building,G,,,,Middle floor,,,,,,,,
48,691910,"CZK 18,188",50.0717643,14.4385436,"Americká, Prague - Vinohrady",1 bedroom,43 m²,"CZK 6,062",Furnished,3.0,No,No,No,No,No,Yes,No,02. 01. 2022,272.0,322,70,607,60,509,83,250,792,565.0,,,,,,,,,,,,,,,,,
