Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Total number of floors,Condition,PENB,Age,Front garden,Renovation,New building,Administration fee,Developer name,Project name,Kód jednotky
674119,"CZK 11,000",50.0535,14.4193,"U Kublova, Prague - Podolí",Studio,29 m²,"CZK 1,000",Partially furnished,3,No,No,Yes,No,No,No,No,13. 02. 2022,197,758,83,579,111,776,561,"1,132",113,258,"CZK 22,000",Personal,Brick building,Premium materials and solutions,Other,Middle floor,Excellent,G,1 to 10 years years,,Overall,,,,,
432562,"CZK 23,000",50.1017809,14.4532674,"Tusarova, Prague - Holešovice",3 bedroom with open-plan kitchen,75 m²,"CZK 3,500",Furnished,2,No,No,No,No,No,No,No,01. 03. 2022,210,568,118,290,36,227,429,392,147,306,,Personal,Brick building,,Gas boiler,Middle floor,,,1 to 10 years years,50 m²,Overall,,,,,
551150,"CZK 13,000",50.1271977,14.4931374,"Šluknovská, Prague - Střížkov",1 bedroom with open-plan kitchen,43 m²,"CZK 2,800",Furnished,5,Yes,No,Yes,No,No,No,No,,285,667,252,566,164,237,404,181,978,72,"CZK 13,000",Personal,Prefab concrete building,,,,Excellent,,,,,,,,,
509090,"CZK 15,500",50.1087505,14.5266177,"Granitova, Prague - Hloubětín",1 bedroom with open-plan kitchen,50 m²,"CZK 3,500",Partially furnished,4,Yes,No,Yes,No,No,No,No,01. 04. 2022,208,"1,248",647,"1,229",911,"1,023","1,173",994,"1,121",456,"CZK 20,000",Personal,Low-energy building,Standard materials and solutions,,Middle floor,New build,,1 to 10 years years,,,,,,,
562848,"CZK 13,000",50.1264388,14.4213216,Prague - Troja,2 bedroom with open-plan kitchen,64 m²,"CZK 5,500",Furnished,3,No,No,Yes,No,No,Yes,No,01. 04. 2022,327,348,109,418,212,362,763,"1,068","1,172",401,"CZK 20,000",Cooperative,Prefab concrete building,Standard materials and solutions,,Middle floor,,,,,Exterior,,,,,
642088,"CZK 13,000",50.053542,14.419334,"U Kublova, Prague - Podolí",1 bedroom with open-plan kitchen,46 m²,"CZK 1,000",Partially furnished,1,No,No,Yes,No,No,No,No,13. 02. 2022,198,758,84,580,111,777,561,"1,132",114,258,"CZK 26,000",Personal,Brick building,Standard materials and solutions,Other,Ground floor,Excellent,G,1 to 10 years years,,Overall,,,,,
267731,"CZK 15,000",50.0804855,14.4598679,Prague - Žižkov,1 bedroom with open-plan kitchen,40 m²,"CZK 3,500",Furnished,1,No,No,Yes,No,No,No,No,14. 02. 2022,234,520,337,360,137,338,470,347,512,149,"CZK 20,000",Personal,Brick building,,District heating,,Excellent,,,,,,,,,
558665,"CZK 20,000",50.095872,14.4524339,"U Mlýnského kanálu, Prague - Karlín",1 bedroom with open-plan kitchen,66 m²,"CZK 4,500",Unfurnished,3,Yes,Yes,No,No,No,No,No,01. 03. 2022,280,585,260,260,159,397,724,553,587,,"CZK 40,000",Personal,Low-energy building,Standard materials and solutions,Central heating,Middle floor,New build,,1 to 10 years years,,,Yes,,,,
627179,"CZK 13,000",50.063704,14.438168,"Boleslavova, Prague - Nusle",Studio,32 m²,CZK 500,Furnished,1,No,No,Yes,No,No,Yes,No,01. 04. 2022,199,211,74,145,214,287,375,308,434,163,"CZK 12,000",Personal,Brick building,,Central heating,Raised ground floor,Excellent,G,,,,,,,,
504664,"CZK 18,500",50.0764113,14.4569736,"Slezská, Prague - Vinohrady",1 bedroom with open-plan kitchen,40 m²,"CZK 1,198",Partially furnished,4,No,No,No,No,No,Yes,No,10. 01. 2022,166,470,133,154,179,372,252,456,839,375,"CZK 18,500",Personal,Brick building,,Gas boiler,Middle floor,,,,,,,,,,
