Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Floor space,Fully furnished,Condition,Ownership,Heating,Balcony,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Enclosed balcony,Cellar,Reconstruction,Designe,New-build,Parking,Domácí mazlíčci vítáni,Age,Garage,Terrace,Administrative fee
"CZK 24,500","CZK 3,900","CZK 28,400",647743,2+kk,9/20/2022,6,Brick,52 m²,Fully furnished,Very good,Personal,Central,,1.0,321.74,272.42,32.18,227.85,42.93,69.06,244.65,812.35,163.33,572.38,"Opletalova, Prague - Nové Město",50.0814214,14.4299039,D,,,Complete,Luxurious,,1.0,,,,1.0,
"CZK 6,000","CZK 1,000","CZK 11,000",736716,3+1,9/12/2022,1,Brick,30 m²,Partly,Good,,,1.0,,377.25,753.08,261.66,548.17,290.84,743.07,518.13,1036.84,152.09,363.49,Prague - Podolí,50.05343,14.42159,A,1.0,1.0,,,,1.0,1.0,,1.0,1.0,
"CZK 23,500","CZK 5,300","CZK 40,000",736366,3+kk,11/1/2022,4,Prefab concrete,73 m²,Partly,Very good,,Central,,1.0,323.41,762.05,330.66,685.11,338.94,572.48,543.73,248.59,403.57,40.43,Prague - Řepy,50.06796,14.30066,G,1.0,1.0,Complete,Standard,,,,,,,
"CZK 18,000","CZK 4,000","CZK 36,000",740930,2+kk,9/17/2022,2,Brick,53 m²,Fully furnished,Very good,,,,1.0,6.24,392.61,38.89,2154.55,90.72,666.69,280.25,504.96,1353.16,351.21,Prague - Braník,50.03978,14.41051,G,,1.0,,,,,,,,,
"CZK 11,000","CZK 2,000","CZK 15,000",740927,Small studio,9/17/2022,1,Brick,23 m²,Fully furnished,Very good,,,,,55.77,345.48,290.8,602.74,199.66,809.42,431.8,418.42,156.81,207.09,Prague - Záběhlice,50.05656,14.5056,G,,1.0,,,,,,,,,
"CZK 28,000","CZK 4,500","CZK 28,000",740636,1 bedroom,10/11/2022,3,Brick,58 m²,Fully furnished,Very good,,,,1.0,233.47,437.35,169.28,279.19,158.02,212.34,325.01,370.86,210.14,428.9,Prague - Vršovice,50.0674,14.4519,C,,,,,,1.0,,,1.0,,
"CZK 12,000","CZK 3,200","CZK 15,200",732486,Studio,11/25/2022,1,Brick,38 m²,Partly,Very good,,,,,29.62,74.69,161.27,2384.66,205.43,349.84,301.39,274.67,1230.51,244.29,Prague - Braník,50.03619,14.41129,G,,1.0,,,,,,,,,
"CZK 15,000","CZK 2,000","CZK 20,000",721165,1 bedroom,9/23/2022,4,Prefab concrete,35 m²,Partly,Very good,,Central,1.0,1.0,266.46,625.11,302.2,805.82,574.18,360.82,489.87,869.4,394.92,111.19,Prague - Záběhlice,50.05945,14.49588,G,,,Complete,,,1.0,,,,,
"CZK 18,500","CZK 2,500","CZK 30,000",612997,2+kk,9/1/2022,2,Prefab concrete,43 m²,Partly,Very good,Personal,Central,,,345.81,1564.53,580.73,1494.4,665.07,1339.74,266.38,953.97,2333.89,265.06,"Dolákova, Prague - Bohnice",50.134462,14.409814,C,,,Complete,,,1.0,,,,,
"CZK 23,100","CZK 5,000","CZK 40,000",732565,2+kk,10/1/2022,3,Other,58 m²,Partly,New-build,Personal,Central,,1.0,345.23,1172.16,708.71,1335.11,118.68,1025.21,877.35,1167.12,43.97,292.3,"Cukrovarnická, Prague - Střešovice",50.094640315475,14.368989679002,B,1.0,1.0,Complete,Luxurious,1.0,,,Up to 10 years,1.0,,
