Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Heating,Total number of floors,Renovation,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
717443,"CZK 13,200",50.06958,14.44909,"Na Královce, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,40 m²,"CZK 1,500","CZK 26,400",Personal,Brick building,Partially furnished,4,No,No,No,No,No,No,No,01. 08. 2022,G,225,748,294,294,202,350,277,446,472,214,,,,,,,,,,,,
671695,"CZK 11,500",50.02399,14.41221,"Půlnoční, Prague - Hodkovičky",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,500","CZK 15,000",Personal,Brick building,Unfurnished,1,No,No,Yes,No,Yes,No,No,15. 05. 2022,G,362,"1,455",700,"1,164",417,"1,364",913,427,,,,,,,,,,,,,,
718233,"CZK 17,000",50.04783,14.55994,"Boloňská, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 3,000","CZK 20,000",Personal,Prefab concrete building,Furnished,6,Yes,No,No,No,No,No,No,15. 05. 2022,G,349,959,491,"1,037",69,"1,104",231,238,749,84,,Standard materials and solutions,District heating,,Overall,,,,,,,
573409,"CZK 14,400",50.0993953,14.4314036,"Milady Horákové, Prague - Holešovice",Studio,Excellent,36 m²,"CZK 3,900","CZK 18,300",Personal,Brick building,Furnished,4,No,No,No,No,No,No,No,,C,99,631,70,39,99,66,172,86,417,,,Premium materials and solutions,Central heating,,Overall,,,,,,,
718236,"CZK 13,000",50.10588,14.57326,"Generála Janouška, Prague - Černý Most",1 bedroom with open-plan kitchen,Good,45 m²,"CZK 4,500","CZK 26,000",Personal,Prefab concrete building,Partially furnished,2,No,No,Yes,No,No,Yes,No,01. 07. 2022,G,122,"1,049",91,541,180,203,511,419,206,,,,,,,,,,,,,
664352,"CZK 39,000",50.07791,14.40697,"Zborovská, Prague - Smíchov",4 bedroom,Excellent,110 m²,"CZK 3,500","CZK 39,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,19. 06. 2021,C,232,350,216,307,105,392,257,918,738,420,,,Gas boiler,Raised ground floor,Interior,,,,,,,
718126,"CZK 12,000",50.0498395,14.344615021782,Prague - Stodůlky,Studio,Excellent,35 m²,"CZK 4,500","CZK 20,000",Cooperative,Prefab concrete building,Furnished,15,No,No,Yes,No,Yes,Yes,No,09. 05. 2022,G,264,337,142,126,180,152,252,292,"1,105",248,,,,,,,,,,,,
673049,"CZK 16,000",50.0392667,14.3313304,Prague - Stodůlky,1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 4,000","CZK 16,000",Cooperative,Brick building,Partially furnished,1,No,No,No,No,No,No,No,15. 05. 2022,C,340,883,374,854,434,493,633,"1,044",370,422,,,,,,,,,,,,
718227,"CZK 22,000",50.11934,14.48602,"Žitenická, Prague - Prosek",1 bedroom with open-plan kitchen,New build,57 m²,"CZK 4,900","CZK 22,000",Personal,Brick building,Furnished,3,Yes,Yes,Yes,No,Yes,Yes,No,11. 07. 2022,B,249,"1,143",305,"1,082",519,742,125,534,715,320,,,,,,,,,,,,
563117,"CZK 16,000",50.1409392,14.5191286,Prague - Letňany,1 bedroom with open-plan kitchen,,43 m²,"CZK 3,500","CZK 20,000",Personal,Low-energy building,Furnished,4,Yes,No,Yes,No,No,No,Yes,19. 05. 2022,,374,654,"1,038","1,241",246,778,"1,013",951,"1,202",240,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,,Yes,,,,,,
718219,"CZK 23,700",49.99877,14.50837,"Radešovská, Prague - Šeberov",3 bedroom with open-plan kitchen,Excellent,96 m²,"CZK 5,800","CZK 47,400",Personal,Brick building,Furnished,1,Yes,Yes,No,No,Yes,No,No,01. 08. 2022,B,"1,057","1,144","1,055","1,096",,,,,,,,,,,,,,,,,,
718218,"CZK 41,175",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",1 bedroom with open-plan kitchen,,45 m²,"CZK 13,725",,,,Furnished,2,No,No,No,No,No,Yes,No,16. 05. 2022,,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,
718217,"CZK 15,490",50.04595583333,14.33654833333,"Modrá, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 2,141","CZK 17,631",Personal,Prefab concrete building,Furnished,6,No,No,Yes,No,No,Yes,No,,G,308,443,305,472,347,464,437,269,440,182,,,,,,,,"CZK 17,631

                                
                                
                
i",,,,
150673,"CZK 10,998",50.0586898,14.2826339,"Tulešická, Prague - Zličín",Studio,,31 m²,"CZK 3,000","CZK 19,000",Other,Brick building,Furnished,1,No,No,No,No,No,No,No,,,354,821,844,774,799,898,246,"1,120",86,,,,,,,,,,,,,
568565,"CZK 16,000",50.0710169,14.4493407,"Černomořská, Prague - Vršovice",1 bedroom with open-plan kitchen,,42 m²,CZK 650,"CZK 25,000",Personal,Brick building,Furnished,2,No,No,Yes,No,No,No,No,01. 07. 2022,,238,775,246,322,154,512,292,531,296,389,,,,,,,,,,,,
200313,"CZK 17,000",50.0963583,14.3570728,"Africká, Prague - Vokovice",Studio,,41 m²,"CZK 3,000","CZK 34,000",Personal,Brick building,Furnished,,Yes,No,No,No,No,No,No,,,334,366,231,255,280,229,299,516,"1,057",106,1 to 10 years years,Standard materials and solutions,District heating,Ground floor,Overall,,10 m²,,,,,
518108,"CZK 25,000",50.06799,14.30409,"Španielova, Prague - Řepy",3 bedroom,,80 m²,"CZK 7,000","CZK 40,000",Personal,Prefab concrete building,Partially furnished,3,Yes,No,No,No,No,Yes,No,01. 06. 2022,D,394,985,398,947,373,624,468,316,516,,,,District heating,Middle floor,,,,,,,,
593841,"CZK 20,000",50.086497,14.503346,"Univerzitní, Prague - Malešice",1 bedroom with open-plan kitchen,New build,56 m²,"CZK 4,500","CZK 20,000",Personal,Brick building,Partially furnished,3,Yes,No,No,No,Yes,Yes,Yes,20. 05. 2022,G,283,734,764,834,562,939,698,504,770,448,1 to 10 years years,Standard materials and solutions,District heating,Middle floor,,Yes,,,,,,
