Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Renovation,PENB,Age,Total number of floors,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
709127,"CZK 9,800",50.03593,14.31928,"Všerubská, Prague - Řeporyje",Studio,30 m²,,Partially furnished,1,No,No,No,No,Yes,No,No,01. 04. 2022,339,772,"1,215","1,428",523,408,"1,128","1,007",534,,Excellent,"CZK 9,800",Personal,Brick building,,District heating,,A,,Ground floor,,,,,,,
633794,"CZK 15,000",50.062045,14.558137,"Armádního sboru, Prague - Dolní Měcholupy",2 bedroom with open-plan kitchen,60 m²,"CZK 4,000",Partially furnished,,No,No,Yes,No,No,No,No,01. 04. 2022,256,474,665,195,"1,255",184,832,,,,Excellent,"CZK 15,000",Personal,Brick building,,,,G,,,,,,,,,
368598,"CZK 21,900",50.07371,14.44602,"Chodská, Prague - Vinohrady",2 bedroom,85 m²,"CZK 2,900",Partially furnished,2,No,No,No,No,No,No,No,,285,298,243,651,208,556,477,272,379,166,,"CZK 24,800",Personal,Brick building,Standard materials and solutions,Gas boiler,Overall,,,Middle floor,,,,,,,
6603,"CZK 15,000",50.0784218,14.4567023,"Radhošťská, Prague - Žižkov",1 bedroom,38 m²,"CZK 4,000",Furnished,3,No,No,Yes,No,No,Yes,No,01. 04. 2022,317,593,314,727,260,515,382,435,286,406,Excellent,"CZK 25,000",Personal,Brick building,Premium materials and solutions,Electric boiler,Overall,,10 to 30 years years,Middle floor,,,,,,,
501751,"CZK 12,500",50.0750204,14.4851619,"Krátká, Prague - Vinohrady",Small studio,35 m²,"CZK 1,000",Partially furnished,1,No,No,No,No,No,No,No,01. 03. 2022,349,587,154,439,345,461,588,588,970,286,,"CZK 13,500",Personal,Brick building,,,Interior,,,,,,,,,,
708351,"CZK 28,500",50.14071,14.51963,"Škrábkových, Prague - Letňany",3 bedroom with open-plan kitchen,99 m²,"CZK 5,039",Partially furnished,6,Yes,No,Yes,No,No,Yes,Yes,01. 03. 2022,365,602,"1,050","1,188",215,726,"1,002",967,"1,171",209,New build,"CZK 28,500",Personal,Brick building,,,,B,,,,,,,,,
384994,"CZK 11,000",50.052758,14.3026567,"Kopanina, Prague - Stodůlky",1 bedroom with open-plan kitchen,37 m²,"CZK 2,000",Partially furnished,2,No,No,No,No,No,No,No,,672,760,"1,450","1,300",607,,,,,,,,Personal,Brick building,,,,,,,,,,,,,
549603,"CZK 20,000",50.0587913,14.3939796,"Pechlátova, Prague - Radlice",1 bedroom with open-plan kitchen,55 m²,"CZK 5,000",Furnished,6,Yes,Yes,Yes,No,No,Yes,Yes,,162,579,477,496,451,776,212,861,168,46,New build,"CZK 25,000",Personal,Brick building,,Central heating,,,,,Yes,,,,,,
645454,"CZK 11,500",50.126732,14.411453,"Krynická, Prague - Troja",1 bedroom,32 m²,"CZK 3,000",Partially furnished,1,No,No,Yes,No,No,Yes,No,01. 04. 2022,234,619,117,554,554,411,418,75,143,,Excellent,"CZK 29,000",Personal,Prefab concrete building,Standard materials and solutions,District heating,Overall,G,,Middle floor,,,,,,,
699413,"CZK 34,000",50.07847,14.42443,"Školská, Prague - Nové Město",1 bedroom with open-plan kitchen,80 m²,"CZK 4,627",Furnished,5,Yes,Yes,No,No,No,Yes,No,01. 04. 2022,265,776,62,201,0,278,221,459,442,396,Excellent,"CZK 60,000",Personal,Brick building,Premium materials and solutions,Central heating,Overall,G,,Top floor,,,,,,,
706124,"CZK 12,000",50.08898,14.30448,"U Valu, Prague - Ruzyně",1 bedroom with open-plan kitchen,45 m²,"CZK 3,500",Furnished,3,No,No,No,No,Yes,Yes,No,15. 03. 2022,225,486,448,435,346,492,357,"1,259",47,,Excellent,"CZK 15,500",Personal,Prefab concrete building,Standard materials and solutions,District heating,Overall,B,,,,,,,,,
709118,"CZK 15,000",50.0718599,14.4069708,"Staropramenná, Prague - Smíchov",Small studio,30 m²,,Furnished,1,No,No,No,No,No,No,No,03. 03. 2022,84,431,29,122,32,316,525,"1,005","1,152",639,Excellent,"CZK 15,000",Personal,Brick building,,,,G,,,,,,,,,
709119,"CZK 16,000",50.10268,14.43487,"Schnirchova, Prague - Holešovice",1 bedroom with open-plan kitchen,61 m²,"CZK 6,000",Partially furnished,5,No,Yes,No,No,No,Yes,No,03. 03. 2022,267,800,35,312,42,194,339,488,988,,Excellent,"CZK 16,000",Personal,Brick building,,,,G,,,,,,,,,
709115,"CZK 11,475",50.0455184,14.4554688,"Bítovská, Prague - Michle",Studio,23 m²,"CZK 3,825",Furnished,9,No,No,No,No,No,Yes,No,05. 03. 2022,276,470,425,528,262,500,439,294,381,57,,,,,,,,,,,,,,,,,
709114,"CZK 17,000",50.0482779,14.3022689,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,58 m²,"CZK 4,000",Partially furnished,2,Yes,No,No,No,Yes,Yes,Yes,03. 03. 2022,419,363,210,351,"1,148","1,116",743,904,84,,Excellent,"CZK 21,000",Personal,Brick building,,,,C,,,,,,,,,
709113,"CZK 15,800",50.08694,14.34524,"Brunclíkova, Prague - Břevnov",2 bedroom,53 m²,"CZK 3,400",Furnished,5,Yes,No,No,Yes,No,Yes,No,01. 04. 2022,128,491,177,252,177,270,235,100,583,76,Excellent,"CZK 38,400",Personal,Prefab concrete building,,,,E,,,,,,,,,
709110,"CZK 12,990",50.10302305555,14.51165444444,"Poděbradská, Prague - Vysočany",Studio,33 m²,"CZK 2,139",Partially furnished,1,Yes,No,No,No,No,Yes,No,,137,407,"1,155",771,446,538,"1,265",988,380,,New build,"CZK 15,309",Personal,Other,,,,B,,,Yes,,"CZK 15,309

                                
                                
                
i",,,,
709109,"CZK 12,900",50.06824,14.39848,"Astlova, Prague - Smíchov",Studio,22 m²,"CZK 1,500",Partially furnished,2,No,No,Yes,No,Yes,No,No,03. 03. 2022,230,104,97,469,73,191,324,536,661,319,Excellent,"CZK 25,000",Personal,Brick building,,,,G,,,,,,,,,
