Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Heating,Condition,Ownership,Age,Balcony,Parking,New-build,Terrace,Reconstruction,EPC,Designe,Cellar,Garage,Domácí mazlíčci vítáni,Enclosed balcony,Administrative fee
"CZK 25,000","CZK 4,000",731508,2 bedroom,10/1/2022,85 m²,Unfurnished,1,,223.5,588.45,113.57,276.92,0.0,88.29,193.47,741.77,211.16,180.39,Prague - Dejvice,50.09862,14.40305,"CZK 60,000",Brick,,Very good,,,,,,,,G,,,1.0,,,
"CZK 20,000","CZK 4,000",731506,2 bedroom,9/1/2022,68 m²,Unfurnished,2,1.0,305.62,694.43,288.34,374.11,261.86,266.88,457.5,212.4,412.68,424.6,Prague - Smíchov,50.07161,14.36977,"CZK 40,000",Prefab concrete,,Good,,,,,,,,B,,1.0,,,1.0,
"CZK 23,000","CZK 7,000",731507,3+1,8/28/2022,66 m²,Fully furnished,3,,199.34,1023.1,265.48,256.51,226.86,211.17,301.03,632.44,786.26,415.63,Prague - Kobylisy,50.12522,14.45319,"CZK 30,000",Brick,,Very good,,,1.0,,,,,G,,,,,,
"CZK 18,000","CZK 5,800",731505,2+kk,8/28/2022,71 m²,Fully furnished,2,1.0,289.8,536.3,1183.52,1095.66,655.3,632.89,924.42,1308.94,552.21,216.82,Prague - Letňany,50.13765,14.52178,"CZK 36,000",Brick,,New-build,,,1.0,,1.0,,,B,,1.0,1.0,,,
"CZK 18,000","CZK 1,000",380919,2 bedroom,,68 m²,Partly,4,,134.35,703.62,295.83,129.71,179.94,179.33,384.73,268.03,283.24,350.29,"Kouřimská, Prague - Vinohrady",50.0776961,14.4719023,"CZK 18,000",Brick,Electric boiler,,Cooperative,,1.0,,,,,,,1.0,,,,
"CZK 21,500","CZK 4,000",725359,2 bedroom,8/28/2022,80 m²,Partly,1,,379.01,2220.31,438.76,1628.78,367.87,1674.19,2055.82,2977.16,401.69,189.22,Prague - Hostavice,50.08462,14.55603,"CZK 43,000",Brick,,Very good,Personal,10 to 30 years,1.0,1.0,,1.0,,,Luxurious,,,,,
"CZK 19,500","CZK 4,000",731500,2+kk,8/28/2022,56 m²,Fully furnished,3,,209.2,203.62,121.84,164.25,117.73,226.53,317.15,606.56,494.08,264.58,Prague - Dejvice,50.09802,14.39842,"CZK 20,000",Brick,,Good,,,,,,,,G,,1.0,,,,
"CZK 14,000","CZK 4,000",678488,2 bedroom,9/1/2022,53 m²,Fully furnished,2,,78.03,383.9,92.18,175.57,466.9,245.42,117.37,209.6,941.96,59.8,"Na Okraji, Prague - Veleslavín",50.09024,14.34522,"CZK 28,000",Brick,Distance,Good,Personal,,,,,,,G,,1.0,,,,
"CZK 19,500","CZK 3,940",731437,2 bedroom,9/1/2022,54 m²,Partly,3,,65.28,370.35,165.49,192.24,245.23,107.2,449.59,579.16,1092.76,101.85,Prague - Malešice,50.08066,14.50205,"CZK 39,000",Prefab concrete,,Very good,,,,,,,,D,,1.0,,,1.0,
"CZK 28,000","CZK 3,000",681871,2+kk,10/1/2022,50 m²,Fully furnished,2,1.0,181.84,271.59,65.24,146.03,134.72,180.18,306.17,594.3,353.1,492.87,"Dobrovského, Prague - Holešovice",50.09897,14.42431,"CZK 28,000",Brick,,New-build,Personal,,,,,,,G,,,,,,
"CZK 16,000","CZK 3,595",731479,2+kk,8/28/2022,40 m²,Fully furnished,4,1.0,459.8,1110.86,502.7,1501.69,570.24,539.31,601.66,1224.16,499.64,481.65,Prague - Záběhlice,50.05668,14.48888,"CZK 32,000",Other,,Very good,,Up to 10 years,1.0,,,,,G,Standard,,,,,
"CZK 21,000","CZK 5,800",731495,3+kk,9/1/2022,75 m²,Partly,2,,266.82,2166.01,301.87,348.17,45.67,396.73,2057.76,475.39,3963.6,1126.14,Prague - Zbraslav,49.97863,14.39433,"CZK 42,000",Brick,,Very good,,,,1.0,,,,G,,1.0,,,,
"CZK 17,000","CZK 2,900",577315,1 bedroom,10/1/2022,44 m²,Partly,5,1.0,101.5,233.6,160.63,657.65,29.75,212.08,177.41,177.41,167.68,129.6,"Kubánské náměstí, Prague - Vršovice",50.0696675,14.4779908,"CZK 34,000",Brick,Central,Very good,Personal,,,,,,,G,,,,,,
"CZK 20,000","CZK 3,500",730536,2+kk,9/1/2022,65 m²,Fully furnished,1,,467.09,1003.0,522.43,1785.3,521.26,624.12,460.18,394.67,481.92,205.34,Prague - Libuš,50.01273,14.44535,"CZK 40,000",Brick,,Very good,,,,,,1.0,,D,,,,,,
"CZK 23,000","CZK 6,000",727258,2+kk,8/1/2022,70 m²,Partly,1,,88.95,789.5,107.34,385.25,116.2,179.24,235.81,308.48,462.3,315.43,"Na Pěšinách, Prague - Kobylisy",50.1250528,14.4573336,"CZK 23,000",Brick,,New-build,,,,,1.0,1.0,,C,Luxurious,1.0,,,,
"CZK 18,000","CZK 5,000",683172,2+kk,8/16/2022,55 m²,Partly,5,,300.02,346.31,242.92,505.85,74.44,510.98,211.05,158.51,186.03,232.81,"Písecká, Prague - Vinohrady",50.0763515,14.4651577,"CZK 36,000",Brick,Gas boiler,Very good,Personal,Over 50 years,,,,,Complete,G,Standard,1.0,,,,
"CZK 14,500","CZK 1,500",407973,1 bedroom,10/1/2022,42 m²,Fully furnished,4,,267.72,411.12,158.25,820.92,224.92,282.86,548.34,423.55,621.23,195.96,"V Olšinách, Prague - Vršovice",50.0712949,14.4820543,"CZK 16,000",Brick,Electric boiler,,Personal,,,,,1.0,Interior,,,,,,,
"CZK 23,000","CZK 5,000",639729,2+kk,8/5/2021,40 m²,Fully furnished,1,,63.42,536.25,170.33,317.15,153.02,375.33,210.02,451.41,358.31,265.66,"Jilemnického, Prague - Bubeneč",50.100138,14.401621,"CZK 23,000",Brick,Electric boiler,Very good,Personal,,,,,,Complete,D,,,,,,
"CZK 26,000","CZK 4,000",730957,3+1,10/1/2022,78 m²,Fully furnished,4,1.0,229.29,267.2,191.71,497.58,0.14,344.3,161.61,153.41,836.91,649.72,Prague - Vinohrady,50.07265,14.43826,"CZK 26,000",Brick,,Good,,,,,,,,E,,,,,,
"CZK 13,500","CZK 2,826",730746,Studio,9/1/2022,29 m²,Fully furnished,3,1.0,207.73,569.54,301.26,370.44,171.38,378.02,505.22,643.85,770.01,187.08,Prague - Libeň,50.1252,14.46909,"CZK 27,000",Brick,,Very good,,,,,1.0,,,G,,1.0,,,,
"CZK 24,000","CZK 2,500",658687,2+kk,9/1/2022,59 m²,Fully furnished,5,1.0,360.18,307.48,138.21,231.62,151.3,290.16,315.54,832.17,205.65,218.51,"U Studánky, Prague - Bubeneč",50.10168,14.4242,"CZK 48,000",Brick,Gas boiler,Very good,Personal,,,,,,,,Luxurious,,,,,
"CZK 16,000","CZK 3,500",632492,2+kk,9/1/2022,45 m²,Fully furnished,3,,180.84,1467.25,271.5,852.64,399.48,346.38,711.86,504.96,620.18,331.51,"Šestidomí, Prague - Bubeneč",50.111335,14.39601,"CZK 19,500",Brick,Distance,Very good,Personal,,,,,,Complete,G,Standard,1.0,1.0,,,
"CZK 13,300","CZK 2,700",558315,Studio,10/1/2022,27 m²,Fully furnished,1,1.0,235.42,1472.13,168.49,1354.89,681.99,789.99,410.75,252.5,565.0,240.54,"Hasova, Prague - Modřany",50.0133907,14.4273209,"CZK 18,000",Prefab concrete,,,Cooperative,,,1.0,,,Complete,,Luxurious,1.0,,,1.0,
"CZK 13,000","CZK 3,900",731477,2+kk,8/28/2022,78 m²,Partly,4,,204.8,446.28,449.22,3187.79,516.45,828.55,506.87,1257.98,723.05,107.66,Prague - Čakovice,50.14869,14.52334,"CZK 26,000",Brick,,Very good,,,,1.0,,,,D,,,,,,
"CZK 16,000","CZK 4,500",731478,2 bedroom,8/28/2022,49 m²,Unfurnished,4,,160.48,736.74,144.27,235.22,182.93,242.7,256.6,618.57,317.27,210.52,Prague - Libeň,50.10629,14.4718,"CZK 16,000",Brick,,Very good,,,1.0,,,,,G,,,,,,
"CZK 20,500","CZK 1,400",729511,2 bedroom,8/11/2022,57 m²,Partly,2,1.0,267.75,1301.32,208.94,1122.02,496.69,676.19,348.18,214.56,1000.15,110.09,Prague - Strašnice,50.07119,14.50355,"CZK 41,000",Brick,Central,Very good,,,,,,,Interior,,,1.0,,,,
"CZK 18,500","CZK 3,500",730591,2+kk,8/20/2022,42 m²,Partly,11,1.0,225.25,509.23,210.61,197.57,313.05,374.5,333.7,365.29,434.6,205.29,Prague - Háje,50.0292,14.53153,"CZK 37,000",Prefab concrete,,Very good,,,,,,,,A,,1.0,,,,
"CZK 20,490",CZK 600,731474,2+kk,10/1/2022,42 m²,Partly,3,,190.75,151.92,127.06,31.18,19.84,193.59,305.45,576.56,542.95,620.99,Prague - Vinohrady,50.07554,14.4342,"CZK 35,000",Brick,,Very good,,,,,,,,A,,1.0,,,,
"CZK 17,000","CZK 2,900",730677,2+kk,9/1/2022,48 m²,Partly,3,1.0,127.28,833.45,0.95,1967.51,86.67,787.29,490.85,1036.75,847.71,404.51,Prague - Kyje,50.10906,14.55753,"CZK 40,000",Brick,,Very good,,,1.0,,,,,C,,1.0,1.0,,,
"CZK 15,000","CZK 3,800",731465,2 bedroom,9/1/2022,54 m²,Unfurnished,2,1.0,86.72,476.76,163.13,237.8,133.73,255.57,249.04,86.34,615.01,90.18,Prague - Břevnov,50.08706,14.34518,"CZK 30,000",Prefab concrete,,Good,,,,,,,,G,,1.0,,1.0,1.0,
"CZK 13,000","CZK 3,000",731470,Studio,8/28/2022,42 m²,Partly,4,,210.8,379.3,213.56,309.17,288.89,375.83,443.2,610.78,1498.02,164.09,Prague - Bohnice,50.12909,14.41563,"CZK 15,000",Prefab concrete,Central,Very good,,,,,,,Complete,G,Standard,,,,1.0,
"CZK 20,000","CZK 4,900",486388,2+kk,10/1/2022,70 m²,Fully furnished,2,,121.36,784.7,346.8,960.08,589.09,899.5,373.04,268.68,423.1,127.11,"Na Vršku, Prague - Smíchov",50.0745045,14.3736779,"CZK 24,900",Brick,Central,Very good,Personal,,,,,,Interior,,Luxurious,,,,,
"CZK 10,000","CZK 4,000",485483,Studio,1/1/2021,24 m²,Partly,1,,238.79,1182.2,322.05,1037.62,0.13,694.74,895.99,537.45,1022.62,376.81,"Mašínova, Prague - Kobylisy",50.130805,14.45657,CZK 2,Brick,,,Personal,,,,,,,,,,,,,
"CZK 14,500",CZK 900,627404,Studio,8/30/2022,23 m²,Fully furnished,2,,362.81,259.2,126.77,286.13,118.18,279.99,159.44,215.84,295.88,466.72,"Vlkova, Prague - Žižkov",50.083992,14.448523,"CZK 20,000",Brick,Central,Very good,Personal,Up to 10 years,,,,,Complete,A,Standard,,,,,
"CZK 14,000",CZK 0,619337,Studio,10/1/2022,30 m²,Fully furnished,10,1.0,474.8,735.23,455.41,409.77,278.71,696.77,513.44,390.75,684.01,221.88,"Freyova, Prague - Vysočany",50.105327,14.50215,"CZK 14,000",Prefab concrete,Central,Very good,Personal,Up to 10 years,,,,,,A,Standard,,,,,
"CZK 13,500","CZK 4,000",727571,2 bedroom,9/1/2022,54 m²,Partly,4,,163.71,536.01,341.23,457.12,274.45,408.39,674.65,441.76,1026.37,118.68,Prague - Malešice,50.08159,14.5055,"CZK 20,000",Prefab concrete,,Good,Cooperative,,,,,,,G,,1.0,,,,
"CZK 22,900","CZK 4,900",693228,3+1,9/2/2022,85 m²,Fully furnished,2,1.0,323.9,275.24,213.18,913.28,302.9,398.76,768.26,322.45,576.93,141.01,"Vackova, Prague - Stodůlky",50.04527,14.31046,"CZK 40,000",Prefab concrete,Central,Very good,Personal,,,1.0,,,Complete,B,,1.0,,,1.0,
"CZK 19,000","CZK 3,500",731463,2+kk,8/28/2022,51 m²,Partly,1,1.0,195.46,2011.74,403.23,413.65,552.57,498.18,520.3,1787.48,734.11,161.58,Prague - Třebonice,50.05605,14.29156,"CZK 30,000",Brick,,New-build,,,1.0,1.0,1.0,,,B,,1.0,,,,
"CZK 25,000","CZK 4,000",389695,3+1,10/1/2022,103 m²,Partly,4,1.0,213.95,640.16,267.15,268.06,207.81,187.11,185.54,362.22,1395.5,129.39,"Nušlova, Prague - Stodůlky",50.0529616,14.3490188,"CZK 29,000",Prefab concrete,Central,,Personal,,1.0,,,,,C,,,,,1.0,
"CZK 17,000","CZK 3,000",623792,Studio,9/1/2020,44 m²,Fully furnished,3,,164.84,409.94,161.23,292.86,159.42,240.26,385.46,455.03,185.97,161.28,"Anežská, Prague - Staré Město",50.091925,14.423863,"CZK 30,000",Brick,Gas boiler,Very good,Personal,,,,,,Complete,B,Luxurious,,,,,
"CZK 15,000","CZK 3,000",644784,Studio,10/30/2022,38 m²,Fully furnished,2,1.0,36.85,193.63,41.55,92.16,45.28,4.26,159.78,261.92,185.7,236.1,"Dlouhá, Prague - Staré Město",50.090309,14.426676,"CZK 25,000",Brick,Distance,Very good,Personal,,,,,,,B,,,,,,
"CZK 28,800","CZK 5,800",566375,2 bedroom,9/1/2022,65 m²,Fully furnished,1,1.0,124.79,451.96,157.36,293.51,128.12,183.56,213.19,293.47,135.81,471.93,"Mánesova, Prague - Vinohrady",50.0779063,14.4417343,"CZK 45,000",Brick,Gas boiler,,Personal,,1.0,,,,,G,,,,,,
