Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Total number of floors,PENB,Renovation,Age,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
598710,"CZK 14,000",50.067076,14.434086,"Sarajevská, Prague - Vinohrady",1 bedroom with open-plan kitchen,40 m²,"CZK 1,260",Partially furnished,4,No,No,No,No,No,No,No,01. 04. 2022,366,716,255,768,234,489,490,543,261,380,Excellent,"CZK 16,000",Personal,Brick building,Standard materials and solutions,Other,Middle floor,G,Interior,over 50 years years,,,,,,,
704574,"CZK 18,000",50.06928,14.47392,"Amurská, Prague - Vršovice",2 bedroom,72 m²,"CZK 4,000",Partially furnished,3,Yes,No,No,No,No,Yes,No,31. 01. 2022,295,441,219,325,111,506,75,194,143,183,Excellent,"CZK 20,000",Personal,Brick building,,,Middle floor,E,,,,,,,,,
709338,"CZK 11,475",50.0455184,14.4554688,"Bítovská, Prague - Michle",Studio,23 m²,"CZK 3,825",Furnished,9,No,No,No,No,No,Yes,No,01. 04. 2022,276,470,425,528,262,500,439,294,381,57,,,,,,,,,,,,,,,,,
708226,"CZK 11,500",50.10681,14.44916,"Poupětova, Prague - Holešovice",Small studio,25 m²,"CZK 2,300",Furnished,1,No,No,No,No,No,No,No,03. 03. 2022,198,450,31,262,118,266,265,724,363,324,Excellent,"CZK 15,000",Cooperative,Brick building,Standard materials and solutions,Electric boiler,Ground floor,B,Interior,over 50 years years,,,,,,,
709330,"CZK 24,000",50.09761365,14.399356187958,Prague - Dejvice,2 bedroom,80 m²,"CZK 3,000",Furnished,2,No,No,No,No,No,Yes,No,15. 03. 2022,124,287,111,99,106,308,235,688,456,206,Excellent,"CZK 24,000",Personal,Brick building,,,,G,,,,,,,,,
710025,"CZK 12,000",50.10907,14.5569,"Za černým mostem, Prague - Kyje",Studio,27 m²,"CZK 2,000",Partially furnished,5,Yes,No,No,No,No,Yes,No,14. 03. 2022,176,800,136,48,754,418,"1,323","1,438",483,,New build,"CZK 20,000",Personal,Prefab concrete building,,,,B,,,,,,,,,
534241,"CZK 14,900",50.0210777,14.4669511,"Velké Kunratické, Prague - Kunratice",1 bedroom with open-plan kitchen,54 m²,"CZK 3,200",Partially furnished,3,No,No,No,No,No,Yes,No,01. 05. 2022,338,"1,295","1,172",125,464,648,154,,,,,"CZK 25,000",Personal,Brick building,,,,C,,,,,,,,,
588276,"CZK 12,000",50.121331,14.4572,"Na Hlinách, Prague - Kobylisy",Studio,32 m²,CZK 700,Partially furnished,1,No,No,No,No,No,No,No,01. 04. 2022,376,383,300,470,249,264,649,401,915,473,New build,"CZK 15,000",Personal,Brick building,Premium materials and solutions,,,B,Overall,1 to 10 years years,,,,,,,
205007,"CZK 8,800",50.1097485,14.5575396,"Lipnická, Prague - Kyje",Studio,33 m²,"CZK 2,700",Partially furnished,4,Yes,No,No,No,Yes,No,No,14. 03. 2022,266,"1,083",424,108,"1,037",540,"1,302",519,,,Excellent,"CZK 11,500",Personal,Brick building,,Central heating,Top floor,,,1 to 10 years years,,,,,,,
709009,"CZK 19,000",50.04466,14.51691,"Berlínská, Prague - Hostivař",2 bedroom with open-plan kitchen,61 m²,"CZK 4,500",Partially furnished,2,Yes,No,Yes,No,Yes,Yes,Yes,02. 03. 2022,213,113,167,156,963,315,"1,286",64,,,Excellent,"CZK 38,000",Personal,Brick building,,,,C,,,,,,,,,
426337,"CZK 12,000",50.1170531,14.4737959,"Na Stráži, Prague - Libeň",Studio,43 m²,"CZK 3,000",Partially furnished,1,No,No,No,No,No,No,No,01. 04. 2022,73,"1,305",316,321,597,662,"1,197","1,286",700,,Excellent,,Personal,Brick building,,Electric boiler,,,,,,,,,,,
591600,"CZK 13,000",50.035578,14.410744,"Nad Malým Mýtem, Prague - Braník",1 bedroom with open-plan kitchen,42 m²,"CZK 1,600",Partially furnished,2,No,No,No,No,No,No,No,01. 02. 2020,183,357,225,246,209,387,265,"1,108",138,,Excellent,"CZK 25,000",Personal,Brick building,Premium materials and solutions,Other,Middle floor,E,Interior,1 to 10 years years,,,,,,,
608603,"CZK 13,000",50.070208,14.415621,"Podskalská, Prague - Nové Město",1 bedroom,31 m²,"CZK 3,000",Furnished,1,No,No,No,No,No,Yes,No,01. 04. 2022,297,790,64,305,77,68,333,177,387,319,Excellent,"CZK 15,000",Personal,Brick building,,,Middle floor,G,,,,,,,,,
710004,"CZK 15,500",50.0880414,14.3566377,"Na Větrníku, Prague - Břevnov",3 bedroom,70 m²,"CZK 4,500",Partially furnished,1,No,No,No,No,No,No,No,15. 03. 2022,313,639,486,"1,035",425,317,423,305,329,330,Excellent,"CZK 20,000",Personal,Brick building,,,,G,,,,,,,,,
710021,"CZK 18,500",50.11827,14.48981,"Valečovská, Prague - Prosek",2 bedroom with open-plan kitchen,80 m²,"CZK 8,500",Partially furnished,3,No,No,Yes,Yes,Yes,Yes,Yes,14. 03. 2022,117,980,325,865,443,579,218,329,759,81,Excellent,"CZK 50,000",Personal,Brick building,,,,G,,,,,,,,,
172320,"CZK 7,500",50.100575,14.4297162,"Heřmanova, Prague - Holešovice",Small studio,22 m²,"CZK 1,500",Partially furnished,2,No,No,No,No,No,Yes,No,01. 05. 2022,253,391,228,245,73,166,283,154,546,,,"CZK 9,000",Personal,Brick building,Standard materials and solutions,Other,Middle floor,,,over 50 years years,,,,,,,
710016,"CZK 12,000",50.08996,14.49126,"Květinková, Prague - Žižkov",1 bedroom with open-plan kitchen,50 m²,"CZK 4,000",Unfurnished,2,No,No,No,No,Yes,Yes,No,14. 03. 2022,417,428,485,641,423,433,639,423,561,302,Excellent,"CZK 20,000",Personal,Brick building,,,,G,,,,,,,,,
710019,"CZK 26,925",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",Studio,30 m²,"CZK 8,975",Furnished,2,No,No,No,No,No,Yes,No,12. 03. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,,
710018,"CZK 45,000",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",2 bedroom,50 m²,"CZK 15,000",Furnished,-1,No,No,No,No,No,Yes,No,12. 03. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,,
710017,"CZK 21,000",50.1078,14.45539,"V Přístavu, Prague - Holešovice",1 bedroom with open-plan kitchen,86 m²,"CZK 6,200",Partially furnished,1,No,Yes,No,No,Yes,Yes,No,10. 03. 2022,199,953,216,765,164,646,615,"1,216",554,148,New build,"CZK 21,000",Personal,Other,,,,G,,,,,,,,,
694587,"CZK 17,000",50.07674,14.45376,"Perunova, Prague - Vinohrady",2 bedroom with open-plan kitchen,65 m²,"CZK 4,500",Unfurnished,3,No,No,No,No,No,Yes,No,10. 03. 2022,175,218,115,74,2,252,87,578,956,316,Good,"CZK 21,500",Personal,Brick building,,,Middle floor,D,,,,,,,,,
211949,"CZK 12,700",50.0728078,14.4452826,"Slovenská, Prague - Vinohrady",1 bedroom with open-plan kitchen,56 m²,CZK 600,Partially furnished,,No,No,No,No,No,No,No,01. 04. 2022,217,368,141,712,247,637,492,549,311,98,,"CZK 15,000",Personal,Brick building,,Gas boiler,Raised ground floor,,,,,,,,,,
710015,"CZK 13,500",50.08968,14.34555,"Peštukova, Prague - Veleslavín",2 bedroom with open-plan kitchen,54 m²,"CZK 1,300",Partially furnished,5,Yes,No,No,No,No,No,No,14. 03. 2022,161,308,120,146,151,186,181,288,700,76,Excellent,"CZK 20,000",Personal,Prefab concrete building,,,,G,,,,,,,,,
448290,"CZK 16,000",50.0385227,14.3237865,"Kakosova, Prague - Řeporyje",Studio,44 m²,"CZK 4,000",Furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,01. 03. 2022,172,"1,161",900,"1,090",432,989,710,"1,131",571,68,New build,"CZK 20,000",Personal,Brick building,Premium materials and solutions,District heating,Middle floor,A,,1 to 10 years years,Yes,,,,,,
526075,"CZK 10,000",50.0242122,14.4334129,Prague - Lhotka,1 bedroom,43 m²,"CZK 4,000",Furnished,4,Yes,No,No,No,No,Yes,No,01. 04. 2022,207,92,6,85,97,66,502,521,593,123,Excellent,"CZK 10,000",Personal,Prefab concrete building,,District heating,,,,,,,,,,,
696248,"CZK 47,000",50.07906,14.44976,"Laubova, Prague - Vinohrady",3 bedroom,109 m²,"CZK 6,000",Partially furnished,2,Yes,No,No,No,Yes,Yes,No,01. 01. 2022,209,273,39,272,113,301,142,267,694,169,Excellent,"CZK 53,000",Personal,Brick building,,,,D,,,,,,,,,
710007,"CZK 14,500",50.12468,14.49726,"Českolipská, Prague - Střížkov",3 bedroom,56 m²,"CZK 3,500",Partially furnished,3,No,No,No,Yes,No,Yes,No,10. 03. 2022,247,253,273,206,239,402,406,236,"1,119",212,Excellent,"CZK 29,000",Personal,Prefab concrete building,,,,D,,,,,,,,,
710009,"CZK 22,000",50.0824897,14.420311,"Národní, Prague - Nové Město",1 bedroom with open-plan kitchen,50 m²,"CZK 5,000",Partially furnished,2,No,No,No,No,No,Yes,No,14. 03. 2022,99,750,54,131,58,92,214,481,187,318,Excellent,"CZK 22,000",Personal,Brick building,,,,G,,,,,,,,,
705725,"CZK 150,000",50.09114,14.41807,"Pařížská, Prague - Josefov",6 bedroom with open-plan kitchen,322 m²,"CZK 15,000",Unfurnished,6,No,Yes,No,No,No,Yes,No,09. 02. 2022,50,344,274,458,40,435,343,586,60,470,Excellent,"CZK 165,000",Personal,Brick building,,,,G,,,,,,,,,
