Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Heating,Total number of floors,Renovation,PENB,New building,Age,Design,Front garden,Administration fee,Developer name,Project name,Kód jednotky
712652,"CZK 13,000",50.02923,14.48587,"Petýrkova, Prague - Chodov",2 bedroom with open-plan kitchen,71 m²,"CZK 3,800",Furnished,6,No,No,No,Yes,No,Yes,No,02. 04. 2022,252,431,162,595,403,325,455,608,576,198,Good,"CZK 33,600",Personal,Prefab concrete building,,,,G,,,,,,,,
713326,"CZK 60,244",50.0906989,14.4202425,"Dušní, Prague - Josefov",3 bedroom,97 m²,"CZK 20,081",Furnished,3,Yes,No,No,No,No,No,No,20. 04. 2022,103,449,207,253,71,270,138,381,247,455,,,,,,,,,,,,,,,,
713325,"CZK 27,225",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",1 bedroom with open-plan kitchen,45 m²,"CZK 9,075",Furnished,6,No,No,No,No,No,Yes,No,19. 04. 2022,149,274,60,441,20,421,59,552,690,457,,,,,,,,,,,,,,,,
422745,"CZK 15,000",50.071390200853,14.387711758752,"Plzeňská, Prague - Košíře",1 bedroom with open-plan kitchen,63 m²,"CZK 4,596",Unfurnished,2,Yes,No,No,Yes,Yes,Yes,Yes,01. 05. 2022,40,"1,169",11,917,53,"1,068",542,782,"1,139",263,Excellent,"CZK 20,000",Personal,Brick building,,Middle floor,,C,,10 to 30 years years,,,,,,
712651,"CZK 15,000",50.06768,14.45982,"Moskevská, Prague - Vršovice",1 bedroom with open-plan kitchen,52 m²,"CZK 3,000",Partially furnished,1,No,No,Yes,No,No,No,No,01. 05. 2022,63,594,103,254,44,362,453,355,326,251,Excellent,"CZK 20,000",Personal,Brick building,Gas boiler,Raised ground floor,Interior,G,,1 to 10 years years,Standard materials and solutions,,,,,
690553,"CZK 13,990",50.0851483,14.4512417,"Štítného, Prague - Žižkov",Studio,30 m²,CZK 760,Partially furnished,1,No,No,No,No,No,Yes,No,29. 04. 2022,173,144,56,115,75,165,167,383,199,457,Excellent,"CZK 25,000",Personal,Other,Central heating,Middle floor,Overall,B,,1 to 10 years years,Premium materials and solutions,,,,,
713317,"CZK 23,000",50.08855,14.48348,"Olgy Havlové, Prague - Žižkov",1 bedroom with open-plan kitchen,52 m²,"CZK 3,167",Unfurnished,1,No,Yes,Yes,No,No,Yes,No,07. 05. 2022,369,861,465,630,188,673,497,363,360,142,New build,"CZK 30,000",Personal,Brick building,,,,B,,,,,,,,
664283,"CZK 15,900",50.1294079,14.4512939,Prague - Kobylisy,2 bedroom,58 m²,"CZK 3,000",Partially furnished,6,No,No,No,Yes,No,Yes,No,01. 06. 2022,143,6,689,299,350,768,507,"1,366",185,,Excellent,"CZK 31,800",Personal,Prefab concrete building,,,,G,,,,,,,,
516267,"CZK 16,900",50.0067804,14.4354836,Prague - Modřany,2 bedroom with open-plan kitchen,64 m²,"CZK 5,500",Furnished,8,Yes,No,Yes,No,No,Yes,No,01. 01. 1970,245,"1,432",771,"1,421",406,"1,249",897,332,705,154,Excellent,"CZK 30,000",Personal,Prefab concrete building,District heating,Middle floor,Overall,C,,1 to 10 years years,Premium materials and solutions,,,,,
712740,"CZK 31,425",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",Studio,30 m²,"CZK 10,475",Furnished,2,No,No,No,No,No,Yes,No,19. 04. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,
713311,"CZK 25,000",50.09075,14.42626,"Dlouhá, Prague - Staré Město",1 bedroom with open-plan kitchen,75 m²,"CZK 3,000",Furnished,3,No,No,Yes,No,No,No,No,01. 06. 2022,55,233,30,96,7,184,186,258,152,202,Excellent,"CZK 30,000",Personal,Brick building,,,,G,,,,,,,,
547428,"CZK 16,000",50.108529,14.4738525,"Na Rokytce, Prague - Libeň",2 bedroom,54 m²,"CZK 1,500",Furnished,2,Yes,No,Yes,No,No,Yes,No,11. 04. 2022,163,856,135,412,327,213,265,686,232,223,Excellent,"CZK 16,000",Personal,Brick building,Electric boiler,Middle floor,Interior,C,,,,,,,,
710907,"CZK 15,000",50.0897,14.46926,"Biskupcova, Prague - Žižkov",1 bedroom with open-plan kitchen,40 m²,"CZK 3,600",Unfurnished,1,No,No,Yes,No,No,Yes,No,18. 03. 2022,89,751,57,96,32,69,373,378,454,390,Excellent,"CZK 30,000",Personal,Brick building,,,,E,,,,,,,,
713303,"CZK 13,000",50.10745,14.44647,"Osadní, Prague - Holešovice",1 bedroom,45 m²,"CZK 4,000",Furnished,1,No,No,Yes,No,No,Yes,No,01. 06. 2022,73,462,168,475,205,330,259,815,385,187,Excellent,"CZK 17,000",Personal,Brick building,,,,G,,,,,,,,
503703,"CZK 14,000",50.0716385,14.4535707,"Estonská, Prague - Vršovice",1 bedroom,34 m²,"CZK 2,006",Unfurnished,5,No,No,No,No,No,No,No,,196,708,196,352,163,483,119,252,413,204,Excellent,"CZK 18,000",Personal,Brick building,Gas boiler,Middle floor,Interior,,,1 to 10 years years,Standard materials and solutions,,,,,
713301,"CZK 15,000",50.09695,14.40419,"Milady Horákové, Prague - Hradčany",1 bedroom,52 m²,"CZK 3,100",Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 06. 2022,59,807,119,24,0,147,131,"1,138",204,434,Excellent,"CZK 19,000",Personal,Brick building,,,,G,,,,,,,,
707379,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,"CZK 20,000",Furnished,3,No,No,No,No,No,No,No,15. 05. 2022,177,647,182,40,38,122,28,102,350,194,,,,,,,,,,,,,,,,
705725,"CZK 150,000",50.09114,14.41807,"Pařížská, Prague - Josefov",6 bedroom with open-plan kitchen,322 m²,"CZK 15,000",Unfurnished,6,No,Yes,No,No,No,Yes,No,09. 02. 2022,50,344,274,458,40,435,343,586,60,470,Excellent,"CZK 165,000",Personal,Brick building,,,,G,,,,,,,,
563249,"CZK 16,000",50.0623095,14.3256648,"5. máje, Prague - Stodůlky",1 bedroom with open-plan kitchen,60 m²,"CZK 4,000",Partially furnished,1,Yes,No,No,No,Yes,No,No,01. 05. 2022,485,"1,479","1,251",799,"1,296","1,308","1,488",572,,,Excellent,"CZK 21,000",Personal,Brick building,Gas boiler,Ground floor,Overall,,,,Standard materials and solutions,,,,,
712632,"CZK 30,000",50.0795183,14.4256008,"Štěpánská, Prague - Nové Město",3 bedroom,106 m²,CZK 800,Unfurnished,4,No,No,No,No,No,Yes,No,04. 04. 2022,252,745,218,228,59,227,265,537,518,474,Excellent,"CZK 60,000",Personal,Brick building,,,,F,,,,,,,,
711683,"CZK 22,313",50.0699993,14.3820262,"Hlaváčkova, Prague - Košíře",Studio,35 m²,"CZK 7,437",Furnished,6,Yes,No,No,No,No,Yes,Yes,28. 05. 2022,202,523,119,828,248,936,219,756,"1,073",529,,,,,,,,,,,,,,,,
443850,"CZK 12,500",50.0517995,14.3653519,"Polívkova, Prague - Jinonice",1 bedroom with open-plan kitchen,45 m²,"CZK 4,000",Unfurnished,2,No,No,No,No,No,No,No,,245,401,719,361,790,326,"1,046",459,201,,,"CZK 12,500",Personal,Prefab concrete building,District heating,Middle floor,,,,,,,,,,
640142,"CZK 1,000",50.104144,14.549458,"Kukelská, Prague - Hloubětín",2 bedroom,107 m²,"CZK 3,900",Furnished,5,Yes,No,Yes,No,Yes,Yes,No,07. 04. 2022,137,942,134,960,611,909,186,827,731,76,Good,,Personal,Prefab concrete building,,,,G,,,,,,,,
446124,"CZK 19,500",50.0058372,14.4149292,"Soukalova, Prague - Modřany",1 bedroom with open-plan kitchen,49 m²,"CZK 3,500",Unfurnished,2,Yes,No,Yes,No,Yes,Yes,Yes,01. 03. 2022,246,257,379,339,405,40,617,740,869,72,,"CZK 19,500",Personal,Brick building,District heating,Middle floor,,B,Yes,1 to 10 years years,Premium materials and solutions,,,,,
671001,"CZK 17,000",50.10294,14.55224,"Sklenská, Prague - Kyje",1 bedroom with open-plan kitchen,56 m²,"CZK 4,000",Furnished,1,Yes,No,No,No,Yes,Yes,No,01. 05. 2022,259,742,402,"1,228",354,643,425,"1,074",601,344,Excellent,"CZK 17,000",Personal,Other,District heating,Middle floor,,B,,1 to 10 years years,Standard materials and solutions,,,,,
704676,"CZK 14,500",50.10365925,14.496393654922,"Lisabonská, Prague - Libeň",Studio,25 m²,"CZK 3,000",Furnished,1,No,No,No,No,No,Yes,No,15. 04. 2022,259,641,512,240,238,214,699,"1,065",467,443,New build,"CZK 17,500",Personal,Brick building,Central heating,,Overall,G,,,,,,,,
713265,"CZK 12,900",50.05891,14.49887,"Ostružinová, Prague - Záběhlice",1 bedroom with open-plan kitchen,51 m²,"CZK 2,400",Partially furnished,2,No,No,No,Yes,No,Yes,No,15. 04. 2022,349,430,336,639,658,403,483,637,577,225,Good,,Personal,Prefab concrete building,,,,G,,,,,,,,
707284,"CZK 33,750",50.0718291,14.4385892,"Americká, Prague - Vinohrady",1 bedroom,43 m²,"CZK 11,250",Furnished,4,No,No,No,No,No,Yes,No,16. 05. 2022,274,300,81,587,69,312,103,253,793,568,,,,,,,,,,,,,,,,
713263,"CZK 35,475",50.0795659,14.4357789,"Balbínova, Prague - Vinohrady",1 bedroom with open-plan kitchen,60 m²,"CZK 11,825",Furnished,3,No,No,No,No,No,Yes,No,01. 05. 2022,134,417,252,351,68,251,205,205,457,712,,,,,,,,,,,,,,,,
704555,"CZK 18,000",50.1037268,14.4539924,"V Háji, Prague - Holešovice",1 bedroom with open-plan kitchen,51 m²,"CZK 4,000",Partially furnished,1,No,No,Yes,No,No,No,No,01. 02. 2022,60,629,33,219,91,134,665,627,217,509,Excellent,"CZK 25,000",Personal,Brick building,,,,G,,,,,,,,
713261,"CZK 14,500",50.13373,14.51058,"Chlebovická, Prague - Letňany",1 bedroom with open-plan kitchen,45 m²,"CZK 3,000",Furnished,10,No,No,Yes,No,No,Yes,No,01. 05. 2022,97,753,403,335,416,420,281,383,249,43,New build,"CZK 14,500",Personal,Brick building,,,,C,,,,,,,,
713260,"CZK 13,500",50.0995426,14.3993071,"Kyjevská, Prague - Bubeneč",1 bedroom with open-plan kitchen,47 m²,"CZK 4,000",Furnished,4,No,No,No,No,No,Yes,No,01. 05. 2022,246,303,106,114,25,199,299,630,280,265,Excellent,"CZK 20,000",Personal,Brick building,Gas boiler,Middle floor,,G,,,Standard materials and solutions,,,,,
556880,"CZK 25,500",50.0775372,14.4192713,"Karlovo náměstí, Prague - Nové Město",3 bedroom,83 m²,"CZK 6,500",Partially furnished,3,No,No,No,No,No,Yes,No,01. 07. 2022,76,276,60,33,22,244,199,387,508,418,Good,"CZK 30,000",Personal,Brick building,Central heating,Middle floor,,D,,,,,,,,
653924,"CZK 16,500",50.06578,14.46399,"Baškirská, Prague - Vršovice",1 bedroom with open-plan kitchen,61 m²,"CZK 5,500",Furnished,9,Yes,Yes,Yes,No,Yes,Yes,No,01. 06. 2022,309,593,321,558,302,809,742,158,257,524,Excellent,"CZK 20,000",Personal,Prefab concrete building,,,,C,,,,,,,,
695859,"CZK 20,000",50.02611,14.44741,"Mezilesní, Prague - Lhotka",3 bedroom with open-plan kitchen,68 m²,"CZK 4,500",Partially furnished,3,No,No,Yes,No,Yes,No,No,07. 04. 2022,182,987,554,"1,186",580,899,337,703,659,352,Excellent,"CZK 40,000",Personal,Prefab concrete building,District heating,Top floor,Interior,B,,,,,,,,
