Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,Renovation,PENB,Design,Front garden,New building,Administration fee,Developer name,Project name,Kód jednotky
713499,"CZK 39,015",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,44 m²,"CZK 13,005",Furnished,3,No,No,No,No,No,No,No,19. 05. 2022,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,,,,,,
186129,"CZK 13,000",50.0876866,14.4527865,Prague - Žižkov,1 bedroom with open-plan kitchen,42 m²,"CZK 3,500",Partially furnished,4,No,No,Yes,No,No,No,No,01. 05. 2022,43,346,171,484,33,364,327,484,272,564,Excellent,"CZK 16,500",Personal,Brick building,,,Top floor,,,Standard materials and solutions,,,,,,
716172,"CZK 12,000",50.06736,14.36831,"Musílkova, Prague - Košíře",1 bedroom with open-plan kitchen,42 m²,"CZK 3,500",Partially furnished,1,No,No,Yes,No,Yes,No,No,01. 05. 2022,333,757,234,567,420,478,391,885,257,425,Excellent,"CZK 24,000",Personal,Brick building,,,,,G,,,,,,,
347548,"CZK 11,950",50.1065516,14.4791928,"Kotlaska, Prague - Libeň",Small studio,30 m²,"CZK 1,600",Furnished,1,No,No,No,No,Yes,Yes,No,30. 04. 2022,305,569,252,539,109,555,530,214,461,213,,,Personal,Brick building,,,,,B,,,Yes,,,,
712778,"CZK 30,000",50.07667,14.35035,"Nad Motolskou nemocnicí, Prague - Břevnov",2 bedroom with open-plan kitchen,120 m²,"CZK 5,000",Partially furnished,3,No,Yes,Yes,No,Yes,No,Yes,04. 04. 2022,325,968,"1,401",611,829,"1,088","1,138","1,303",542,,New build,"CZK 27,000",Personal,Brick building,,,,,G,,,,,,,
599161,"CZK 19,000",50.07205,14.488471,"V Olšinách, Prague - Strašnice",1 bedroom with open-plan kitchen,66 m²,"CZK 6,500",Furnished,4,No,Yes,No,No,No,Yes,No,02. 05. 2022,170,727,227,351,250,210,332,691,308,227,Excellent,"CZK 26,000",Personal,Brick building,1 to 10 years years,Gas boiler,Top floor,Overall,B,Premium materials and solutions,,,,,,
710120,"CZK 17,000",50.09243,14.44636,"Karlínské náměstí, Prague - Karlín",1 bedroom with open-plan kitchen,58 m²,"CZK 2,000",Partially furnished,4,No,No,Yes,No,No,No,No,28. 04. 2022,58,206,68,430,100,499,278,"1,248",588,185,Good,"CZK 19,000",Cooperative,Brick building,,,,,C,,,,,,,
716095,"CZK 11,000",50.06946,14.37034,"Pod Kavalírkou, Prague - Košíře",1 bedroom,36 m²,,Furnished,4,No,No,No,No,No,No,No,01. 06. 2022,152,461,160,193,58,145,291,"1,174",611,93,Good,"CZK 22,000",Municipal,Brick building,,,,,B,,,,,,,
716156,"CZK 14,000",50.06164,14.36178,"Naskové, Prague - Košíře",Studio,34 m²,"CZK 3,000",Furnished,3,Yes,No,Yes,No,No,Yes,Yes,01. 05. 2022,449,"1,154","1,147",965,"1,241",791,422,"1,082",653,,New build,"CZK 17,000",Personal,Brick building,,,,,G,,,,,,,
716153,"CZK 17,000",50.02973,14.59703,"Oty Bubeníčka, Prague - Uhříněves",Studio,32 m²,"CZK 2,000",Furnished,4,No,No,Yes,Yes,Yes,Yes,No,01. 07. 2022,153,292,295,401,213,265,711,814,918,101,New build,"CZK 50,000",Personal,Brick building,,,,,B,,,,,,,
657007,"CZK 11,000",50.0291787,14.4506539,Prague - Krč,Studio,27 m²,"CZK 3,200",Partially furnished,10,No,No,No,No,Yes,Yes,No,01. 03. 2022,69,"1,240",280,57,704,788,"1,119",504,325,,Excellent,"CZK 22,000",Personal,Prefab concrete building,,District heating,,Interior,C,,,,,,,
696054,"CZK 18,000",50.06312,14.40452,"Radlická, Prague - Smíchov",Studio,42 m²,"CZK 3,500",Furnished,1,No,No,No,No,No,No,No,01. 01. 1970,25,450,75,856,15,203,647,619,790,542,Excellent,"CZK 18,000",Personal,Brick building,,,,,E,,,,,,,
715505,"CZK 15,500",50.05001,14.48432,"Střimelická, Prague - Záběhlice",3 bedroom,69 m²,"CZK 8,400",Furnished,3,Yes,No,Yes,No,No,Yes,No,01. 07. 2022,102,553,211,495,293,"1,490",341,109,904,40,Excellent,"CZK 60,000",Personal,Brick building,,,,,G,,,,,,,
716146,"CZK 14,900",50.1153416,14.4743339,"Na Sypkém, Prague - Libeň",Studio,34 m²,"CZK 2,700",Partially furnished,1,No,No,Yes,No,No,No,No,27. 04. 2022,134,"1,388",426,"1,206",128,680,505,"1,371",852,342,New build,"CZK 15,000",Personal,Other,,Gas boiler,Raised ground floor,,B,Premium materials and solutions,,,,,,
648716,"CZK 10,000",50.04791,14.556934,"Boloňská, Prague - Horní Měcholupy",Studio,49 m²,"CZK 5,000",Partially furnished,,No,No,Yes,No,Yes,No,No,01. 06. 2022,34,904,139,981,346,"1,048",552,404,678,335,Excellent,"CZK 15,000",Personal,Prefab concrete building,1 to 10 years years,,,,C,,,,,,,
715500,"CZK 29,000",50.04711,14.30195,"Svitákova, Prague - Stodůlky",3 bedroom with open-plan kitchen,100 m²,"CZK 9,000",Partially furnished,1,No,No,No,No,No,No,No,08. 08. 2022,334,243,49,247,"1,107","1,075",702,863,160,,New build,"CZK 40,000",Personal,Other,,,,,B,,,,,,,
716135,"CZK 26,000",50.07025,14.41663,"Pod Slovany, Prague - Nové Město",2 bedroom with open-plan kitchen,93 m²,"CZK 5,500",Partially furnished,3,No,No,Yes,No,No,Yes,No,01. 07. 2022,248,730,35,222,163,156,255,89,309,278,Excellent,"CZK 52,000",Personal,Brick building,,,,,G,,,,,,,
716142,"CZK 18,500",50.11066,14.4517,"Varhulíkové, Prague - Holešovice",1 bedroom with open-plan kitchen,47 m²,"CZK 3,400",Furnished,4,Yes,No,No,No,No,Yes,Yes,01. 05. 2022,106,957,476,769,459,555,413,"1,232",686,354,New build,"CZK 25,000",Personal,Prefab concrete building,10 to 30 years years,Central heating,Middle floor,,F,,,,,,,
716130,"CZK 14,300",50.14932,14.48748,"Legionářů, Prague - Ďáblice",1 bedroom with open-plan kitchen,37 m²,"CZK 3,500",Partially furnished,2,No,No,No,No,No,No,No,01. 05. 2022,125,853,762,"1,350",877,966,"1,358",868,,,Excellent,"CZK 28,600",Personal,Brick building,,,,,D,,,,,,,
716108,"CZK 14,000",50.04626,14.45966,"Hodonínská, Prague - Michle",Studio,30 m²,"CZK 3,500",Partially furnished,1,No,No,Yes,No,No,No,No,01. 05. 2022,172,498,97,591,165,570,403,230,189,118,Excellent,"CZK 28,000",Personal,Brick building,,,,,B,,,,,,,
716128,"CZK 14,000",49.96188,14.39462,"Žitavského, Prague - Zbraslav",1 bedroom with open-plan kitchen,53 m²,"CZK 1,000",Unfurnished,1,No,No,No,No,No,No,No,27. 04. 2022,260,593,"1,177","1,363","1,185",875,"1,293",,,,Excellent,"CZK 14,000",Personal,Brick building,,,,,G,,,,,,,
716103,"CZK 11,000",50.0683841,14.4990407,"Krupská, Prague - Strašnice",2 bedroom,50 m²,"CZK 6,000",Partially furnished,1,No,No,No,No,No,No,No,01. 05. 2022,351,"1,213",200,"1,002",330,87,332,214,772,129,Good,"CZK 11,000",Personal,Prefab concrete building,,Central heating,Raised ground floor,,G,,,,,,,
273391,"CZK 6,000",49.9590093,14.3622008,"Jiříčkova, Prague - Lipence",Other,18 m²,,Partially furnished,1,No,No,No,No,Yes,No,No,01. 06. 2022,534,297,386,555,488,,,,,,,"CZK 7,000",Personal,Brick building,10 to 30 years years,Electric boiler,Ground floor,,,Standard materials and solutions,50 m²,,,,,
716123,"CZK 12,000",50.08221,14.568,"Podkrkonošská, Prague - Dolní Počernice",2 bedroom,64 m²,"CZK 7,000",Furnished,1,Yes,Yes,No,No,No,No,No,01. 06. 2022,315,"1,359",891,927,362,,,,,,Excellent,"CZK 38,000",Personal,Prefab concrete building,1 to 10 years years,Gas boiler,Middle floor,Interior,D,Standard materials and solutions,30 m²,,,,,
714283,"CZK 21,900",50.05814,14.37359,"Nyklíčkova, Prague - Jinonice",1 bedroom with open-plan kitchen,42 m²,"CZK 4,000",Furnished,1,No,Yes,Yes,No,Yes,Yes,Yes,03. 05. 2022,156,365,313,"1,248",325,427,967,164,"1,424",210,New build,CZK 2,Personal,Brick building,,,,,C,,,,,,,
