Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Heating,Total number of floors,Renovation,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
671000,"CZK 19,000",50.0442485,14.4501543,Prague - Krč,2 bedroom,Excellent,104 m²,"CZK 1,500","CZK 38,000",Personal,Brick building,,,No,Yes,No,No,No,Yes,No,01. 04. 2022,,56,796,151,87,71,92,251,664,809,228,,,,Gas boiler,Top floor,,,,,,,
454623,"CZK 9,500",50.1272299,14.4532347,"Přemyšlenská, Prague - Kobylisy",Studio,Excellent,25 m²,"CZK 2,000","CZK 12,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 03. 2022,,112,"1,168",179,446,188,184,423,558,"1,032",278,,,Standard materials and solutions,Other,Ground floor,Interior,,,,,,
473621,"CZK 35,000",50.088662,14.4097039,"U Lužického semináře, Prague - Malá Strana",3 bedroom,Excellent,92 m²,"CZK 6,000","CZK 50,000",Personal,Brick building,Unfurnished,4,No,Yes,No,No,No,No,No,01. 05. 2022,,300,442,115,421,2,720,478,325,960,178,,1 to 10 years years,Premium materials and solutions,Gas boiler,Attic,Overall,,,,,,
304590,"CZK 15,000",50.0381683,14.4401383,"Dolnokrčská, Prague - Krč",1 bedroom with open-plan kitchen,Excellent,49 m²,"CZK 3,000","CZK 18,000",Personal,Brick building,Unfurnished,1,No,Yes,No,No,No,No,No,01. 05. 2020,C,248,845,327,437,296,714,"1,132",633,954,523,,1 to 10 years years,Standard materials and solutions,Gas boiler,Ground floor,,,,,,,
545400,"CZK 7,500",50.036559,14.4172471,Prague - Braník,Small studio,,25 m²,"CZK 2,000","CZK 3,000",Other,Brick building,Furnished,,No,No,No,No,No,No,No,01. 03. 2022,,514,627,473,447,573,399,312,784,,,,,,,,,,,,,,
707178,"CZK 20,500",50.07252,14.40967,"Lidická, Prague - Smíchov",2 bedroom,Excellent,78 m²,CZK 800,"CZK 41,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,G,120,555,108,166,73,469,594,757,954,514,,,,,,,,,,,,
616112,"CZK 16,500",50.06814,14.557242,"Honzíkova, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,New build,54 m²,"CZK 3,200","CZK 30,000",Cooperative,Brick building,Furnished,5,Yes,No,No,No,No,Yes,No,01. 03. 2022,G,834,671,590,850,"1,352","1,492",650,,,,,,,District heating,,,,,,,,
705706,"CZK 19,990",50.09798,14.36135,"Kamerunská, Prague - Vokovice",3 bedroom,Excellent,56 m²,"CZK 4,500",,Personal,Prefab concrete building,Partially furnished,2,No,No,No,No,No,Yes,No,14. 03. 2022,C,183,166,272,253,235,283,427,301,"1,455",391,,,,,,Overall,,,,,,
707489,"CZK 15,000",50.067,14.4976,"Nučická, Prague - Strašnice",2 bedroom,Excellent,55 m²,"CZK 4,000","CZK 30,000",Personal,Prefab concrete building,Unfurnished,4,No,No,No,No,No,No,No,,G,171,"1,379",165,"1,083",150,259,512,69,830,148,,,,,,,,,,,,
704961,"CZK 16,000",50.06978,14.45612,"Holandská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,42 m²,"CZK 4,500","CZK 16,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,08. 03. 2022,G,141,336,48,113,66,111,193,190,411,203,,,,,,Interior,,,,,,
540111,"CZK 11,000",50.0285058,14.6024246,"Za lípou, Prague - Uhříněves",Studio,,34 m²,"CZK 3,000","CZK 12,700",Personal,Low-energy building,Furnished,,No,Yes,No,No,No,No,No,01. 03. 2022,C,156,498,190,507,200,451,369,168,549,509,,,,,,,,,,,,
605423,"CZK 14,900",50.124038,14.449348,"Služská, Prague - Kobylisy",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,,1,No,Yes,No,No,No,Yes,No,01. 03. 2022,C,86,"1,032",60,217,277,361,301,510,"1,261",205,,,,,,,,,,,,
