Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Age,Design,Heating,Total number of floors,New building,Front garden,Administration fee,Renovation,Developer name,Project name,Kód jednotky,Investment Advisor
718683,"CZK 53,190",50.0894663,14.4240032,"Masná, Prague - Staré Město",Studio,65 m²,"CZK 17,730",Furnished,6,Yes,Yes,No,No,No,Yes,No,15. 07. 2022,62,263,122,95,13,113,64,46,150,138,,,,,,,,,,,,,,,,,
719694,"CZK 39,015",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,44 m²,"CZK 13,005",Furnished,3,No,No,No,No,No,No,No,23. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
621773,"CZK 16,000",50.067549,14.554202,"Honzíkova, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,55 m²,"CZK 2,000",Unfurnished,1,Yes,No,No,No,No,Yes,Yes,26. 05. 2022,607,"1,302",445,364,624,"1,126","1,266",424,,,New build,"CZK 20,000",Cooperative,Brick building,G,,Standard materials and solutions,District heating,,Yes,,,,,,,
243509,"CZK 10,000",50.1308628,14.5507123,Prague - Kbely,Studio,32 m²,"CZK 2,800",Partially furnished,,No,Yes,Yes,No,Yes,No,No,01. 07. 2022,54,681,72,204,88,808,567,680,268,,New build,"CZK 10,000",Personal,Low-energy building,G,1 to 10 years years,Premium materials and solutions,Central heating,Ground floor,Yes,19 m²,,,,,,
719686,"CZK 19,500",50.0594915,14.2941204,"Na Radosti, Prague - Zličín",1 bedroom with open-plan kitchen,52 m²,"CZK 5,000",Furnished,1,Yes,No,Yes,No,Yes,Yes,No,24. 05. 2022,84,891,812,920,73,"1,031",694,"1,160",106,534,New build,"CZK 24,500",Personal,Brick building,C,,,,,,,,,,,,
719684,"CZK 25,000",50.04671,14.48928,"Bělčická, Prague - Záběhlice",3 bedroom with open-plan kitchen,78 m²,"CZK 5,000",Partially furnished,1,No,No,Yes,Yes,No,Yes,No,09. 09. 2022,169,259,368,305,259,514,731,"1,299",476,,Excellent,"CZK 50,000",Personal,Brick building,G,,,,,,,,,,,,
719683,"CZK 11,990",50.00991055555,14.42771305555,"Rakovského, Prague - Modřany",1 bedroom,31 m²,"CZK 2,949",Furnished,6,No,No,No,No,No,Yes,No,,481,"1,014",261,"1,025",239,"1,032",210,537,369,211,Good,"CZK 14,939",Personal,Prefab concrete building,B,,,,,,,"CZK 14,939

                                
                                
                
i",,,,,
719680,"CZK 25,000",50.08423,14.45394,"Lipanská, Prague - Žižkov",2 bedroom with open-plan kitchen,90 m²,"CZK 1,200",Furnished,2,No,No,No,No,No,Yes,No,24. 05. 2022,71,302,67,269,94,108,115,246,489,274,Good,"CZK 25,000",Personal,Brick building,C,,,,,,,,,,,,
719679,"CZK 16,000",50.10434,14.47795,"Novákových, Prague - Libeň",1 bedroom with open-plan kitchen,46 m²,"CZK 2,000",Partially furnished,3,No,No,Yes,No,No,Yes,No,24. 05. 2022,105,248,75,274,29,201,297,447,249,322,Excellent,"CZK 16,000",Personal,Brick building,G,,,,,,,,,,,,
643990,"CZK 29,000",50.068238,14.451752,"Pod Stupni, Prague - Vršovice",2 bedroom with open-plan kitchen,78 m²,"CZK 6,000",Furnished,2,No,No,Yes,Yes,Yes,Yes,Yes,25. 06. 2022,288,428,112,221,100,326,298,486,280,364,New build,"CZK 35,000",Personal,Prefab concrete building,G,1 to 10 years years,,Central heating,Middle floor,Yes,,,,,,,
719105,"CZK 13,500",50.09747,14.3651,"Kladenská, Prague - Vokovice",1 bedroom,38 m²,"CZK 3,500",Partially furnished,,No,No,Yes,No,No,No,No,01. 07. 2022,314,273,370,278,143,176,662,500,"1,011",75,Excellent,"CZK 15,000",Personal,Brick building,G,,,,,,,,,,,,
685056,"CZK 15,500",50.053234,14.3096391,Prague - Stodůlky,1 bedroom with open-plan kitchen,46 m²,"CZK 2,500",,6,No,No,No,No,No,Yes,No,01. 07. 2022,210,817,311,"1,487",736,"1,100",902,677,427,527,Excellent,"CZK 30,000",Personal,Prefab concrete building,,,,,,,,,,,,,
463560,"CZK 15,600",50.037093,14.5943455,"V Bytovkách, Prague - Uhříněves",1 bedroom with open-plan kitchen,43 m²,"CZK 2,900",Furnished,2,No,No,No,No,No,No,No,01. 06. 2022,354,"1,140",492,926,833,912,426,456,"1,335",190,Excellent,"CZK 20,000",Personal,Brick building,,,Standard materials and solutions,,,,,,,,,,
719674,"CZK 14,000",50.12639,14.42051,"Hnězdenská, Prague - Troja",1 bedroom with open-plan kitchen,46 m²,"CZK 3,500",Partially furnished,1,No,No,No,No,No,No,No,24. 05. 2022,231,254,267,324,118,268,776,965,"1,244",396,Excellent,"CZK 28,000",Personal,Brick building,G,,,,,,,,,,,,
