Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Floor,Heating,Total number of floors,Renovation,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,New building,Age,Front garden,Administration fee,Developer name,Project name,Kód jednotky
593860,"CZK 8,000",50.029714,14.529635,"Bajkonurská, Prague - Háje",Studio,Good,28 m²,"CZK 3,500","CZK 10,000",Personal,Prefab concrete building,Partially furnished,No,No,Yes,No,No,Yes,No,18. 04. 2022,G,4,District heating,Middle floor,,109,534,142,184,203,265,461,310,325,297,,,,,,,,
714032,"CZK 15,000",50.12857325,14.501452520416,"Chotěšovská, Prague - Letňany",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 4,800","CZK 20,000",Personal,Brick building,Partially furnished,No,No,No,Yes,Yes,Yes,No,01. 05. 2022,G,4,,,,360,976,167,"1,005",748,913,494,654,143,,,,,,,,,
714027,"CZK 26,000",50.0735,14.43822,"Varšavská, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 4,000","CZK 30,000",Personal,Brick building,Furnished,No,No,Yes,No,No,Yes,No,01. 07. 2022,D,2,Gas boiler,Middle floor,Overall,173,260,105,449,91,350,139,305,832,679,,,,,,,,
531338,"CZK 27,000",50.10506,14.45906,"Sanderova, Prague - Holešovice",1 bedroom with open-plan kitchen,New build,58 m²,"CZK 5,500","CZK 54,000",Personal,Other,Furnished,Yes,No,Yes,No,Yes,Yes,No,20. 04. 2022,B,4,Central heating,,,476,"1,214",606,814,415,690,"1,109","1,125",601,157,,Yes,,,,,,
714024,"CZK 15,000",50.10333,14.5099,"Pod Harfou, Prague - Vysočany",1 bedroom with open-plan kitchen,New build,52 m²,"CZK 4,000","CZK 25,000",Personal,Other,Furnished,Yes,No,No,No,No,Yes,Yes,01. 05. 2022,G,4,,,,461,135,"1,240",734,"1,063","1,360","1,083",24,,,,,,,,,,
704537,"CZK 35,000",50.07621,14.42885,"Hálkova, Prague - Nové Město",4 bedroom,Excellent,114 m²,CZK 500,"CZK 40,000",Personal,Brick building,Partially furnished,No,No,No,No,No,No,No,01. 01. 1970,B,1,Gas boiler,Middle floor,Overall,158,603,131,173,31,68,243,317,159,223,Premium materials and solutions,,1 to 10 years years,,,,,
711694,"CZK 14,300",50.06918,14.43767,"Perucká, Prague - Vinohrady",Studio,New build,46 m²,"CZK 2,980","CZK 20,000",Personal,Prefab concrete building,Furnished,No,Yes,Yes,No,No,Yes,No,15. 04. 2022,C,3,Central heating,,Overall,699,818,597,886,615,859,685,606,752,906,Premium materials and solutions,Yes,1 to 10 years years,,,,,
713519,"CZK 27,900",50.0471114,14.4429584,"Krchlebská, Prague - Krč",1 bedroom with open-plan kitchen,,41 m²,"CZK 9,300",,,,Furnished,No,No,No,No,No,No,No,01. 06. 2022,,5,,,,394,499,253,432,280,389,317,725,696,412,,,,,,,,
713513,"CZK 48,000",50.0718291,14.4385892,"Americká, Prague - Vinohrady",3 bedroom,,72 m²,"CZK 16,000",,,,Furnished,No,No,No,No,No,Yes,No,16. 05. 2022,,5,,,,274,300,81,587,69,312,103,253,793,568,,,,,,,,
713502,"CZK 59,100",50.0882082,14.4262296,"Rybná, Prague - Staré Město",2 bedroom with open-plan kitchen,,86 m²,"CZK 19,700",,,,Furnished,Yes,No,No,No,No,No,No,29. 05. 2022,,2,,,,281,192,58,183,11,369,315,297,289,305,,,,,,,,
