Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Administration fee,Ownership Type,Building Type,Age,Design,Heating,Total number of floors,Renovation,PENB,New building,Front garden,Investment Advisor,Developer name,Project name,Kód jednotky
711078,"CZK 25,000",50.1051,14.47217,"Vojenova, Prague - Libeň",1 bedroom with open-plan kitchen,64 m²,"CZK 4,000",Partially furnished,3,No,No,Yes,Yes,Yes,Yes,Yes,20. 03. 2022,170,697,228,204,213,205,378,704,491,38,New build,"CZK 50,000",,Personal,Brick building,,,,,,G,,,,,,
698963,"CZK 15,100",50.10966,14.50593,"Zákostelní, Prague - Vysočany",1 bedroom with open-plan kitchen,52 m²,"CZK 1,600",Partially furnished,1,Yes,No,Yes,No,No,No,No,01. 04. 2022,227,501,217,390,194,460,146,320,502,478,Excellent,"CZK 16,700",,Personal,Brick building,,Standard materials and solutions,Gas boiler,Middle floor,Interior,G,,,,,,
709851,"CZK 29,000",50.10506,14.45906,Prague - Holešovice,2 bedroom with open-plan kitchen,118 m²,"CZK 6,401",Furnished,3,Yes,No,Yes,No,Yes,Yes,No,01. 05. 2022,526,"1,137",655,737,465,613,"1,085","1,047",524,235,New build,"CZK 58,000",,Personal,Brick building,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,,B,Yes,,,,,
487073,"CZK 17,000",50.0679582,14.3986123,"Ostrovského, Prague - Smíchov",1 bedroom with open-plan kitchen,50 m²,"CZK 4,000",Partially furnished,2,No,No,No,No,No,No,No,,223,103,96,468,105,190,312,525,750,307,,"CZK 21,000",,Personal,Brick building,,,,,,,,,,,,
705981,"CZK 13,500",50.08524,14.44984,"Štítného, Prague - Žižkov",Studio,27 m²,CZK 900,Partially furnished,3,No,No,No,No,No,Yes,No,01. 05. 2022,255,222,50,211,7,189,62,278,94,553,Excellent,"CZK 25,000",,Personal,Other,1 to 10 years years,Premium materials and solutions,Other,Middle floor,Overall,B,,,,,,
710254,"CZK 5,500",50.08159,14.42553,"Vodičkova, Prague - Nové Město",Other,20 m²,CZK 500,Partially furnished,5,No,No,No,No,No,Yes,No,13. 03. 2022,16,375,196,0,13,11,256,877,148,402,Good,,,Personal,Brick building,,,Central heating,Top floor,,G,,,,,,
710517,"CZK 14,500",50.06583,14.45058,"Vršovická, Prague - Vršovice",1 bedroom with open-plan kitchen,47 m²,CZK 600,Partially furnished,3,No,No,No,No,No,Yes,No,01. 04. 2022,175,435,132,543,147,279,411,421,188,593,Excellent,"CZK 14,500",,Personal,Brick building,,,Gas boiler,Middle floor,Interior,G,,,,,,
694966,"CZK 14,000",50.0123751,14.4000073,"Vrátnická, Prague - Modřany",Studio,42 m²,"CZK 2,500",Partially furnished,1,Yes,Yes,Yes,No,Yes,Yes,No,31. 03. 2022,197,"1,078",373,"1,322",740,"1,383","1,378",662,,,New build,"CZK 16,000",,Personal,Brick building,1 to 10 years years,,Central heating,Ground floor,,A,Yes,26 m²,,,,
710588,"CZK 14,500",50.14129,14.51629,"Letovská, Prague - Letňany",Studio,36 m²,"CZK 1,000",Partially furnished,7,Yes,No,No,No,Yes,Yes,No,01. 04. 2022,64,561,679,"1,147",470,663,813,705,996,411,Excellent,"CZK 20,000",,Personal,Brick building,,,,,,B,,,,,,
691112,"CZK 19,500",50.07372,14.44571,"Chodská, Prague - Vinohrady",1 bedroom with open-plan kitchen,51 m²,"CZK 4,000",Furnished,2,No,No,No,No,Yes,No,No,01. 05. 2022,321,287,274,900,116,557,466,437,658,412,Excellent,"CZK 30,000",,Personal,Brick building,,,Gas boiler,,,D,,,,,,
