Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,Front garden,Renovation,Age,Administration fee,New building,Developer name,Project name,Kód jednotky
587134,"CZK 18,000",50.071571,14.476267,"Bajkalská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,57 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,Furnished,6,Yes,No,No,No,No,Yes,No,01. 02. 2022,C,179,66,183,342,66,156,204,285,442,287,Standard materials and solutions,Gas boiler,Top floor,,Overall,1 to 10 years years,,,,,
645425,"CZK 13,000",50.06436,14.460205,"Pod Soutratím, Prague - Vršovice",Studio,New build,30 m²,"CZK 1,000",,Personal,Low-energy building,Partially furnished,5,Yes,No,No,No,No,Yes,No,21. 01. 2022,B,286,705,300,657,278,765,623,485,77,295,Premium materials and solutions,Geothermal heat pump,,,Overall,,,,,,
699474,"CZK 9,500",50.0834925,14.3750573,"Šlikova, Prague - Břevnov",Studio,Excellent,33 m²,CZK 800,"CZK 10,300",Other,Brick building,Partially furnished,1,No,No,No,No,No,No,No,17. 01. 2022,G,245,914,207,414,108,384,304,639,366,498,,,,,,,,,,,
700232,"CZK 12,000",50.07302,14.48617,"Nad Olšinami, Prague - Vinohrady",2 bedroom,Excellent,56 m²,"CZK 5,500","CZK 10,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,01. 03. 2022,D,169,812,310,398,205,165,417,580,579,220,,,,,,,,,,,
700210,"CZK 11,500",50.13033,14.48087,"Bínova, Prague - Střížkov",Studio,Excellent,32 m²,"CZK 2,500","CZK 11,500",Other,Prefab concrete building,Furnished,2,No,No,No,No,No,Yes,No,31. 01. 2022,C,141,"1,025",378,"1,109",273,282,311,450,"1,181",359,,,,,,,,,,,
700059,"CZK 13,850",50.0394,14.33838,"Janského, Prague - Stodůlky",3 bedroom,Good,80 m²,"CZK 3,800","CZK 14,000",Personal,Prefab concrete building,Unfurnished,4,No,No,Yes,Yes,Yes,Yes,No,24. 01. 2022,G,190,684,233,700,192,241,60,403,183,112,Standard materials and solutions,District heating,Middle floor,,Exterior,10 to 30 years years,,,,,
443324,"CZK 13,000",50.1058461,14.5245588,"Modrého, Prague - Hloubětín",Studio,New build,40 m²,"CZK 2,500","CZK 27,000",Personal,Brick building,Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 03. 2022,,402,"1,137",527,"1,119",689,909,"1,075","1,134","1,001",61,,,,,,1 to 10 years years,,Yes,,,
659452,"CZK 14,000",50.07166,14.46933,"Novorossijská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,37 m²,CZK 800,"CZK 28,000",Personal,Brick building,Partially furnished,5,No,No,Yes,No,No,Yes,No,07. 02. 2022,G,116,539,196,407,207,210,306,183,766,187,,District heating,Top floor,,Overall,,,,,,
699463,"CZK 20,000",50.08885,14.3696,"Ve Střešovičkách, Prague - Břevnov",3 bedroom,Excellent,86 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,Furnished,2,No,No,No,Yes,No,Yes,No,15. 01. 2022,G,408,808,131,897,332,276,391,630,554,458,,,,,,,,,,,
700199,"CZK 15,000",50.0239,14.45969,"Pod Krčským lesem, Prague - Krč",1 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 3,000","CZK 18,000",Personal,Brick building,Furnished,1,Yes,No,No,No,No,No,No,01. 02. 2022,B,155,"1,117",855,637,525,237,839,681,,,,,,,,,,,,,
638943,"CZK 10,000",50.128049,14.502019,"Chotěšovská, Prague - Letňany",Small studio,New build,32 m²,"CZK 2,000","CZK 24,000",Personal,Low-energy building,Partially furnished,3,No,No,No,No,No,Yes,No,14. 02. 2022,G,289,905,97,934,677,843,423,583,214,,,,,,,,,,,,
700034,"CZK 17,000",50.08475,14.36345,"Patočkova, Prague - Břevnov",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,No,No,24. 01. 2022,F,119,96,204,273,219,185,298,649,187,487,,,,,,,,,,,
645909,"CZK 11,500",50.105381,14.571514,Prague - Černý Most,Studio,New build,37 m²,"CZK 2,200","CZK 20,000",Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,Yes,No,01. 02. 2022,B,321,"1,186",253,737,310,210,238,569,83,,,,,,,,,,,,
