Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Design,Heating,Total number of floors,Renovation,New building,Front garden,Developer name,Project name,Kód jednotky
713483,"CZK 53,550",50.090911,14.4295366,"Soukenická, Prague - Nové Město",1 bedroom with open-plan kitchen,,50 m²,"CZK 17,850",,,,,Furnished,4,Yes,No,No,No,No,Yes,Yes,,144,325,176,152,60,230,49,259,388,439,21. 04. 2022,,,,,,,,,,
714338,"CZK 58,781",50.0907943,14.427063,"Dlouhá, Prague - Staré Město",2 bedroom with open-plan kitchen,,62 m²,"CZK 19,594",,,,,Furnished,3,No,No,No,No,No,Yes,No,,2,191,16,48,1,127,128,306,209,259,17. 05. 2022,,,,,,,,,,
714336,"CZK 12,500",50.09061,14.44044,"Za Poříčskou bránou, Prague - Karlín",Studio,Excellent,27 m²,"CZK 2,675","CZK 25,000",,Personal,Brick building,Partially furnished,6,No,Yes,No,No,No,Yes,No,G,204,720,323,398,14,454,483,930,566,408,01. 05. 2022,,,,,,,,,,
714334,"CZK 18,000",50.04723,14.46067,"Michelská, Prague - Michle",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 2,800","CZK 20,000",,Personal,Brick building,Partially furnished,3,No,No,Yes,No,Yes,Yes,No,G,244,553,100,615,18,614,406,412,371,270,25. 04. 2022,,,District heating,,,,,,,
713519,"CZK 27,900",50.0471114,14.4429584,"Krchlebská, Prague - Krč",1 bedroom with open-plan kitchen,,41 m²,"CZK 9,300",,,,,Furnished,5,No,No,No,No,No,No,No,,394,499,253,432,280,389,317,725,696,412,01. 06. 2022,,,,,,,,,,
713511,"CZK 44,973",50.1025661,14.4522431,"Na Maninách, Prague - Holešovice",1 bedroom with open-plan kitchen,,69 m²,"CZK 14,991",,,,,Furnished,6,Yes,Yes,No,No,No,Yes,No,,105,350,144,146,109,151,432,394,290,329,19. 04. 2022,,,,,,,,,,
713490,"CZK 39,600",50.0876118,14.4080467,"Míšeňská, Prague - Malá Strana",1 bedroom with open-plan kitchen,,46 m²,"CZK 13,200",,,,,Furnished,2,No,No,No,No,No,No,No,,249,259,109,237,65,537,295,274,806,231,03. 05. 2022,,,,,,,,,,
713495,"CZK 49,650",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,,53 m²,"CZK 16,550",,,,,Furnished,3,No,No,No,No,No,Yes,No,,281,192,58,183,11,368,315,297,289,305,23. 04. 2022,,,,,,,,,,
713499,"CZK 39,015",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,,44 m²,"CZK 13,005",,,,,Furnished,3,No,No,No,No,No,No,No,,281,192,58,183,11,368,315,297,289,305,19. 05. 2022,,,,,,,,,,
713501,"CZK 33,750",50.0718291,14.4385892,"Americká, Prague - Vinohrady",1 bedroom,,43 m²,"CZK 11,250",,,,,Furnished,4,No,No,No,No,No,Yes,No,,274,300,81,587,69,312,103,253,793,568,16. 05. 2022,,,,,,,,,,
713475,"CZK 32,250",50.0717643,14.4385436,"Americká, Prague - Vinohrady",Studio,,27 m²,"CZK 10,750",,,,,Furnished,4,No,No,No,No,No,Yes,No,,272,322,70,607,60,509,83,250,792,565,16. 05. 2022,,,,,,,,,,
713480,"CZK 46,103",50.0840648,14.4187033,"Jilská, Prague - Staré Město",1 bedroom with open-plan kitchen,,53 m²,"CZK 15,367",,,,,Furnished,3,No,No,No,No,No,Yes,No,,298,541,99,261,14,253,193,593,251,217,02. 05. 2022,,,,,,,,,,
713482,"CZK 74,850",50.090911,14.4295366,"Soukenická, Prague - Nové Město",2 bedroom with open-plan kitchen,,90 m²,"CZK 24,950",,,,,Furnished,4,Yes,Yes,No,No,No,Yes,Yes,,144,325,176,152,60,230,49,259,388,439,12. 05. 2022,,,,,,,,,,
713466,"CZK 21,038",50.088447,14.458108,"Koněvova, Prague - Žižkov",Studio,,35 m²,"CZK 7,012",,,,,Furnished,3,Yes,No,No,No,No,Yes,Yes,,202,261,167,291,120,196,324,494,176,433,02. 06. 2022,,,,,,,,,,
713467,"CZK 23,625",50.0984636,14.4253146,"Ovenecká, Prague - Holešovice",1 bedroom with open-plan kitchen,,55 m²,"CZK 7,875",,,,,Furnished,5,No,No,No,No,No,Yes,No,,220,310,47,185,156,218,202,"1,485",496,451,01. 06. 2022,,,,,,,,,,
713852,"CZK 63,000",50.090911,14.4295366,"Soukenická, Prague - Nové Město",2 bedroom with open-plan kitchen,,90 m²,"CZK 21,000",,,,,Furnished,4,No,No,No,No,No,Yes,Yes,,144,325,176,152,60,230,49,259,388,439,20. 04. 2022,,,,,,,,,,
713465,"CZK 35,475",50.0795659,14.4357789,"Balbínova, Prague - Vinohrady",1 bedroom with open-plan kitchen,,60 m²,"CZK 11,825",,,,,Furnished,3,No,No,No,No,No,Yes,No,,134,417,252,351,68,251,205,205,457,712,02. 06. 2022,,,,,,,,,,
713458,"CZK 42,750",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,,64 m²,"CZK 14,250",,,,,Furnished,3,Yes,Yes,No,No,No,Yes,No,,110,274,157,129,77,143,300,496,282,367,11. 05. 2022,,,,,,,,,,
714330,"CZK 18,490",50.10238,14.44509,"Tovární, Prague - Holešovice",1 bedroom with open-plan kitchen,Good,71 m²,"CZK 2,999","CZK 18,490",,Personal,Brick building,Furnished,4,No,No,Yes,No,No,Yes,No,C,161,207,201,445,174,111,139,291,567,90,15. 04. 2022,,,,,,,,,,
714329,"CZK 38,775",50.0918754,14.4250902,"Řásnovka, Prague - Staré Město",2 bedroom,,48 m²,"CZK 12,925",,,,,Furnished,2,No,No,No,No,No,No,No,,158,249,155,246,113,320,391,409,155,114,21. 04. 2022,,,,,,,,,,
714326,"CZK 32,000",50.0718599,14.4069708,"Staropramenná, Prague - Smíchov",4 bedroom,Excellent,100 m²,,"CZK 32,000",,Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,G,84,431,29,122,32,316,525,"1,005","1,152",639,15. 04. 2022,,,Gas boiler,,Interior,,,,,
714324,"CZK 22,000",50.06703,14.46242,"Uzbecká, Prague - Vršovice",2 bedroom with open-plan kitchen,Excellent,84 m²,"CZK 5,000","CZK 22,000",,Personal,Prefab concrete building,Partially furnished,6,No,No,Yes,Yes,No,Yes,No,G,120,617,133,442,113,673,553,108,366,490,01. 05. 2022,,,,,,,,,,
714118,"CZK 15,000",50.06662,14.42083,"Neklanova, Prague - Vyšehrad",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 3,880","CZK 17,000",,Cooperative,Brick building,Partially furnished,2,No,No,Yes,No,No,Yes,No,F,163,"1,117",132,158,145,195,238,464,424,492,01. 06. 2022,,,,,,,,,,
713699,"CZK 16,000",50.04177,14.44966,"U Krčské vodárny, Prague - Krč",2 bedroom,Excellent,68 m²,"CZK 1,500","CZK 20,000",,Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,No,No,B,187,753,252,446,151,140,295,504,"1,130",482,01. 05. 2022,,,,,,,,,,
713209,"CZK 14,500",50.02559,14.43177,"Novodvorská, Prague - Braník",3 bedroom,Good,68 m²,"CZK 5,000","CZK 19,500",,Personal,Prefab concrete building,Partially furnished,2,No,No,No,Yes,No,No,No,G,137,277,207,284,217,303,270,249,843,372,01. 05. 2022,,,,,,,,,,
710879,"CZK 19,000",50.08726,14.40593,"Mostecká, Prague - Malá Strana",1 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 7,000","CZK 25,000",,Personal,Other,Partially furnished,1,No,No,No,No,No,No,No,G,136,135,21,108,13,355,165,470,644,326,15. 04. 2022,,,,,,,,,,
