Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,New building,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Heating,Total number of floors,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Renovation,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
333313,"CZK 11,000",50.0573689,14.2818185,"Prušánecká, Prague - Zličín",Studio,,37 m²,"CZK 2,500","CZK 16,000",Personal,Brick building,,Furnished,1,Yes,No,No,No,No,No,No,24. 03. 2022,,,,276,"1,040",867,797,881,921,270,"1,143",103,,,,,,,,,,
596216,"CZK 13,000",50.06009,14.43094,"Na Bitevní pláni, Prague - Nusle",Studio,Excellent,30 m²,"CZK 2,000","CZK 13,000",Personal,Brick building,,Furnished,3,No,No,No,No,No,No,No,01. 03. 2022,Gas boiler,Middle floor,G,212,"1,041",143,428,123,320,608,325,635,602,over 50 years years,Standard materials and solutions,Interior,,,,,,
619392,"CZK 13,600",50.126985,14.503125,"Bechlínská, Prague - Letňany",1 bedroom with open-plan kitchen,New build,55 m²,"CZK 3,500","CZK 17,100",Personal,Other,,Furnished,5,Yes,No,No,No,No,Yes,No,15. 09. 2020,Central heating,Middle floor,B,230,851,152,880,522,995,303,526,211,,1 to 10 years years,,,,,,,,
708538,"CZK 20,000",50.05829,14.42337,"Sinkulova, Prague - Podolí",1 bedroom with open-plan kitchen,Excellent,73 m²,,"CZK 40,000",Personal,Brick building,,Furnished,1,No,No,No,No,No,Yes,No,01. 04. 2022,,,B,185,417,282,396,84,395,414,504,364,399,,,,,,,,,
708536,"CZK 10,300",50.0647,14.45068,"Novgorodská, Prague - Vršovice",Small studio,Good,28 m²,"CZK 1,800","CZK 15,000",Personal,Brick building,,Unfurnished,4,No,No,No,No,No,No,No,01. 03. 2022,,,C,209,578,211,701,194,420,362,550,366,544,,,,,,,,,
516513,"CZK 28,000",50.0851195,14.3196968,"Stochovská, Prague - Ruzyně",3 bedroom,,112 m²,"CZK 2,000","CZK 28,000",Personal,Brick building,,Furnished,,Yes,Yes,No,No,No,No,No,,,,,266,"1,418",550,240,"1,275",831,623,257,,,,,,,,,,,
374238,"CZK 11,500",50.0725797,14.4868366,"Mrštíkova, Prague - Strašnice",1 bedroom with open-plan kitchen,,57 m²,CZK 600,"CZK 23,000",Personal,Brick building,,Unfurnished,2,No,No,Yes,No,No,No,No,01. 03. 2022,Other,,,146,780,382,401,182,142,397,578,510,294,,,,,,,,,
708487,"CZK 17,000",50.1505292,14.5195579,"Ke Stadionu, Prague - Čakovice",2 bedroom with open-plan kitchen,Excellent,80 m²,"CZK 5,000","CZK 40,000",Personal,Prefab concrete building,,Furnished,4,No,No,Yes,Yes,No,Yes,No,11. 04. 2022,District heating,,E,173,393,331,851,"1,155",333,"1,064","1,182",166,,,,,,,,,,
473481,"CZK 16,500",50.0673575,14.4344555,"Sarajevská, Prague - Vinohrady",2 bedroom,,72 m²,"CZK 1,500","CZK 16,500",Personal,Brick building,,Partially furnished,3,No,No,No,No,No,No,No,01. 03. 2022,Gas boiler,Middle floor,,220,721,217,737,229,845,722,666,535,622,,Standard materials and solutions,,,,,,,
707936,"CZK 15,000",50.08847,14.36782,"Ve Střešovičkách, Prague - Břevnov",2 bedroom,Excellent,71 m²,"CZK 2,000","CZK 15,000",Personal,Brick building,,Furnished,1,No,No,No,No,No,No,No,01. 03. 2022,,,G,245,674,162,764,213,142,260,728,687,559,,,,,,,,,
708484,"CZK 15,000",50.0165242,14.4400853,"Krhanická, Prague - Kamýk",2 bedroom,Excellent,60 m²,"CZK 4,500","CZK 19,500",Personal,Prefab concrete building,,Partially furnished,14,No,No,Yes,No,Yes,Yes,No,01. 04. 2022,,,G,270,"1,010",62,"1,256",784,294,399,481,799,333,,,,,,,,,
708483,"CZK 14,000",50.03357,14.38767,"Geologická, Prague - Hlubočepy",1 bedroom with open-plan kitchen,Excellent,59 m²,"CZK 4,000","CZK 28,000",Personal,Brick building,,Partially furnished,3,No,No,No,Yes,No,Yes,Yes,14. 03. 2022,,,C,147,"1,031",404,939,235,997,"1,164","1,149","1,117",499,,,,,,,,,
708480,"CZK 15,000",50.09793,14.3627,"Súdánská, Prague - Vokovice",2 bedroom,Excellent,53 m²,"CZK 5,500","CZK 25,000",Personal,Prefab concrete building,,Unfurnished,3,No,No,Yes,Yes,No,Yes,No,07. 03. 2022,,,G,103,180,269,255,232,280,515,313,"1,414",374,,,,,,,,,
708479,"CZK 18,000",50.13367,14.54828,"Železnobrodská, Prague - Kbely",2 bedroom with open-plan kitchen,Excellent,117 m²,"CZK 5,000","CZK 23,000",Personal,Brick building,,Partially furnished,2,No,No,No,No,No,No,Yes,15. 03. 2022,Central heating,Attic,G,41,303,244,300,238,335,335,231,119,,10 to 30 years years,Standard materials and solutions,,,,,,,
452423,"CZK 16,000",50.042408727709,14.501374404321,"Šternovská, Prague - Chodov",2 bedroom with open-plan kitchen,New build,85 m²,"CZK 5,600","CZK 40,000",Cooperative,Brick building,,Partially furnished,2,No,No,No,No,Yes,Yes,No,01. 04. 2022,District heating,Middle floor,C,186,"1,216",714,"1,472",250,694,617,647,466,128,10 to 30 years years,Standard materials and solutions,,,,,,,
708477,"CZK 12,000",50.12741,14.50208,"Zlonická, Prague - Letňany",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 2,540","CZK 14,540",Personal,Other,Yes,Unfurnished,2,Yes,No,Yes,No,No,Yes,No,01. 04. 2022,District heating,Middle floor,B,171,787,107,816,621,752,305,464,"1,491",320,10 to 30 years years,Standard materials and solutions,,,,,,,
483455,"CZK 22,000",50.0705361,14.4187017,Prague - Nové Město,1 bedroom with open-plan kitchen,,52 m²,"CZK 1,500",,Personal,Brick building,,Furnished,3,Yes,Yes,No,No,No,No,No,,,,G,72,605,100,46,4,142,189,148,260,382,,,,,,,,,
588242,"CZK 17,500",50.070249,14.380355,"Prachnerova, Prague - Košíře",1 bedroom with open-plan kitchen,New build,48 m²,"CZK 3,890","CZK 35,000",Personal,Other,,Partially furnished,3,Yes,Yes,No,No,No,Yes,Yes,20. 12. 2019,Central heating,Middle floor,A,58,590,37,746,104,854,124,612,"1,010",343,1 to 10 years years,Premium materials and solutions,,,,,,,
659383,"CZK 20,000",50.10766,14.44706,"Ortenovo náměstí, Prague - Holešovice",2 bedroom,Excellent,70 m²,"CZK 3,500","CZK 23,500",Personal,Brick building,,Partially furnished,1,No,No,No,No,No,Yes,No,01. 03. 2022,,,G,19,488,114,488,208,308,207,848,402,134,,,,,,,,,
700492,"CZK 15,500",50.06234,14.44805,"U Křížku, Prague - Nusle",1 bedroom,Excellent,50 m²,CZK 550,"CZK 31,000",Personal,Brick building,,Partially furnished,6,Yes,No,No,No,No,Yes,No,01. 04. 2022,,,G,189,848,224,560,204,598,681,515,786,572,,,,,,,,,
705807,"CZK 17,000",50.08492,14.51447,"Heldova, Prague - Malešice",1 bedroom with open-plan kitchen,Excellent,47 m²,CZK 600,"CZK 17,000",Personal,Prefab concrete building,,Partially furnished,2,No,No,Yes,No,No,No,No,09. 02. 2022,,,G,177,"1,138",498,"1,117",188,520,758,"1,012",202,133,,,,,,,,,
501361,"CZK 14,000",50.0896796,14.4690313,"Biskupcova, Prague - Žižkov",1 bedroom with open-plan kitchen,,42 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,,Furnished,5,No,No,Yes,No,No,No,No,01. 03. 2022,Other,Top floor,,72,734,73,80,48,53,356,394,438,374,1 to 10 years years,Standard materials and solutions,Interior,,,,,,
708457,"CZK 20,000",50.07847,14.44563,"Polská, Prague - Vinohrady",2 bedroom with open-plan kitchen,Good,90 m²,CZK 800,"CZK 20,000",Personal,Brick building,,Partially furnished,4,No,No,No,No,No,Yes,No,01. 03. 2022,,,G,391,639,26,496,37,339,315,78,245,393,,,,,,,,,
521531,"CZK 11,000",50.1387483,14.520434,"Pavla Beneše, Prague - Letňany",Studio,Excellent,38 m²,"CZK 4,200","CZK 30,000",Personal,Other,,Furnished,4,No,No,No,No,Yes,Yes,No,14. 03. 2022,Central heating,Middle floor,B,329,462,"1,091","1,029",439,566,855,"1,119","1,117",52,,,,,,,,,
705787,"CZK 11,500",50.06866,14.36906,"Pod Školou, Prague - Košíře",Studio,Excellent,30 m²,"CZK 3,000","CZK 11,500",Personal,Brick building,,Partially furnished,5,No,No,Yes,No,No,Yes,No,01. 04. 2022,,,D,283,799,333,455,290,348,191,"1,116",488,441,,,,,,,,,
111757,"CZK 12,500",50.1398011856,14.5475077629,"Herlíkovická, Prague - Kbely",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,500","CZK 20,000",Personal,Brick building,,Furnished,2,Yes,No,No,No,No,Yes,Yes,01. 05. 2022,District heating,Middle floor,,177,908,814,762,"1,253",991,856,"1,079",287,,10 to 30 years years,Standard materials and solutions,,,,,,,
708451,"CZK 17,000",50.06309,14.44699,"U Pernštejnských, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,48 m²,"CZK 3,660","CZK 20,660",Personal,Brick building,,Partially furnished,1,No,No,Yes,No,No,Yes,No,01. 04. 2022,,,C,310,735,349,439,325,481,623,636,802,693,,,,,,,,,
708447,"CZK 11,000",50.07476,14.45527,"Sobotecká, Prague - Vinohrady",1 bedroom,Good,30 m²,"CZK 2,500","CZK 11,000",Cooperative,Brick building,,Unfurnished,4,No,No,No,No,No,Yes,No,27. 02. 2022,,,G,172,525,64,382,79,278,222,518,638,7,,,,,,,,,
707659,"CZK 31,500",50.07257,14.43893,"Záhřebská, Prague - Vinohrady",3 bedroom with open-plan kitchen,Excellent,117 m²,"CZK 5,770","CZK 47,000",Personal,Brick building,,Furnished,4,No,Yes,No,No,No,No,No,01. 03. 2022,Gas boiler,Top floor,C,265,320,161,542,59,444,211,349,781,594,,,,,,,,,
707887,"CZK 22,000",50.09427,14.45186,"Sokolovská, Prague - Karlín",1 bedroom with open-plan kitchen,Excellent,77 m²,"CZK 1,000","CZK 25,000",Personal,Brick building,,Unfurnished,3,No,No,No,No,No,Yes,No,22. 02. 2022,,,G,24,328,2,54,39,135,637,"1,271",291,374,,,,,,,,,
583726,"CZK 16,000",50.078299,14.459112,"Sudoměřská, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 3,100","CZK 16,000",Personal,Brick building,,Furnished,3,No,No,No,No,No,Yes,No,01. 05. 2022,,,B,162,361,105,219,130,170,647,472,736,207,,,,,,,,,
708437,"CZK 19,500",50.1084,14.39521,"Terronská, Prague - Bubeneč",2 bedroom with open-plan kitchen,Excellent,62 m²,"CZK 4,619","CZK 19,500",Personal,Brick building,,Partially furnished,1,No,No,Yes,No,No,No,No,06. 05. 2022,,,G,96,"1,252",61,629,51,413,305,393,507,206,,,,,,,,,
529255,"CZK 16,500",50.0629126,14.3665609,Prague - Košíře,Studio,Excellent,45 m²,"CZK 2,500","CZK 33,000",Personal,Brick building,,Furnished,1,No,Yes,Yes,No,No,No,No,01. 03. 2022,Gas boiler,Ground floor,A,89,"1,226","1,013","1,187",751,"1,269",209,537,751,187,1 to 10 years years,Premium materials and solutions,Overall,,81 m²,,,,
708415,"CZK 13,500",50.07307,14.50968,"Mirošovická, Prague - Strašnice",2 bedroom,Excellent,42 m²,"CZK 3,500","CZK 27,000",Cooperative,Brick building,,Partially furnished,3,No,No,No,No,No,No,No,01. 03. 2022,Gas boiler,,G,176,"1,450",483,"1,433",268,671,557,793,"1,419",399,30 to 50 years years,Standard materials and solutions,Overall,,,,,,
706382,"CZK 15,000",50.09826,14.34499,"Na Volánové, Prague - Vokovice",1 bedroom with open-plan kitchen,New build,46 m²,"CZK 3,500","CZK 30,000",Personal,Brick building,,Partially furnished,,No,No,Yes,No,No,No,No,15. 02. 2022,,,C,290,"1,386",284,864,96,470,296,409,357,64,,,,,,,,,
643571,"CZK 11,500",50.111758,14.554104,"Za černým mostem, Prague - Hloubětín",Studio,New build,37 m²,"CZK 1,500","CZK 23,000",Personal,Brick building,,Partially furnished,,No,No,No,No,No,No,No,22. 02. 2022,Central heating,Ground floor,A,404,"1,222",565,243,"1,176",678,"1,233",584,,,1 to 10 years years,Standard materials and solutions,,,15 m²,,,,
671798,"CZK 12,500",50.04829,14.35029,"Ovčí hájek, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 2,500","CZK 15,000",Personal,Prefab concrete building,,Partially furnished,6,No,No,No,No,No,No,No,20. 07. 2021,Central heating,Middle floor,G,395,921,289,507,326,402,454,259,"1,309",282,10 to 30 years years,Standard materials and solutions,,,,,,,
708407,"CZK 14,500",50.05762,14.49675,"Jetelová, Prague - Záběhlice",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 3,600","CZK 20,000",Personal,Brick building,,Partially furnished,5,Yes,No,No,No,No,Yes,Yes,01. 04. 2022,,,G,148,504,161,809,381,130,297,697,317,153,,,,,,,,,
705518,"CZK 19,900",50.07811,14.45841,"Baranova, Prague - Žižkov",2 bedroom,Excellent,74 m²,"CZK 2,800","CZK 22,700",Personal,Brick building,,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,21. 03. 2022,Central heating,Middle floor,G,93,424,71,166,75,234,545,652,799,286,,Premium materials and solutions,Interior,,2 m²,,,,
589557,"CZK 11,000",50.036128,14.411271,"Ke Krči, Prague - Braník",Studio,Excellent,37 m²,"CZK 2,400",,Personal,Brick building,,Partially furnished,1,No,No,No,No,No,No,No,01. 03. 2022,,,A,25,274,142,163,345,303,270,"1,235",249,,,,,,,,,,
707536,"CZK 14,000",50.09927,14.38351,"Velvarská, Prague - Dejvice",1 bedroom with open-plan kitchen,New build,44 m²,CZK 400,"CZK 14,000",Personal,Brick building,,Furnished,-1,No,No,No,No,No,No,No,01. 03. 2022,Electric boiler,,A,245,"1,002",419,407,376,889,809,223,"1,169",467,,,Overall,,,,,,
707808,"CZK 16,500",50.13499,14.47261,"Šimůnkova, Prague - Kobylisy",3 bedroom,Excellent,65 m²,"CZK 3,500","CZK 20,000",Personal,Prefab concrete building,,Furnished,2,No,No,No,No,No,No,No,01. 03. 2022,,,D,184,999,372,"1,096",333,974,465,228,"1,222",163,,,,,,,,,
