Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Age,Designe,Floor space,Fully furnished,Condition,Ownership,EPC,Heating,Balcony,Sklep 5 m²,Lift,New-build,Lodžie 4 m²,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balkón 3 m²,Sklep 4 m²,Parking,Garage,Reconstruction,Sklep 6 m²,Lodžie 3 m²,Balkón 2.6 m²,Sklep 2 m²,Sklep 3 m²,Balkón 5 m²,Cellar,Sklep 58 m²,Balkón 6 m²,Balkón 6.4 m²,Sklep 1.3 m²,Domácí mazlíčci vítáni,Balkón 2.5 m²,Sklep 7 m²,Terasa 5 m²,Terrace,Terasa 14 m²,Lodžie 8 m²,Terasa 8 m²,Lodžie 6 m²,Terasa 4 m²,Terasa 9 m²,Balkón 4 m²,Balkón 12 m²,Lodžie 12 m²,Balkón 2 m²,Lodžie 6.1 m²,Terasa 12 m²,Sklep 17 m²,Balkón 40 m²,Terasa 50 m²,Terasa 10 m²,Sklep 1.2 m²,Balkón 8 m²,Sklep 8.1 m²,Terasa 40 m²,Lodžie 10 m²,Sklep 1 m²,Lodžie 7 m²,Terasa 32 m²,Terasa 70 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 20 m²,Lodžie 5 m²,Balkón 7 m²,Terasa 25 m²,Balkón 10 m²,Balkón 50 m²,Lodžie 50 m²,Terasa 24 m²,Balkón 5.7 m²,Sklep 12 m²,Lodžie 3.2 m²,Sklep 8 m²,Sklep 15 m²,Balkón 18 m²,Administrative fee,Lodžie 5.1 m²,Terasa 21 m²,Balkón 28 m²,Balkón 1.5 m²,Terasa 11 m²,Sklep 10 m²,Terasa 6 m²,Terasa 17 m²,Balkón 14 m²,Balkón 1 m²,Sklep 2.4 m²,Enclosed balcony,Terasa 200 m²,Terasa 78 m²,Lodžie 9 m²,Lodžie 1 m²,Balkón 9 m²,Balkón 15 m²,Lodžie 14.6 m²,Terasa 1 m²,Terasa 37 m²,Terasa 13 m²,Balkón 8.73 m²,Terasa 2.67 m²,Sklep 28 m²,Lodžie 15 m²,Terasa 18 m²,Terasa 350 m²,Balkón 11 m²,Terasa 15 m²,Balkón 2.29 m²,Terasa 16.1 m²,Sklep 3.1 m²,Balkón 13 m²,Balkón 33 m²,Terasa 29 m²,Terasa 100 m²,Terasa 30 m²,Terasa 7 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Lodžie 2.7 m²,Lodžie 13 m²,Terasa 19 m²,Sklep 20 m²,Terasa 14.1 m²,Balkón 70 m²,Terasa 3 m²,Plot space
"CZK 17,000","CZK 6,880","CZK 25,000",521332,2 bedroom,1/2/2023,2,Prefab concrete,,,60 m²,Unfurnished,Very good,Personal,D,Distance,1.0,,1.0,,1.0,165.73,936.52,374.19,1035.11,564.96,417.51,151.8,179.37,1293.72,149.29,Prague - Kobylisy,50.1308991,14.4791739,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 9,000","CZK 10,000",748313,3+1,11/1/2022,1,Prefab concrete,,,80 m²,Partly,Good,,G,,,,,,,236.12,1109.92,250.41,408.38,297.61,371.55,424.12,636.14,451.49,184.56,"Nad Ohradou, Prague - Žižkov",50.09176,14.47078,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 4,700","CZK 20,000",631431,Small studio,11/1/2022,12,Prefab concrete,Up to 10 years,Luxurious,30 m²,Fully furnished,Very good,Personal,B,Distance,,,1.0,,,294.24,485.74,441.44,547.57,164.34,424.59,465.63,309.88,395.87,57.83,"Bítovská, Prague - Michle",50.045213,14.456092,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,000","CZK 20,000",748310,2+kk,10/30/2022,2,Brick,,,53 m²,Unfurnished,Very good,Personal,G,,,,,,,130.33,1098.53,375.26,752.03,365.84,783.29,488.74,463.33,746.74,207.58,"V Zálomu, Prague - Nusle",50.05781,14.44238,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 2,600","CZK 23,600",107622,3+1,11/7/2022,5,Prefab concrete,,,75 m²,Unfurnished,,Cooperative,E,Distance,,,1.0,,,388.42,791.87,343.93,726.7,567.22,739.07,350.84,172.63,2057.36,277.82,"Krynická, Prague - Troja",50.1269242,14.4089477,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 3,000","CZK 13,000",748292,Small studio,1/1/2023,4,Brick,,,19 m²,Fully furnished,Good,,G,Central,,,1.0,,,194.84,757.54,505.26,498.82,119.17,256.92,301.56,581.69,667.68,293.94,"Počátecká, Prague - Michle",50.04368,14.45552,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 6,000","CZK 15,000",748304,2+kk,11/1/2022,3,Brick,,,53 m²,Partly,Good,,G,,,,,,,140.71,312.87,149.64,208.29,199.76,272.48,71.47,444.07,187.53,276.49,"Prouzova, Prague - Vysočany",50.11009,14.50392,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000",CZK 500,"CZK 13,000",375291,Small studio,11/1/2022,6,Brick,,Standard,24 m²,Partly,Very good,Personal,,Central,1.0,,,,,252.81,787.6,49.95,297.86,56.55,223.2,451.94,897.37,493.68,994.0,"Veletržní, Prague - Holešovice",50.1023839,14.4354383,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 9,000","CZK 3,000","CZK 12,000",398937,Studio,11/1/2022,11,Prefab concrete,,,25 m²,Partly,Very good,Personal,,Central,,,,,,54.96,859.17,524.29,935.36,106.75,790.41,1058.7,525.59,1209.43,385.57,Prague - Strašnice,50.0785716,14.5089497,,,,,Complete,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,300","CZK 4,700","CZK 30,600",748298,2+kk,12/1/2022,1,Prefab concrete,,Standard,44 m²,Partly,Very good,Personal,G,Central,,,1.0,,,314.33,1019.13,313.83,1057.76,423.46,1195.95,516.51,1151.6,818.28,226.97,Prague - Chodov,50.0438,14.49665,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 2,884","CZK 19,384",561351,Studio,3/6/2022,9,Other,10 to 30 years,Standard,35 m²,Fully furnished,Very good,Cooperative,,Distance,,,1.0,,,170.54,990.6,173.43,266.68,206.97,382.41,677.05,450.39,195.55,263.69,"Dačického, Prague - Nusle",50.0563642,14.4323269,,,,,Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 4,000","CZK 28,000",744764,2+kk,11/4/2022,2,Low-energy,Up to 10 years,,51 m²,Fully furnished,New-build,Personal,B,Distance,,,1.0,1.0,,419.22,1300.74,1308.62,1345.5,1021.54,1398.09,651.81,482.16,1045.55,376.02,"Naskové, Prague - Košíře",50.06164,14.36178,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 25,000",745338,Studio,11/1/2022,4,Brick,,,38 m²,Partly,New-build,,G,,,1.0,1.0,1.0,,42.16,980.71,35.65,801.41,416.27,652.58,375.7,164.32,685.98,129.58,"Štěchovická, Prague - Strašnice",50.07176,14.49995,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,375","CZK 7,125",,734261,3+1,11/7/2022,-1,,,,35 m²,Fully furnished,,,,,1.0,,1.0,,,36.05,792.81,20.0,597.08,172.08,638.36,366.32,329.81,486.26,346.96,"Dvacátého osmého pluku, Prague - Vršovice",50.0707338,14.4627954,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,500","CZK 3,500","CZK 31,000",748284,2+kk,10/30/2022,1,Brick,,,67 m²,Unfurnished,Good,,G,,,,1.0,,,807.12,1155.57,182.49,1193.95,956.55,1221.04,1395.26,1060.07,1055.79,594.17,"Novobohdalecká, Prague - Michle",50.06326,14.47437,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 2,500","CZK 36,000",748277,2+kk,10/30/2022,2,Brick,,,68 m²,Partly,Very good,,C,Central,,,,,,227.69,635.24,302.17,1888.86,237.49,284.47,611.71,521.57,1380.99,281.05,"Nad Strouhou, Prague - Braník",50.03382,14.41779,,,1.0,1.0,Complete,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,990","CZK 4,990","CZK 50,000",563044,4+kk,11/1/2022,3,Brick,,,110 m²,Partly,,Personal,B,,,,,1.0,,80.21,748.78,465.02,3417.14,587.43,798.99,888.13,403.73,1101.16,184.69,"Rackova zahrada, Prague - Kbely",50.1389742,14.5515386,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
