Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Total number of floors,Design,Front garden,Heating,Renovation,New building,Developer name,Project name,Kód jednotky
705686,"CZK 14,000",50.04577,14.32639,"Sezemínská, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 3,400","CZK 28,000",,Personal,Prefab concrete building,Furnished,3,No,No,Yes,No,No,Yes,No,G,412,506,450,376,286,453,42,215,432,4,01. 03. 2022,,,,,,,,,,
710267,"CZK 28,000",50.083,14.41534,"Konviktská, Prague - Staré Město",3 bedroom,Excellent,74 m²,"CZK 6,000","CZK 28,000",,Personal,Brick building,Furnished,1,No,Yes,No,No,No,No,No,D,492,756,118,498,26,413,483,713,441,302,01. 05. 2022,1 to 10 years years,Raised ground floor,Premium materials and solutions,,Central heating,Overall,,,,
498710,"CZK 11,300",50.066905652166,14.431690307952,"Na Folimance, Prague - Vinohrady",Studio,,33 m²,"CZK 2,700","CZK 14,000",,Personal,Brick building,Furnished,5,No,No,No,No,No,No,No,,361,644,260,752,162,382,418,471,3,147,,1 to 10 years years,Middle floor,Standard materials and solutions,,,Overall,,,,
470822,"CZK 8,000",50.0120743,14.4201057,"Mazancova, Prague - Modřany",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 4,500","CZK 12,500",,Cooperative,Prefab concrete building,Furnished,5,No,No,No,No,Yes,Yes,No,C,250,"1,074",196,976,"1,020","1,001",325,170,"1,096",294,15. 04. 2022,30 to 50 years years,Middle floor,Premium materials and solutions,,District heating,Exterior,,,,
581839,"CZK 17,400",50.128615,14.483932,"Březenská, Prague - Libeň",1 bedroom with open-plan kitchen,New build,62 m²,"CZK 3,550","CZK 55,000",,Personal,Low-energy building,Furnished,2,No,No,No,No,Yes,Yes,Yes,B,163,"1,180",257,"1,235",458,249,195,728,919,192,16. 03. 2022,1 to 10 years years,Middle floor,Premium materials and solutions,,District heating,,Yes,,,
694990,"CZK 27,000",50.101638767123,14.452644197097,"Tusarova, Prague - Holešovice",2 bedroom with open-plan kitchen,New build,70 m²,"CZK 4,000","CZK 27,000",,Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,B,188,545,95,268,25,205,407,369,113,246,01. 05. 2022,1 to 10 years years,,,,,,,,,
710052,"CZK 14,000",50.00821,14.4063,"Vojtova, Prague - Modřany",1 bedroom,Excellent,51 m²,"CZK 4,500","CZK 18,500",,Personal,Brick building,Furnished,1,No,No,No,No,Yes,No,No,G,150,"1,086",483,989,492,725,257,690,"1,373",207,10. 03. 2022,,Ground floor,,,,Overall,,,,
657007,"CZK 11,000",50.0291787,14.4506539,Prague - Krč,Studio,Excellent,27 m²,"CZK 3,200","CZK 22,000",,Personal,Prefab concrete building,Partially furnished,10,No,No,No,No,Yes,Yes,No,C,69,"1,240",280,57,704,788,"1,119",504,325,,01. 03. 2022,,,,,District heating,Interior,,,,
661115,"CZK 27,500",50.07783,14.43667,"Vinohradská, Prague - Vinohrady",3 bedroom,Excellent,112 m²,"CZK 5,581",,,Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,F,82,240,76,129,72,4,335,424,475,805,21. 03. 2022,,,,,,,,,,
710546,"CZK 29,000",50.1060796,14.4540639,"U Uranie, Prague - Holešovice",2 bedroom with open-plan kitchen,Excellent,100 m²,"CZK 6,000","CZK 29,000",,Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,C,205,629,135,441,133,395,474,894,294,243,01. 07. 2022,,,,,,,,,,
