Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Ownership,Heating,Age,New-build,Parking,Cellar,Lift,Designe,Reconstruction,Balkón 4 m²,Garage,Sklep 2 m²,Balkón 5 m²,Lodžie 4 m²,Lodžie 3 m²,Sklep 5 m²,Balkón 6 m²,Balkón 4.21 m²,Sklep 3 m²,Sklep 1 m²,Domácí mazlíčci vítáni,Lodžie 6 m²,Balkón 2 m²,Balkón 1 m²,Balkón 10 m²,Balcony,Terrace,Terasa 5 m²,Sklep 36 m²,Sklep 7 m²,Terasa 20 m²,Terasa 8 m²,Terasa 25 m²,Balkón 7 m²,Sklep 4 m²,Balkón 40 m²,Terasa 50 m²,Sklep 6.1 m²,Lodžie 7 m²,Terasa 40 m²,Terasa 12 m²,Terasa 15 m²,Administrative fee,Enclosed balcony,Terasa 36 m²,Balkón 11 m²,Terasa 14 m²,Sklep 6 m²,Balkón 3 m²,Terasa 100 m²,Balkón 0 m²,Sklep 10 m²,Lodžie 10 m²,Terasa 60 m²,Terasa 7 m²,Balkón 72 m²,Balkón 8 m²,Sklep 1.5 m²,Lodžie 10.8 m²,Sklep 3.6 m²,Balkón 14 m²,Terasa 49 m²,Terasa 28 m²,Balkón 3.7 m²,Terasa 16 m²,Lodžie 16 m²,Terasa 37 m²,Lodžie 5 m²,Lodžie 9 m²,Balkón 9 m²,Balkón 18 m²,Lodžie 18 m²,Terasa 18 m²,Terasa 22 m²,Terasa 6 m²,Sklep 8 m²,Terasa 29 m²,Terasa 3.1 m²,Terasa 35 m²,Balkón 1.5 m²,Sklep 2.8 m²,Balkón 90 m²,Sklep 2.5 m²,Lodžie 8.2 m²,Terasa 11 m²,Terasa 34 m²,Lodžie 8 m²,Balkón 50 m²,Lodžie 12 m²,Sklep 20 m²,Lodžie 2 m²,Terasa 21 m²,Terasa 9 m²,Balkón 13 m²,Balkón 15 m²,Sklep 2.9 m²,Balkón 2.3 m²,Balkón 60 m²,Sklep 10.1 m²,Plot type,Sklep 12 m²,Balkón 12 m²,Terasa 30 m²,Balkón 20 m²,Terasa 80 m²,Terasa 66 m²,Sklep 9 m²,Terasa 13 m²,Terasa 3 m²,Lodžie 4.5 m²,Balkón 16 m²,Plot space,Terasa 10 m²,Balkón 3.5 m²,Terasa 9.8 m²,Terasa 78 m²,Terasa 2 m²,Lodžie 15 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 29 m²,Terasa 70 m²,Terasa 300 m²,Balkón 2.6 m²,Lodžie 6.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 200 m²,Sklep 6.4 m²
"CZK 25,500","CZK 8,500",,753382,1 bedroom,12/5/2022,5,,34 m²,Fully furnished,,,36.05,792.81,20.0,597.08,172.08,638.36,366.32,329.81,486.26,346.96,"Dvacátého osmého pluku, Prague - Vršovice",50.0707338,14.4627954,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 48,000","CZK 4,000","CZK 50,000",607484,4+kk,12/15/2022,2,B,110 m²,,Very good,Brick,261.97,448.6,206.82,351.71,4.15,250.81,369.24,722.71,807.44,456.06,"Tržiště, Prague - Malá Strana",50.08803,14.400407,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,490","CZK 2,990","CZK 10,000",616125,2 bedroom,12/1/2022,9,B,52 m²,Partly,Good,Prefab concrete,197.57,1276.35,331.86,1122.47,891.0,1151.55,511.9,490.58,830.25,58.77,"Rytířova, Prague - Kamýk",50.014636,14.418822,Personal,Central,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,000","CZK 4,000","CZK 15,000",753379,1 bedroom,11/26/2022,3,G,33 m²,Unfurnished,Good,Prefab concrete,253.19,354.47,165.69,349.9,285.37,353.94,457.32,291.06,876.15,160.46,Prague - Hlubočepy,50.03636,14.37407,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,900","CZK 3,254","CZK 33,000",753378,Studio,11/26/2022,6,A,45 m²,Partly,New-build,Low-energy,27.27,1202.44,90.64,1028.91,26.8,1138.44,949.74,1155.45,363.16,287.38,"Na Černé strouze, Prague - Vysočany",50.11024,14.51598,Personal,,Up to 10 years,1.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,500","CZK 2,710","CZK 20,000",170482,Small studio,1/1/2023,5,,28 m²,Partly,,Brick,61.41,341.82,179.51,195.01,106.03,16.4,255.62,214.73,360.82,170.08,"Tusarova, Prague - Holešovice",50.1013189,14.4495232,Personal,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 5,000","CZK 2,000","CZK 3,000",437643,Other,11/26/2022,2,C,8 m²,Fully furnished,,Brick,375.71,1276.82,966.73,1363.72,701.9,1285.91,740.25,914.52,172.14,796.17,"Euklidova, Prague - Petrovice",50.0339555,14.5468597,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 2,700","CZK 36,000",752398,3+kk,12/1/2022,3,G,50 m²,Unfurnished,Very good,Brick,105.57,1653.77,299.13,1293.35,192.29,1718.69,502.69,103.58,762.88,794.88,Prague - Podolí,50.04572,14.41815,,,,,,,,,Interior,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 3,000","CZK 20,000",302655,Studio,11/28/2022,4,,30 m²,Fully furnished,,Brick,190.83,323.45,97.6,509.09,134.86,230.18,223.55,372.28,661.27,119.4,Prague - Holešovice,50.1019491,14.4444775,Personal,Electric boiler,,,,,1.0,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 3,000","CZK 66,000",753364,3+1,12/5/2022,3,F,80 m²,Unfurnished,Good,Brick,155.04,952.51,287.88,1916.91,933.71,1227.86,642.93,469.67,851.4,218.9,"Přívorská, Prague - Čimice",50.13542,14.43793,,Electric boiler,10 to 30 years,,1.0,,,,Interior,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
