Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,PENB,Design,Renovation,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
162276,"CZK 14,600",50.0482006,14.5612604,"Boloňská, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,44 m²,"CZK 1,800",Partially furnished,3,No,No,Yes,No,No,Yes,No,07. 02. 2022,578,"1,114",740,"1,192",235,"1,073",316,393,904,200,Excellent,"CZK 14,600",Personal,Prefab concrete building,,District heating,Middle floor,,Standard materials and solutions,Overall,,,,,,
690506,"CZK 54,188",50.0809579,14.4249745,"Vodičkova, Prague - Nové Město",1 bedroom,35 m²,"CZK 18,062",Furnished,4,No,No,No,No,No,No,No,07. 02. 2022,134,476,148,50,45,79,203,785,249,355,,,,,,,,,,,,,,,,
671786,"CZK 12,700",50.03627,14.33095,"Karla Kryla, Prague - Stodůlky",Studio,38 m²,"CZK 3,300",Furnished,3,Yes,No,No,No,No,Yes,Yes,07. 02. 2022,429,832,501,"1,124",264,792,527,683,625,71,New build,"CZK 25,400",Personal,Brick building,1 to 10 years years,Central heating,Middle floor,C,Premium materials and solutions,,,,,,,
401769,"CZK 12,800",50.05825,14.44248,"Pod Lázní, Prague - Nusle",1 bedroom,45 m²,"CZK 1,200",Furnished,3,No,No,No,No,No,No,No,04. 02. 2022,150,"1,074",411,776,240,802,545,519,647,234,,"CZK 15,000",Personal,Brick building,,,,,,,,,,,,
704494,"CZK 13,000",50.12007,14.46058,"U Třešňovky, Prague - Kobylisy",Studio,38 m²,"CZK 2,700",Partially furnished,1,No,No,Yes,No,Yes,Yes,Yes,07. 02. 2022,82,53,104,537,201,139,753,388,897,455,Excellent,"CZK 20,000",Personal,Brick building,,District heating,,G,,,,48 m²,,,,
704534,"CZK 13,500",50.044,14.45674,"Třeboňská, Prague - Michle",1 bedroom with open-plan kitchen,43 m²,"CZK 3,500",Unfurnished,2,No,No,Yes,No,No,No,No,01. 02. 2022,161,636,403,583,93,220,403,460,559,199,Excellent,"CZK 20,000",Personal,Brick building,,,,G,,,,,,,,
398657,"CZK 15,900",50.0560071,14.446201,"U Družstva Život, Prague - Nusle",1 bedroom with open-plan kitchen,56 m²,CZK 927,Partially furnished,3,No,No,No,No,No,No,No,,362,967,113,521,349,959,264,180,844,345,,"CZK 15,900",Personal,Brick building,1 to 10 years years,,,,Premium materials and solutions,Overall,,,,,,
680045,"CZK 32,250",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom,57 m²,"CZK 10,750",Furnished,5,No,No,No,No,No,Yes,No,07. 02. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
700197,"CZK 12,000",50.0547,14.43307,"Na Hřebenech ⅠⅠ, Prague - Nusle",Small studio,32 m²,"CZK 2,300",Partially furnished,1,No,No,No,No,No,No,No,01. 02. 2022,106,"1,168",199,321,289,267,430,156,152,88,Good,"CZK 12,000",Personal,Brick building,,,,C,,Interior,,,,,,
129979,"CZK 18,500",50.0775642,14.4239107,"Školská, Prague - Nové Město",2 bedroom,70 m²,"CZK 4,000",Furnished,2,No,No,No,No,No,No,No,16. 01. 2022,173,601,24,304,52,294,218,354,350,291,,"CZK 37,000",Personal,Brick building,10 to 30 years years,Gas boiler,Middle floor,,Standard materials and solutions,Interior,,,,,,
