Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Age,Designe,Floor space,Fully furnished,Condition,Ownership,EPC,Heating,Balcony,Garage,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Lift,Cellar,New-build,Parking,Enclosed balcony,Domácí mazlíčci vítáni,Terrace,Reconstruction,Administrative fee,Plot type
"CZK 29,175","CZK 9,725",,730588,Studio,9/23/2022,2,,,,30 m²,Fully furnished,,,,,,,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,1.0,,,,,,,,,
"CZK 37,500","CZK 12,500",,718920,2+kk,9/8/2022,3,,,,60 m²,Fully furnished,,,,,1.0,,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,1.0,,,,,,1.0,,,
"CZK 26,000","CZK 4,000","CZK 60,000",725142,3+kk,10/1/2022,3,Brick,,,70 m²,Partly,New-build,Personal,B,,1.0,1.0,102.6,979.52,389.37,632.25,469.04,711.41,316.23,477.86,771.51,402.85,Prague - Háje,50.02635,14.53098,1.0,1.0,1.0,1.0,,,,,,
"CZK 6,000","CZK 3,000",CZK 0,257492,Small studio,9/2/2022,1,Brick,,,15 m²,Unfurnished,,Personal,,,,,145.69,726.24,146.13,721.33,498.05,629.8,653.74,711.89,1239.11,196.98,"Davídkova, Prague - Libeň",50.1222689,14.4727145,,,,,,,,,,
"CZK 12,500","CZK 2,500","CZK 12,500",593112,Studio,2/26/2021,2,Brick,Up to 10 years,,25 m²,Fully furnished,New-build,Personal,B,Distance,1.0,,52.16,954.55,120.17,229.71,246.72,409.9,241.81,461.94,66.79,231.96,"Tupolevova, Prague - Letňany",50.134812,14.505781,1.0,,1.0,,,,,,,
"CZK 10,990","CZK 3,058","CZK 14,048",732159,Studio,9/3/2022,4,Brick,,,23 m²,Fully furnished,Very good,Personal,G,,,,15.46,1094.5,175.72,946.19,95.9,1117.76,284.87,278.35,479.27,212.72,"Novovysočanská, Prague - Vysočany",50.10008444444,14.48660861111,,,,,,,,,"CZK 14,048",
"CZK 10,990","CZK 3,058","CZK 14,048",732158,Studio,9/2/2022,4,Brick,,,23 m²,Fully furnished,Very good,Personal,G,,,,15.46,1094.5,175.72,946.19,95.9,1117.76,284.87,278.35,479.27,212.72,"Novovysočanská, Prague - Vysočany",50.10008444444,14.48660861111,,,,,,,,,"CZK 14,048",
"CZK 23,000","CZK 6,000","CZK 23,000",727258,2+kk,8/1/2022,1,Brick,,Luxurious,70 m²,Partly,New-build,,C,,,,88.95,789.5,107.34,385.25,116.2,179.24,235.81,308.48,462.3,315.43,"Na Pěšinách, Prague - Kobylisy",50.1250528,14.4573336,,1.0,1.0,,,,1.0,,,
"CZK 12,990","CZK 5,534","CZK 18,524",732149,2+kk,9/2/2022,4,Prefab concrete,,,40 m²,,Very good,Personal,C,,,,466.84,536.29,200.59,248.7,291.65,544.25,780.91,337.4,2013.04,436.09,"Bryksova, Prague - Černý Most",50.10644083333,14.58310111111,,1.0,,,,,,,"CZK 18,524",
"CZK 19,900","CZK 2,500","CZK 34,000",724112,2 bedroom,10/1/2022,1,Brick,,,50 m²,Partly,Very good,,G,,,,223.09,740.62,215.3,404.59,207.61,474.03,404.07,276.61,298.27,269.34,Prague - Nusle,50.06368,14.42373,,1.0,,,,,,,,
