Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Heating,Total number of floors,Renovation,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
717878,"CZK 14,500",50.11085,14.49635,"Nepilova, Prague - Vysočany",Studio,Excellent,50 m²,"CZK 3,000","CZK 17,500",Personal,Brick building,Unfurnished,5,Yes,No,No,No,No,Yes,No,01. 06. 2022,G,,,,246,448,295,198,133,133,715,707,218,259,,,,,,,,,
660829,"CZK 14,990",50.06493,14.2731,"Želetická, Prague - Sobín",1 bedroom with open-plan kitchen,New build,51 m²,"CZK 3,558","CZK 20,000",Personal,Brick building,Furnished,3,Yes,No,No,No,Yes,Yes,Yes,01. 06. 2022,B,,,,397,"1,213",377,"1,020",,,,,,,Yes,1 to 10 years years,Premium materials and solutions,,,,,,
534510,"CZK 14,500",50.1218065,14.4874006,"Litvínovská, Prague - Prosek",1 bedroom with open-plan kitchen,Excellent,49 m²,"CZK 3,500","CZK 30,000",Personal,Prefab concrete building,Unfurnished,5,No,No,No,Yes,No,No,No,01. 07. 2022,,District heating,,Overall,298,894,250,832,594,510,96,185,263,171,,,,,,,,,
515070,"CZK 27,800",50.06671,14.456435,"Oblouková, Prague - Vršovice",3 bedroom,Excellent,80 m²,"CZK 2,940","CZK 40,000",Personal,Brick building,Furnished,6,No,No,No,No,No,Yes,No,01. 07. 2022,,District heating,Top floor,Overall,38,225,51,316,42,316,420,560,322,259,,1 to 10 years years,Premium materials and solutions,,,,,,
559285,"CZK 10,000",50.0566862,14.4888899,Prague - Záběhlice,Studio,,28 m²,"CZK 3,200","CZK 14,000",Personal,Low-energy building,Furnished,4,Yes,No,No,No,No,Yes,No,,B,,Middle floor,,388,"1,104",431,"1,472",570,539,602,"1,133",500,654,Yes,,,,,,,,
699068,"CZK 20,000",50.07027,14.40493,"Nádražní, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 2,000","CZK 20,000",Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,01. 07. 2022,G,Central heating,Middle floor,Interior,89,569,28,167,0,101,552,"1,042","1,020",600,,,,,,,,,
717464,"CZK 12,900",50.06564,14.42022,"Vratislavova, Prague - Vyšehrad",1 bedroom,Excellent,30 m²,"CZK 5,000","CZK 20,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,16. 05. 2022,G,,,,232,"1,185",201,227,24,264,182,312,430,174,,,,,,,,,
184787,"CZK 15,000",50.086448,14.4460189,"Orebitská, Prague - Žižkov",1 bedroom,Excellent,38 m²,"CZK 3,500","CZK 30,000",Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,09. 05. 2022,,,,,85,599,358,553,76,566,334,373,415,567,,,,,,,,,
716734,"CZK 10,000",50.06184,14.44442,"Svatoslavova, Prague - Nusle",1 bedroom,Excellent,40 m²,"CZK 1,000","CZK 20,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,03. 05. 2022,C,,,,137,691,109,397,161,420,540,730,476,584,,,,,,,,,
717811,"CZK 13,500",50.12171,14.46709,"Nad Okrouhlíkem, Prague - Libeň",Studio,Excellent,46 m²,"CZK 3,500","CZK 25,000",Personal,Prefab concrete building,Furnished,1,No,Yes,No,No,Yes,Yes,Yes,01. 06. 2022,G,,,,487,828,492,706,469,743,805,681,805,197,,,,,,,,,
706861,"CZK 17,000",50.03182,14.39405,"Lumiérů, Prague - Hlubočepy",3 bedroom,Good,75 m²,"CZK 1,500","CZK 18,500",Cooperative,Brick building,Partially furnished,,No,No,Yes,No,No,No,No,06. 05. 2022,G,,,,149,"1,491",806,"1,399",240,"1,457",128,,,,,,,,,,,,
717863,"CZK 13,800",50.06001,14.4487,"Pod Pramenem, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,48 m²,"CZK 2,100","CZK 10,000",Cooperative,Brick building,Furnished,1,No,No,No,No,No,Yes,No,09. 05. 2022,G,,,,87,894,122,312,83,640,394,484,816,190,,,,,,,,,
273866,"CZK 10,000",50.0750941,14.4848995,"Irkutská, Prague - Vinohrady",Studio,,29 m²,CZK 750,CZK 1,Personal,Brick building,Unfurnished,-1,No,No,No,No,No,No,No,05. 05. 2022,,Other,Ground floor,Interior,270,723,349,479,359,406,587,571,942,259,,over 50 years years,Standard materials and solutions,,,,,,
577002,"CZK 16,000",50.1171669,14.4317465,"Trojská, Prague - Troja",1 bedroom with open-plan kitchen,,43 m²,"CZK 3,500","CZK 48,000",Personal,Brick building,Unfurnished,1,No,No,No,No,No,No,No,01. 01. 2022,C,,,,141,"1,030","1,164",484,672,"1,054",233,748,,,,,,,,,,,
