Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Design,Heating,Total number of floors,New building,Renovation,Front garden,Developer name,Project name,Kód jednotky
662917,"CZK 13,300",50.10595,14.58328,"Bryksova, Prague - Černý Most",1 bedroom,Excellent,40 m²,"CZK 3,200","CZK 13,300",,Personal,Prefab concrete building,Furnished,7,Yes,No,No,No,Yes,Yes,No,C,581,630,372,420,456,767,"1,395",600,567,,17. 05. 2021,,,,,,,,,,
711539,"CZK 8,000",50.0834856,14.5676132,"Úpická, Prague - Dolní Počernice",1 bedroom with open-plan kitchen,Excellent,35 m²,"CZK 5,000","CZK 10,000",,Personal,Other,Furnished,1,No,No,No,No,Yes,No,No,C,481,"1,328",674,896,"1,493",407,,,,,04. 05. 2022,,,,Attic,,,,,,
561746,"CZK 22,000",50.0672879,14.5526084,"Honzíkova, Prague - Dolní Měcholupy",Studio,New build,86 m²,"CZK 4,000","CZK 40,000",,Personal,Brick building,Partially furnished,7,No,Yes,No,No,No,No,Yes,,511,"1,208",327,246,506,"1,008","1,178",306,,,01. 04. 2022,1 to 10 years years,,Central heating,,,,,,,
197009,"CZK 11,000",50.1233776,14.4844013,"Teplická, Prague - Střížkov",Studio,Excellent,35 m²,"CZK 2,990","CZK 25,000",,Personal,Brick building,Partially furnished,8,No,No,No,No,No,Yes,No,C,250,"1,200",182,"1,139",341,586,251,304,136,43,10. 04. 2022,,Standard materials and solutions,District heating,Middle floor,,,,,,
712033,"CZK 12,500",50.08663,14.45971,"Jeseniova, Prague - Žižkov",Small studio,Excellent,38 m²,"CZK 2,500","CZK 20,000",,Personal,Prefab concrete building,Partially furnished,3,No,No,Yes,No,No,Yes,No,C,104,346,17,618,321,318,251,298,420,143,01. 04. 2022,,,,,,,,,,
712029,"CZK 23,990",50.10301055555,14.43322222222,"Šimáčkova, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 1,234","CZK 25,224","CZK 25,224

                                
                                
                
i",Personal,Brick building,Unfurnished,2,No,No,No,No,No,Yes,No,A,114,770,169,294,55,98,477,456,857,,,,,,,,,,,,
397506,"CZK 13,000",50.115718873824,14.471034512164,"V Zahradách, Prague - Libeň",Studio,Excellent,33 m²,"CZK 5,500","CZK 18,500",,Personal,Brick building,Furnished,3,No,Yes,No,No,No,No,No,,175,"1,139",163,"1,331",72,431,329,"1,274",977,373,01. 04. 2020,1 to 10 years years,Standard materials and solutions,,Middle floor,,Overall,,,,
478318,"CZK 12,000",50.1392824,14.5188443,"Pavla Beneše, Prague - Letňany",Studio,Excellent,30 m²,"CZK 3,000","CZK 24,000",,Personal,Other,Partially furnished,2,Yes,No,No,No,No,No,No,B,280,448,951,"1,034",486,572,848,978,"1,110",150,,1 to 10 years years,,Central heating,,,,,,,
711995,"CZK 35,000",50.0431626,14.3123334,"Toufarova, Prague - Stodůlky",2 bedroom with open-plan kitchen,New build,140 m²,"CZK 6,000","CZK 50,000",,Personal,Brick building,Furnished,1,No,Yes,Yes,No,Yes,Yes,Yes,C,333,560,306,874,759,504,853,634,"1,106",657,28. 03. 2022,,,,,,,,,,
711964,"CZK 13,000",50.02917,14.5313,"Mnichovická, Prague - Háje",1 bedroom with open-plan kitchen,Good,41 m²,"CZK 3,000","CZK 16,000",,Personal,Prefab concrete building,Partially furnished,11,No,No,Yes,No,No,No,No,A,231,487,196,170,319,380,346,350,441,222,30. 03. 2022,,,,,,,,,,
