Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Ownership,Heating,Designe,Floor space,Fully furnished,Floor,Building type,Reconstruction,Parking,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Condition,Sklep 2 m²,Garage,Lodžie 7 m²,Lift,Age,Balkón 5 m²,Sklep 5 m²,New-build,Balkón 4 m²,Sklep 3 m²,Sklep 20 m²,Balkón 3 m²,Terrace,Sklep 4 m²,Lodžie 4 m²,Domácí mazlíčci vítáni,Balcony,Terasa 50 m²,Balkón 6 m²,Lodžie 2 m²,Terasa 21 m²,Sklep 1 m²,Balkón 2 m²,Balkón 8 m²,Terasa 9 m²,Terasa 11 m²,Terasa 16 m²,Lodžie 16 m²,Lodžie 6 m²,Sklep 10 m²,Sklep 8 m²,Terasa 100 m²,Cellar,Sklep 6 m²,Lodžie 3 m²,Terasa 14 m²,Balkón 10 m²,Terasa 20 m²,Balkón 1 m²,Balkón 7 m²,Balkón 13 m²,Balkón 40 m²,Administrative fee,Balkón 15 m²,Sklep 2.5 m²,Enclosed balcony,Lodžie 10.8 m²,Sklep 3.6 m²,Terasa 27 m²,Balkón 3.7 m²,Lodžie 5 m²,Terasa 8 m²,Terasa 40 m²,Balkón 11 m²,Terasa 15 m²,Balkón 54 m²,Lodžie 8 m²,Sklep 2.9 m²,Balkón 50 m²,Terasa 12 m²,Balkón 2.3 m²,Terasa 10 m²,Lodžie 10 m²,Sklep 9 m²,Terasa 6 m²,Balkón 2.1 m²,Terasa 44 m²,Terasa 35 m²,Balkón 60 m²,Terasa 60 m²,Sklep 10.1 m²,Terasa 7 m²,Lodžie 8.2 m²,Terasa 36 m²,Terasa 34 m²,Sklep 7 m²,Plot type,Sklep 12 m²,Balkón 12 m²,Terasa 30 m²,Terasa 5 m²,Balkón 20 m²,Terasa 80 m²,Terasa 66 m²,Terasa 13 m²,Terasa 28 m²,Balkón 3.2 m²,Terasa 3 m²,Lodžie 4.5 m²,Balkón 16 m²,Balkón 9.8 m²,Sklep 1.5 m²,Plot space,Terasa 17 m²,Terasa 25 m²,Lodžie 12 m²,Balkón 3.5 m²,Balkón 33 m²,Terasa 9.8 m²,Terasa 78 m²,Terasa 2 m²,Lodžie 15 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 9 m²,Balkón 29 m²,Terasa 49 m²,Terasa 12.7 m²,Terasa 70 m²,Balkón 73 m²,Terasa 300 m²,Balkón 2.6 m²,Lodžie 6.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Lodžie 5.1 m²,Terasa 200 m²,Terasa 37 m²,Sklep 15 m²,Terasa 29 m²,Sklep 6.4 m²
"CZK 18,500","CZK 3,500","CZK 37,000",748802,2+kk,11/6/2022,Personal,Central,Standard,53 m²,Partly,3,Brick,,,220.91,971.01,222.54,979.36,479.1,923.84,496.03,999.23,641.8,187.11,"K Netlukám, Prague - Uhříněves",50.03197,14.60946,C,Very good,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,450","CZK 5,500","CZK 21,000",751591,2 bedroom,11/25/2022,Personal,Distance,Luxurious,54 m²,Partly,4,Brick,Complete,,203.19,1114.18,388.64,437.84,358.9,920.96,711.79,470.8,837.91,53.92,Prague - Dejvice,50.10038,14.38322,E,Very good,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 4,900","CZK 30,000",752281,2+kk,11/20/2022,,,,41 m²,Fully furnished,2,Prefab concrete,,1.0,0.14,871.19,234.4,794.25,98.32,820.64,668.51,451.73,353.46,247.01,"Makovského, Prague - Řepy",50.06502,14.29846,G,Very good,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,200","CZK 2,707","CZK 16,200",752279,3+kk,11/20/2022,,,,68 m²,Unfurnished,4,Prefab concrete,,1.0,397.39,715.04,412.52,657.9,354.83,629.32,131.8,155.43,481.74,515.69,"Na Křivině, Prague - Michle",50.0515,14.44902,G,Good,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,000","CZK 2,900","CZK 50,000",747668,2+kk,10/26/2022,,,,70 m²,Partly,6,Brick,Interior,1.0,53.62,491.12,49.94,757.1,100.21,674.56,103.85,182.31,999.85,332.1,"Prachnerova, Prague - Košíře",50.07038,14.38045,G,Very good,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 3,000","CZK 30,000",301142,2+kk,1/1/2023,Personal,Distance,Luxurious,58 m²,Fully furnished,2,Brick,,1.0,193.64,829.34,110.51,858.69,564.35,964.84,344.56,460.01,1540.31,285.12,"Bechlínská, Prague - Letňany",50.1273445,14.5029602,C,Very good,,,,1.0,10 to 30 years,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 5,000","CZK 45,000",751192,2+kk,12/1/2022,Personal,Central,,43 m²,Partly,4,Brick,,,277.01,394.15,53.28,512.97,354.77,531.62,281.21,102.14,348.81,229.85,"Dětská, Prague - Strašnice",50.07493,14.49564,C,Very good,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,500","CZK 20,000",752276,Studio,12/1/2022,,,,33 m²,Fully furnished,5,Brick,,1.0,225.65,1912.7,1075.38,1671.57,442.3,1319.22,767.02,1380.36,1360.16,689.15,"Vorařská, Prague - Modřany",50.01262,14.40006,B,New-build,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 2,400","CZK 15,000",631414,Studio,1/1/2021,Personal,,,34 m²,,1,Brick,,,333.01,605.25,171.72,374.14,206.94,512.73,322.27,597.61,663.84,345.5,"Mozartova, Prague - Smíchov",50.071666,14.396997,D,Very good,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,500","CZK 4,500","CZK 16,000",308727,Studio,11/20/2022,Personal,Electric boiler,Standard,26 m²,Partly,1,Brick,,,321.61,1313.49,216.96,1113.77,394.42,254.78,164.22,156.5,890.05,246.07,"Na výhledech, Prague - Strašnice",50.0684525,14.5009037,,Very good,,,,,Over 50 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
