Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Balcony,Parking,New-build,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Terrace,Designe,Reconstruction,Cellar,Domácí mazlíčci vítáni,Age,Heating,Enclosed balcony,Garage,Plot type
"CZK 18,000","CZK 5,000","CZK 23,000",657207,2+kk,11/1/2022,2,Brick,,50 m²,Partly,Very good,Personal,F,1.0,,,1.0,216.57,427.63,168.14,309.85,188.68,185.58,298.25,344.11,177.98,404.59,"Sámova, Prague - Vršovice",50.06697,14.4515,,,Interior,1.0,,,,,,
"CZK 30,000","CZK 6,000","CZK 50,000",733504,3+kk,9/12/2022,6,Brick,,74 m²,Partly,New-build,,G,1.0,,1.0,1.0,192.57,352.64,15.08,200.15,102.53,203.32,529.68,605.19,222.59,295.16,Prague - Holešovice,50.10458,14.45224,,,,1.0,1.0,,,,,
"CZK 20,000","CZK 1,974","CZK 43,948",732045,2+kk,9/25/2022,2,Brick,,52 m²,Fully furnished,Very good,,D,,,,1.0,353.87,1029.95,325.71,676.63,361.92,403.8,403.93,758.08,133.26,124.18,Prague - Libeň,50.11025,14.47541,,,,1.0,,,,,,
"CZK 8,800","CZK 2,800","CZK 11,599",253614,Studio,11/15/2021,2,Brick,,33 m²,Partly,New-build,Personal,A,,1.0,1.0,,330.42,3234.09,586.62,3478.5,344.13,2874.01,2204.11,2534.5,2749.63,363.71,"Kestřanská, Prague - Cholupice",49.9889024,14.4450727,,Standard,,1.0,,Up to 10 years,Central,,1.0,
"CZK 23,000","CZK 6,000","CZK 23,000",727258,2+kk,8/1/2022,1,Brick,,70 m²,Partly,New-build,,C,,,1.0,,88.95,789.5,107.34,385.25,116.2,179.24,235.81,308.48,462.3,315.43,"Na Pěšinách, Prague - Kobylisy",50.1250528,14.4573336,1.0,Luxurious,,1.0,,,,,,
"CZK 15,000","CZK 4,000","CZK 20,000",515356,2+kk,12/1/2022,3,Brick,,40 m²,Partly,New-build,Personal,B,1.0,1.0,1.0,1.0,245.07,1603.95,923.29,2129.19,697.88,1650.4,1292.07,1787.3,1232.57,710.16,Prague - Kyje,50.115837,14.563305,,Standard,,,1.0,Up to 10 years,Central,,,
"CZK 9,500",CZK 0,"CZK 9,500",643257,4+1,5/1/2022,2,Brick,,143 m²,Partly,Good,Personal,C,1.0,,,1.0,268.97,523.86,128.31,471.01,98.75,200.35,254.09,224.78,159.24,495.36,"Mánesova, Prague - Vinohrady",50.077916,14.44267,,,,,,,,,,
"CZK 25,000","CZK 5,000","CZK 30,000",78050,2+kk,9/6/2022,2,Brick,,90 m²,Fully furnished,,Personal,A,,,,1.0,235.81,608.47,35.44,420.95,72.55,373.1,374.54,873.48,188.81,137.38,"U Uranie, Prague - Holešovice",50.1065558,14.4528197,1.0,,,1.0,,,,,1.0,
"CZK 21,000","CZK 3,900","CZK 30,000",272296,2+kk,6/1/2021,4,Brick,,58 m²,Fully furnished,Very good,Personal,C,1.0,,,,296.76,495.49,292.2,508.16,319.52,397.4,353.87,525.47,683.82,409.22,"Radlická, Prague - Smíchov",50.0660628,14.4029194,,Standard,,,,Up to 10 years,Electric boiler,,,
"CZK 19,500",CZK 1,"CZK 19,500",732034,Studio,9/1/2022,1,Brick,,33 m²,Partly,Very good,,G,,,,,259.4,483.19,126.87,501.11,25.7,450.98,61.28,77.34,565.99,370.66,Prague - Nové Město,50.07863,14.41614,1.0,,,,,,,,,
"CZK 13,000","CZK 3,500","CZK 20,000",394777,Studio,9/5/2022,1,Brick,,30 m²,Fully furnished,,Personal,A,,,,,153.65,1091.92,498.72,1004.45,337.18,1046.03,1222.62,1203.94,1142.71,328.59,"Chlupáčova, Prague - Hlubočepy",50.0353336,14.3859746,,,,,,,,,,
"CZK 29,000","CZK 5,500","CZK 50,000",731960,3+kk,10/1/2022,5,Brick,,81 m²,Fully furnished,New-build,,B,,1.0,1.0,1.0,393.03,1027.39,258.04,1001.43,706.51,542.62,526.95,452.48,1226.06,80.7,Prague - Střížkov,50.13044,14.49426,1.0,Standard,,,,Up to 10 years,Electric boiler,,,
"CZK 18,000","CZK 5,700","CZK 25,000",732354,2+kk,9/4/2022,2,Other,,52 m²,Fully furnished,New-build,,B,,1.0,1.0,1.0,210.94,228.98,313.11,351.71,268.57,280.65,584.56,449.23,338.64,170.96,Prague - Horní Měcholupy,50.0421,14.55736,,,,1.0,,Up to 10 years,,,1.0,
"CZK 17,000","CZK 4,200","CZK 23,400",732282,Studio,9/7/2022,2,Other,,45 m²,Fully furnished,New-build,,C,,,1.0,1.0,220.49,1171.81,333.89,1110.19,787.14,770.92,150.76,505.27,686.7,291.03,Prague - Prosek,50.11945,14.4856,,,,1.0,,Up to 10 years,Central,1.0,1.0,
"CZK 11,000","CZK 4,500","CZK 20,000",543888,Studio,10/1/2022,1,Brick,,30 m²,Partly,New-build,Personal,,1.0,,1.0,1.0,226.08,914.29,66.73,626.52,329.1,751.16,123.39,1989.1,998.4,147.06,"Sazovická, Prague - Zličín",50.0577491,14.2835448,1.0,Standard,,1.0,,,,,,
"CZK 13,000","CZK 4,000","CZK 10,000",733282,3+1,9/6/2022,,Prefab concrete,,777 m²,Partly,Good,,G,1.0,,,,291.39,1027.86,215.49,680.32,633.1,804.61,1178.47,291.34,2491.02,166.14,Prague - Černý Most,50.10307,14.58197,,,,1.0,1.0,,,,,
"CZK 16,000","CZK 4,900","CZK 16,000",671052,2+kk,9/6/2022,1,Brick,,69 m²,Partly,Very good,Personal,G,,,,1.0,295.69,579.96,120.83,366.9,70.62,355.16,297.56,338.33,675.54,94.01,"Baranova, Prague - Žižkov",50.0799,14.4577,,,,,,,Other,,,
"CZK 15,000","CZK 3,100","CZK 15,000",733270,2+kk,10/1/2022,,Prefab concrete,,48 m²,Fully furnished,Very good,,C,,,,,75.97,940.38,255.24,863.44,61.31,812.69,738.49,520.91,194.73,88.27,Prague - Řepy,50.066,14.29848,,,Bathroom unit,1.0,1.0,,Distance,,,
"CZK 23,000","CZK 5,000","CZK 23,000",732375,3+kk,11/1/2022,2,Brick,,74 m²,Partly,Very good,,G,,,,1.0,234.04,1583.45,231.92,1255.78,278.04,219.26,471.98,201.41,552.16,60.46,Prague - Strašnice,50.067,14.51166,,,,,,,,1.0,,
"CZK 16,000","CZK 3,000","CZK 20,000",733272,2 bedroom,9/7/2022,2,Brick,,50 m²,Unfurnished,Good,,G,,,,,40.66,1397.62,179.4,921.71,90.55,531.36,368.52,892.78,455.03,305.58,Prague - Libeň,50.11255,14.47547,,,,,,,,,,
"CZK 19,000","CZK 5,000","CZK 38,000",733267,3+1,9/19/2022,6,Prefab concrete,,66 m²,Partly,Very good,,G,,1.0,,1.0,224.08,922.37,434.67,1592.85,284.95,264.63,705.34,1143.7,773.85,157.27,Prague - Horní Počernice,50.11099,14.6042,,,,1.0,,,,1.0,,
"CZK 12,000","CZK 4,700","CZK 12,000",732311,Studio,9/4/2022,4,Brick,,21 m²,Fully furnished,Very good,,G,,,,1.0,218.58,1120.37,177.35,538.81,22.86,0.18,49.51,432.88,106.29,197.71,Prague - Vyšehrad,50.06697,14.41656,,,,,,,,,,
"CZK 15,000","CZK 5,000","CZK 20,000",528574,Studio,8/9/2018,1,Brick,,35 m²,Fully furnished,Very good,Personal,B,,1.0,,,658.96,997.02,1317.3,1575.98,205.87,1113.2,1402.44,1230.44,383.12,175.07,"Hlučkova, Prague - Letňany",50.1425334,14.5228207,1.0,,,1.0,,,,,,
"CZK 15,580","CZK 1,440","CZK 26,000",577869,2+kk,9/19/2022,4,Brick,,42 m²,Partly,Very good,Personal,G,,,,,232.54,712.2,301.69,1009.67,252.03,393.41,334.16,610.2,900.51,339.38,"Vrchlického, Prague - Košíře",50.0703151,14.3848167,,Standard,Complete,1.0,,,Gas boiler,,,
"CZK 18,900","CZK 4,000","CZK 22,900",732718,2+kk,11/1/2022,4,Brick,,95 m²,Unfurnished,Very good,,G,,,,1.0,130.14,288.58,88.4,562.81,325.37,596.05,422.79,202.89,487.82,164.44,Prague - Strašnice,50.07716,14.49625,1.0,,,,,,,,,
"CZK 24,000","CZK 4,800","CZK 48,000",732007,3+1,9/15/2022,3,Prefab concrete,,80 m²,Unfurnished,Very good,,G,,,,,178.23,245.7,373.27,270.65,450.71,376.96,384.46,685.83,1318.51,167.44,Prague - Řepy,50.06253,14.30883,,,,,,,,1.0,,
"CZK 16,500","CZK 1,000","CZK 20,000",733160,2+kk,9/6/2022,1,Brick,,44 m²,Partly,Very good,,G,,,,,77.69,623.03,159.74,62.71,99.22,986.71,192.98,492.13,591.01,240.84,Prague - Michle,50.05862,14.44969,,,,,,,,,,
"CZK 18,000","CZK 4,500","CZK 36,000",582936,3+kk,9/1/2022,1,Brick,,56 m²,Unfurnished,Very good,Personal,G,,,,,231.73,136.03,189.78,194.29,137.29,225.81,43.12,382.88,71.25,292.35,"Saratovská, Prague - Strašnice",50.075045,14.492493,,,Complete,1.0,,,Central,,,
"CZK 15,500","CZK 4,500","CZK 60,000",732012,2+kk,10/1/2022,3,Brick,,47 m²,Partly,New-build,,A,1.0,1.0,1.0,1.0,590.97,929.04,1249.32,1931.63,112.75,1045.22,1334.45,1162.46,315.13,264.48,Prague - Letňany,50.14145,14.5231,,,,1.0,,,,,1.0,
"CZK 15,000","CZK 4,000","CZK 15,000",254064,Studio,10/1/2022,4,Brick,,35 m²,Fully furnished,,Personal,,,,1.0,1.0,348.07,1365.12,218.31,1303.5,378.06,751.33,287.38,465.91,305.17,230.77,"Jitravská, Prague - Střížkov",50.1225926,14.4825639,,,,,,Up to 10 years,Central,,,
"CZK 16,000","CZK 1,050","CZK 15,000",733053,2+kk,10/1/2022,7,Prefab concrete,,43 m²,Fully furnished,Very good,,G,,1.0,,1.0,115.75,445.36,125.25,916.87,412.84,385.9,301.09,326.0,303.92,127.4,Prague - Chodov,50.03311,14.51756,,,,,,,,,,
"CZK 17,400","CZK 5,000","CZK 22,400",415980,2+kk,9/6/2022,1,Brick,,52 m²,Fully furnished,Very good,Personal,,,,,1.0,82.83,718.77,7.41,50.58,61.81,78.58,381.32,466.35,411.81,343.17,Prague - Žižkov,50.0894498,14.4676983,,Standard,Complete,1.0,,Over 50 years,Gas boiler,,,
"CZK 48,128","CZK 16,042",,733049,3+kk,9/15/2022,5,,,78 m²,Fully furnished,,,,1.0,,,1.0,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,1.0,,,,,,,,1.0,
"CZK 29,175","CZK 9,725",,730588,Studio,9/23/2022,2,,,30 m²,Fully furnished,,,,,,,1.0,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,
"CZK 27,000","CZK 6,000","CZK 35,000",496025,3+kk,10/1/2022,1,Brick,,94 m²,Partly,,Personal,,1.0,1.0,,1.0,215.86,646.3,97.29,444.91,98.85,617.11,559.33,677.46,638.21,226.22,"V Kapslovně, Prague - Žižkov",50.086872,14.4629213,,,,,,,Central,,1.0,
"CZK 18,852","CZK 5,148","CZK 24,000",497125,2+kk,1/24/2021,1,Brick,,55 m²,Fully furnished,New-build,Personal,,1.0,1.0,1.0,1.0,289.31,1030.71,185.29,875.56,580.15,1000.2,374.44,2240.15,1249.45,201.42,"Sazovická, Prague - Zličín",50.0570157,14.2807456,,,,,,Up to 10 years,Central,,,
"CZK 20,000","CZK 5,000","CZK 40,000",649076,2+kk,12/1/2022,1,Brick,,53 m²,Partly,Very good,Personal,,,1.0,,1.0,94.3,1750.54,524.42,585.43,506.77,1100.36,554.38,1437.08,790.47,844.07,"Břeclavská, Prague - Kyje",50.095579,14.545925,1.0,Luxurious,,1.0,,Up to 10 years,Gas boiler,,1.0,
"CZK 21,900","CZK 4,500","CZK 21,900",732943,1 bedroom,9/6/2022,5,Brick,,62 m²,Fully furnished,Very good,,B,,1.0,,1.0,291.61,184.22,159.81,343.76,98.8,382.28,349.22,55.72,247.17,362.7,Prague - Vinohrady,50.07608,14.46399,1.0,,,,1.0,,,,,
