Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Heating,Total number of floors,Age,Design,Front garden,Renovation,New building,Administration fee,Developer name,Project name,Kód jednotky
513246,"CZK 19,000",50.09296,14.50079,"Učňovská, Prague - Hrdlořezy",1 bedroom with open-plan kitchen,New build,58 m²,"CZK 4,000","CZK 38,000",Personal,Brick building,Furnished,3,Yes,No,Yes,No,Yes,Yes,No,01. 03. 2022,B,355,864,485,"1,213",489,532,576,643,"1,271",445,District heating,,,,,,,,,,
697661,"CZK 16,500",50.09042,14.47067,"Rečkova, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,57 m²,"CZK 5,000","CZK 20,000",Personal,Brick building,Furnished,5,No,No,No,No,No,Yes,No,06. 02. 2022,D,80,949,45,294,106,232,368,323,521,391,Gas boiler,Middle floor,1 to 10 years years,Premium materials and solutions,,Interior,,,,,
343623,"CZK 10,000",50.0447151,14.4378787,"Stallichova, Prague - Krč",1 bedroom,,30 m²,"CZK 2,500","CZK 15,000",Cooperative,Brick building,Partially furnished,3,No,No,Yes,No,No,No,No,01. 02. 2022,,275,538,103,680,393,638,347,348,362,160,District heating,Top floor,,,,,,,,,
386568,"CZK 16,000",50.0852942,14.4414501,"Seifertova, Prague - Žižkov",2 bedroom,,56 m²,"CZK 3,000","CZK 16,000",Personal,Brick building,Furnished,5,No,No,Yes,Yes,No,Yes,No,13. 12. 2021,,218,542,89,201,46,541,464,291,642,469,Gas boiler,Middle floor,,,,,,,,,
698291,"CZK 15,000",50.13366,14.47286,"Šimůnkova, Prague - Kobylisy",2 bedroom with open-plan kitchen,Excellent,62 m²,"CZK 4,000","CZK 20,000",Cooperative,Prefab concrete building,Partially furnished,4,No,No,No,No,Yes,Yes,No,15. 01. 2022,G,163,841,209,939,169,817,316,224,"1,262",135,,,,,,,,,,,
697632,"CZK 15,000",50.10566,14.48235,"náměstí Na Balabence, Prague - Libeň",2 bedroom,Excellent,50 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,Yes,Yes,No,Yes,No,01. 02. 2022,G,121,603,138,235,361,720,117,622,486,75,,,,,,,,,,,
423835,"CZK 10,000",50.1270946,14.4765722,Prague - Libeň,1 bedroom with open-plan kitchen,Excellent,19 m²,"CZK 1,000","CZK 11,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,07. 01. 2022,A,167,626,373,658,352,427,350,323,"1,071",355,Central heating,,,Standard materials and solutions,,,,,,,
698437,"CZK 13,400",50.12662,14.41972,"Hnězdenská, Prague - Troja",Studio,New build,37 m²,"CZK 3,000","CZK 16,000",Personal,Brick building,Furnished,5,No,No,No,Yes,No,No,No,01. 02. 2022,G,304,228,253,298,122,272,739,892,"1,291",400,District heating,Middle floor,1 to 10 years years,Standard materials and solutions,,Interior,Yes,,,,
630402,"CZK 18,000",50.091873,14.442369,"Prvního Pluku, Prague - Karlín",1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 1,000","CZK 18,000",Personal,Brick building,,2,No,No,No,No,No,No,No,12. 10. 2020,C,192,392,135,191,42,165,379,914,277,300,,,,,,,,,,,
529719,"CZK 15,000",50.0666053,14.5132924,"Vyžlovská, Prague - Strašnice",1 bedroom with open-plan kitchen,Excellent,41 m²,"CZK 3,500","CZK 30,000",Personal,Prefab concrete building,Furnished,2,No,No,Yes,No,Yes,Yes,No,01. 04. 2022,C,222,381,"1,432",375,364,444,92,726,158,,District heating,Middle floor,,,,Overall,,,,,
685511,"CZK 24,000",50.10527,14.45434,"U Průhonu, Prague - Holešovice",3 bedroom,Excellent,85 m²,"CZK 1,000","CZK 24,000",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,No,Yes,No,03. 01. 2022,C,129,553,64,366,46,319,592,818,301,322,Gas boiler,Middle floor,,,,Overall,,,,,
698418,"CZK 17,500",50.08225,14.49446,"Chotutická, Prague - Malešice",2 bedroom,Excellent,56 m²,"CZK 3,800","CZK 20,000",Personal,Prefab concrete building,Furnished,4,No,No,Yes,No,Yes,Yes,No,10. 01. 2022,G,273,524,85,567,569,524,404,289,622,274,,,,,,,,,,,
695198,"CZK 13,000",50.1045735,14.5472988,Prague - Hloubětín,1 bedroom,Excellent,52 m²,"CZK 4,000","CZK 13,000",Cooperative,Prefab concrete building,,,Yes,No,No,No,No,No,No,Ihned,C,234,780,129,798,549,849,137,665,844,84,,,,,,,,,,,
598549,"CZK 25,000",50.091983,14.43848,"Pobřežní, Prague - Karlín",2 bedroom with open-plan kitchen,Excellent,88 m²,"CZK 3,500","CZK 30,000",Cooperative,Brick building,Furnished,3,No,No,Yes,No,No,No,No,21. 02. 2022,D,144,519,224,117,121,116,688,694,188,722,Electric boiler,Middle floor,1 to 10 years years,Standard materials and solutions,,Interior,,,,,
686568,"CZK 18,000",50.07386,14.41527,"Gorazdova, Prague - Nové Město",Studio,New build,26 m²,"CZK 2,000","CZK 36,000",Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,19. 01. 2022,E,105,431,45,391,67,341,472,466,787,541,,,,,,,,,,,
639990,"CZK 14,500",50.124595,14.450716,"Služská, Prague - Kobylisy",2 bedroom,Excellent,67 m²,"CZK 3,000","CZK 29,000",Cooperative,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,No,No,01. 02. 2022,C,149,"1,061",117,215,410,370,467,622,"1,269",39,Gas boiler,,,,,Overall,,,,,
697608,"CZK 13,500",50.03715,14.51958,"Boháčova, Prague - Háje",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 3,000","CZK 15,000",Personal,Prefab concrete building,Partially furnished,3,No,No,Yes,No,Yes,Yes,No,01. 01. 2022,G,317,800,332,"1,194",380,753,386,417,394,283,,,,,,,,,,,
697603,"CZK 10,000",50.1352448,14.4780006,"Javorová, Prague - Kobylisy",1 bedroom with open-plan kitchen,Good,65 m²,"CZK 4,000","CZK 10,000",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,15. 01. 2022,G,281,"1,208",712,"1,338",0,915,597,688,"1,035",666,,,,,,,,,,,
697569,"CZK 11,500",50.135806,14.3804611,Prague - Suchdol,1 bedroom,Excellent,35 m²,"CZK 3,000","CZK 30,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 01. 2022,D,42,66,329,47,61,86,611,413,865,698,,Ground floor,,Standard materials and solutions,,Interior,,,,,
