Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Reconstruction,Balcony,Parking,Cellar,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Designe,Enclosed balcony,Domácí mazlíčci vítáni,Terrace,Garage,New-build,Administrative fee
"CZK 29,000","CZK 6,000","CZK 58,000",729867,3+kk,9/1/2022,3,Brick,Central,86 m²,Partly,New-build,,B,,1.0,,,1.0,619.74,957.8,1278.08,1960.39,141.51,1073.98,1363.22,1191.22,343.89,293.25,Prague - Letňany,50.14159,14.52344,Up to 10 years,,,,,1.0,,
"CZK 16,000","CZK 4,000","CZK 20,000",735075,2+kk,9/12/2022,1,Brick,,41 m²,Partly,Good,,G,,,,,,370.75,1265.27,341.98,843.86,320.29,1025.67,1000.01,218.25,1013.68,332.92,Prague - Dejvice,50.09786,14.37792,,,,,,,,
"CZK 15,500","CZK 4,000","CZK 20,000",735446,Studio,9/7/2022,3,Other,Central,23 m²,Fully furnished,New-build,Personal,G,Complete,,,,1.0,51.7,1483.2,433.92,1157.74,558.05,744.26,305.46,1138.73,1422.98,612.08,Prague - Vysočany,50.103156,14.5190992,Up to 10 years,Luxurious,,,1.0,,1.0,
"CZK 17,900","CZK 1,100","CZK 25,000",682818,2+kk,10/1/2022,1,Brick,,48 m²,Partly,Very good,Personal,G,,1.0,,,1.0,17.57,739.23,73.61,650.68,225.68,691.96,414.44,312.88,539.86,293.39,"28. pluku, Prague - Vršovice",50.07087,14.46352,,,,,,,,
"CZK 12,000","CZK 2,000","CZK 20,000",729672,Studio,9/22/2022,5,Other,Electric boiler,21 m²,Partly,Very good,,C,,1.0,,,,124.98,538.05,121.55,184.75,182.23,558.84,300.08,228.47,431.04,520.36,"Husinecká, Prague - Žižkov",50.085698,14.4449948,,,,,,,,
"CZK 13,950","CZK 3,000","CZK 28,000",731066,Studio,9/1/2022,4,Brick,,30 m²,Partly,Very good,,C,,,,,1.0,183.47,1118.41,6.3,558.83,121.16,424.75,123.63,355.68,284.69,98.26,Prague - Libeň,50.10608,14.4905,,,,,,,,
"CZK 13,500","CZK 3,000","CZK 16,500",725391,Studio,8/1/2022,2,Brick,,31 m²,Partly,New-build,,A,,,,,1.0,229.9,947.02,205.09,713.91,247.68,447.39,154.37,412.65,1095.26,196.69,Prague - Modřany,50.0061,14.40679,,,,,,,1.0,
"CZK 15,000","CZK 4,000","CZK 15,000",589495,1 bedroom,10/5/2022,5,Brick,Distance,31 m²,Fully furnished,New-build,Personal,C,Complete,,,,1.0,281.46,602.99,267.93,692.17,403.95,688.3,1195.3,523.48,1247.72,159.24,"Peroutkova, Prague - Jinonice",50.058519,14.377489,Up to 10 years,Standard,,,,,1.0,
"CZK 23,000","CZK 9,000","CZK 46,000",735408,3+1,9/7/2022,5,Brick,,105 m²,Unfurnished,Very good,,C,,,,,1.0,174.31,478.5,120.42,94.53,46.33,21.42,249.47,441.3,567.11,636.54,Prague - Vinohrady,50.07382,14.43183,,,,,,,,
"CZK 12,990",CZK 0,"CZK 5,000",681721,Small studio,9/7/2022,1,Brick,Gas boiler,20 m²,Fully furnished,Good,Personal,G,Interior,,,,,155.39,507.59,93.73,189.31,18.14,382.05,535.16,340.41,325.87,706.18,"Na Bělidle, Prague - Smíchov",50.07176,14.40601,,Standard,,,,,,
"CZK 12,500","CZK 3,000","CZK 15,500",736501,Studio,10/1/2022,7,Brick,,33 m²,Fully furnished,Very good,,B,,1.0,,,1.0,454.04,809.88,434.66,484.42,353.37,771.43,492.68,609.29,683.92,296.54,Prague - Vysočany,50.10533,14.50202,,,,,,,,
"CZK 24,000","CZK 5,200","CZK 48,000",733392,Studio,9/10/2022,3,Brick,,35 m²,Fully furnished,New-build,Personal,B,,,,1.0,1.0,130.34,674.95,328.7,662.91,182.49,531.16,929.62,307.24,572.75,335.78,Prague - Smíchov,50.06745,14.40788,,,,,,,,
"CZK 24,000","CZK 1,500","CZK 24,000",736375,3+kk,9/12/2022,3,Prefab concrete,,60 m²,Partly,Very good,,A,,,,,,109.1,334.01,224.08,266.59,387.33,602.89,288.34,323.48,678.15,288.82,Prague - Háje,50.03098,14.53461,,,,,,,,
"CZK 20,000","CZK 8,819","CZK 40,000",736368,2+kk,11/1/2022,4,Brick,,90 m²,Partly,Very good,Personal,A,,1.0,,1.0,,161.3,899.35,320.1,1764.87,3.18,853.19,435.36,1102.65,913.61,415.0,Prague - Kyje,50.10999,14.5568,,,,1.0,1.0,1.0,,
"CZK 19,500","CZK 1,500","CZK 20,000",736364,1 bedroom,9/12/2022,2,Prefab concrete,,33 m²,Partly,Very good,,B,,,,1.0,,316.39,1037.18,438.67,1135.95,350.35,1013.99,444.71,245.89,1993.85,180.33,Prague - Kobylisy,50.13508,14.47123,,,,1.0,,,,
"CZK 14,000","CZK 3,500","CZK 17,500",500196,2+kk,10/1/2022,4,Brick,,47 m²,Partly,,Personal,C,,,,,,248.63,1168.93,208.62,888.88,144.29,155.85,471.33,302.49,1263.33,91.95,"Holečkova, Prague - Smíchov",50.0726461,14.3900917,,,,,,,,
"CZK 18,000","CZK 4,000","CZK 22,000",416712,2+kk,,1,Brick,,52 m²,Partly,Very good,Personal,B,,,,,,208.66,1004.29,152.28,823.14,67.65,367.15,296.52,363.58,10.17,238.32,Prague - Břevnov,50.0843838,14.3782596,,,,,,,,
"CZK 14,000","CZK 3,500","CZK 28,000",735179,Studio,9/7/2022,3,Prefab concrete,,27 m²,Fully furnished,Very good,,G,,1.0,,1.0,1.0,335.07,589.94,203.34,490.57,272.38,255.37,249.48,103.14,1050.25,44.47,Prague - Střížkov,50.12665,14.49526,,,,,,,,
"CZK 35,900","CZK 6,000",CZK 0,714313,2+kk,10/2/2022,2,Brick,Central,54 m²,Fully furnished,New-build,Personal,C,,,1.0,1.0,1.0,272.02,210.14,23.15,386.93,95.61,262.55,143.76,286.0,485.98,170.46,"Kollárova, Prague - Karlín",50.09127,14.44921,Up to 10 years,Standard,,,1.0,,1.0,
"CZK 35,000","CZK 9,000","CZK 70,000",732438,4+1,10/1/2022,3,Brick,,144 m²,Partly,Very good,,G,,,1.0,1.0,,171.29,211.95,122.48,136.09,18.55,176.22,484.41,802.71,382.54,295.97,Prague - Bubeneč,50.10128,14.42327,,,,,,,,
"CZK 28,000","CZK 4,500","CZK 28,000",736199,3+kk,9/30/2022,1,Brick,,71 m²,Partly,New-build,Personal,C,,,,1.0,1.0,115.76,2692.59,582.06,2669.69,596.64,2422.04,1894.42,1805.42,1543.94,105.72,Prague - Modřany,49.99122,14.4164,Up to 10 years,Luxurious,,,1.0,1.0,1.0,
"CZK 35,000",CZK 490,"CZK 35,000",584599,3+1,10/1/2022,3,Brick,Electric boiler,115 m²,Fully furnished,Very good,Personal,G,Complete,,,,,235.09,750.04,190.44,609.02,147.66,390.52,438.65,258.58,274.37,269.57,"Krkonošská, Prague - Vinohrady",50.07954,14.444944,,Luxurious,,,,,,
"CZK 25,000","CZK 3,500","CZK 25,000",603233,2+kk,9/20/2022,3,Brick,Gas boiler,45 m²,Fully furnished,Very good,Personal,,,,,,1.0,371.48,502.43,57.05,243.25,28.96,223.58,26.92,689.96,327.98,363.81,"Michalská, Prague - Staré Město",50.084426,14.42005,,Standard,,,,,,
