Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Age,Floor space,Fully furnished,Condition,Ownership,EPC,New-build,Enclosed balcony,Lift,Cellar,Parking,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Heating,Reconstruction,Designe,Terrace,Domácí mazlíčci vítáni,Garage,Administrative fee,Balcony,Plot type
"CZK 15,000","CZK 3,100","CZK 15,000",733270,2+kk,10/1/2022,,Prefab concrete,,48 m²,Fully furnished,Very good,,C,,,,1.0,,75.97,940.38,255.24,863.44,61.31,812.69,738.49,520.91,194.73,88.27,Prague - Řepy,50.066,14.29848,Distance,Bathroom unit,,,1.0,,,,
"CZK 16,900","CZK 3,000","CZK 25,000",732183,2+kk,9/2/2022,2,Brick,,43 m²,Partly,Very good,,G,,,,,,266.76,1156.69,492.06,2005.06,1050.54,1333.33,1036.47,518.88,1055.57,486.98,Prague - Čimice,50.13549,14.43959,,,,1.0,,,,,
"CZK 17,500","CZK 3,688","CZK 35,000",735450,2+kk,10/1/2022,4,Brick,,48 m²,Partly,New-build,,C,1.0,1.0,1.0,1.0,,291.16,100.7,172.13,1188.31,165.94,1023.26,425.81,635.91,707.3,117.83,Prague - Hlubočepy,50.02944,14.36394,,,,,,1.0,,,
"CZK 20,900","CZK 6,379","CZK 30,000",196494,3+kk,10/1/2022,5,Brick,Up to 10 years,98 m²,Fully furnished,Very good,Personal,,,,1.0,,,454.58,1009.29,218.22,988.36,663.54,604.17,508.86,477.54,1287.6,98.59,"Zakšínská, Prague - Střížkov",50.1303717159,14.4956803405,Distance,,Standard,1.0,,,,1.0,
"CZK 34,500","CZK 11,500",,728709,2+kk,10/8/2022,6,,,45 m²,Fully furnished,,,,,,1.0,,,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,
"CZK 15,500","CZK 4,000","CZK 25,000",735446,Studio,9/7/2022,3,Other,,23 m²,Fully furnished,New-build,,G,1.0,,1.0,,,51.7,1483.2,433.92,1157.74,558.05,744.26,305.46,1138.73,1422.98,612.08,Prague - Vysočany,50.103156,14.5190992,,,,1.0,,,,,
"CZK 16,500","CZK 2,000","CZK 20,000",382637,2 bedroom,2/1/2022,3,Brick,,52 m²,Fully furnished,,Personal,,,1.0,,,1.0,213.38,661.71,176.78,365.51,229.54,405.13,560.35,510.57,645.03,676.1,"Mojmírova, Prague - Nusle",50.0635629,14.4460371,,,,,,1.0,,1.0,
"CZK 17,900","CZK 1,100","CZK 25,000",682818,2+kk,10/1/2022,1,Brick,,48 m²,Partly,Very good,Personal,G,,,1.0,,,17.57,739.23,73.61,650.68,225.68,691.96,414.44,312.88,539.86,293.39,"28. pluku, Prague - Vršovice",50.07087,14.46352,,,,,,,,1.0,
"CZK 15,000",CZK 0,"CZK 20,000",735437,Studio,10/1/2022,1,Prefab concrete,,39 m²,Fully furnished,Very good,,A,,,1.0,,,190.4,240.06,234.63,174.89,174.92,213.21,606.9,769.3,1356.69,302.01,Prague - Troja,50.12696,14.41845,,,,,1.0,,,1.0,
"CZK 17,900",CZK 590,"CZK 35,800",463258,2+kk,10/1/2022,2,Brick,,44 m²,Partly,Good,Personal,,,,,1.0,1.0,127.73,886.45,36.32,399.9,121.48,332.84,596.5,641.14,459.0,269.03,"Nezamyslova, Prague - Nusle",50.0648387,14.4266126,Other,Complete,Standard,,,,,1.0,
"CZK 16,600","CZK 3,200","CZK 33,200",732169,3+kk,9/2/2022,3,Prefab concrete,,68 m²,Partly,Very good,,C,,1.0,,1.0,,173.25,388.72,283.99,452.53,492.57,558.85,250.68,377.95,1208.66,194.6,Prague - Řepy,50.06546,14.31237,,,,,1.0,,,,
"CZK 22,000","CZK 5,000","CZK 27,000",491258,3+1,9/7/2022,1,Brick,,77 m²,Partly,,Personal,,,,,,,397.31,1435.34,473.4,1071.54,471.0,440.05,224.41,357.84,257.04,354.31,"Sušická, Prague - Dejvice",50.1031476,14.3765489,,,,1.0,,,,1.0,
"CZK 16,000","CZK 6,000","CZK 40,000",735431,2+kk,10/15/2022,,Other,,48 m²,Partly,Very good,,G,,,,,,41.82,869.1,80.42,578.78,441.7,947.93,1187.02,898.39,144.87,172.64,Prague - Sedlec,50.13036,14.38268,,,,1.0,1.0,,,,
"CZK 19,800",CZK 690,"CZK 35,000",404702,2 bedroom,9/20/2022,2,Brick,,61 m²,Unfurnished,,Personal,,,,,1.0,,270.22,537.35,570.44,550.42,221.96,239.82,692.29,766.72,780.58,197.31,"Nad Bořislavkou, Prague - Vokovice",50.0956992,14.3662381,Gas boiler,Complete,,,,,,,
"CZK 22,000","CZK 5,700","CZK 22,000",735420,4+1,9/7/2022,4,Prefab concrete,,79 m²,Partly,Good,,G,,,1.0,,1.0,374.24,422.22,80.73,326.1,309.29,351.09,269.18,839.0,653.38,49.14,Prague - Modřany,50.00729,14.42024,Central,,,,,,,1.0,
"CZK 25,000","CZK 1,500","CZK 30,000",735422,1 bedroom,9/7/2022,1,Brick,,48 m²,Fully furnished,Very good,Personal,E,,,,1.0,1.0,180.41,265.03,100.33,44.88,51.54,142.63,259.17,277.26,206.84,257.24,Prague - Staré Město,50.09007,14.42482,Central,Complete,,,,,,,
"CZK 19,900","CZK 7,000","CZK 30,000",735409,2 bedroom,9/15/2022,3,Brick,,83 m²,Fully furnished,Very good,,G,,,1.0,,,311.61,491.04,420.26,954.01,315.32,438.76,826.48,258.6,469.61,508.05,Prague - Smíchov,50.0648,14.40972,,,,,,,,,
"CZK 53,510","CZK 17,836",,725486,4+1,10/14/2022,7,,,110 m²,Fully furnished,,,,,,1.0,,,348.55,940.69,207.03,294.37,97.8,272.7,322.85,445.04,400.99,361.6,"Divadelní, Prague - Staré Město",50.0824664,14.4140344,,,,1.0,,,,1.0,
"CZK 17,990","CZK 2,790","CZK 20,000",488862,2+kk,9/12/2022,1,Brick,,44 m²,Partly,Very good,Personal,,,,,,,392.57,267.17,173.05,308.31,107.52,470.03,317.73,393.0,720.93,221.47,"Ondříčkova, Prague - Vinohrady",50.07994,14.4517114,Central,,,,,,,,
"CZK 15,000","CZK 3,000","CZK 30,000",631633,1 bedroom,10/17/2020,1,Brick,,40 m²,,Very good,Personal,G,,,1.0,1.0,1.0,311.37,344.25,99.63,655.78,87.41,505.7,74.08,99.28,823.58,590.1,"Jana Masaryka, Prague - Vinohrady",50.071485,14.438257,,,,,1.0,,,1.0,
"CZK 6,000",CZK 1,"CZK 6,500",603260,Other,6/30/2022,1,Brick,,120 m²,Fully furnished,Very good,Personal,D,,,1.0,,,93.86,355.52,190.16,381.87,43.18,335.72,486.36,228.61,381.24,99.62,"Ronkova, Prague - Libeň",50.105767,14.476739,,,,,,,,,
"CZK 23,000","CZK 9,000","CZK 46,000",735408,3+1,9/7/2022,5,Brick,,105 m²,Unfurnished,Very good,,C,,,1.0,,,174.31,478.5,120.42,94.53,46.33,21.42,249.47,441.3,567.11,636.54,Prague - Vinohrady,50.07382,14.43183,,,,,,,,,
"CZK 19,500",CZK 1,"CZK 19,500",732034,Studio,9/1/2022,1,Brick,,33 m²,Partly,Very good,,G,,,,,,259.4,483.19,126.87,501.11,25.7,450.98,61.28,77.34,565.99,370.66,Prague - Nové Město,50.07863,14.41614,,,,1.0,,,,,
"CZK 14,000","CZK 1,000","CZK 30,000",456139,Small studio,9/7/2022,1,Brick,,20 m²,Partly,Very good,Cooperative,,,,,,,269.28,526.7,269.64,703.49,80.55,297.14,178.11,169.37,802.54,445.66,Prague - Karlín,50.0899013,14.4468287,Electric boiler,,,,,,,,
"CZK 18,500","CZK 2,500","CZK 37,000",735402,Studio,9/15/2022,2,Brick,,37 m²,Partly,New-build,,D,,,,1.0,,91.34,289.99,135.8,261.29,109.15,224.49,370.49,555.32,136.36,268.8,Prague - Žižkov,50.08845,14.45856,,,,,,,,,
"CZK 14,500","CZK 2,500","CZK 25,000",612251,Studio,9/1/2022,1,Brick,,25 m²,,New-build,Personal,B,,,,,,211.15,237.15,355.34,868.62,194.77,283.9,145.14,177.97,611.03,466.53,"Omská, Prague - Vršovice",50.072914,14.478114,,,,,,,,,
"CZK 12,990",CZK 0,"CZK 5,000",681721,Small studio,9/7/2022,1,Brick,,20 m²,Fully furnished,Good,Personal,G,,,,,,155.39,507.59,93.73,189.31,18.14,382.05,535.16,340.41,325.87,706.18,"Na Bělidle, Prague - Smíchov",50.07176,14.40601,Gas boiler,Interior,Standard,,,,,,
"CZK 14,000","CZK 3,000","CZK 17,000",735321,Studio,10/1/2022,5,Brick,,42 m²,Partly,Very good,,G,,1.0,1.0,,,297.76,788.54,277.56,532.19,299.09,531.96,617.8,430.56,757.75,487.6,Prague - Nusle,50.06288,14.44909,,,,,,,,1.0,
"CZK 37,500","CZK 12,500",,735308,2+kk,11/1/2022,3,,,60 m²,Fully furnished,,,,,,1.0,,,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,
"CZK 20,000",CZK 0,"CZK 20,000",572303,3+kk,9/6/2022,3,Brick,,75 m²,Unfurnished,,Personal,,,,,,,218.11,227.09,256.3,232.12,293.55,339.35,465.43,464.37,820.91,180.03,"Pod Kavalírkou, Prague - Košíře",50.069386,14.3736552,,,,,,,,,
"CZK 24,000","CZK 5,200","CZK 48,000",733392,Studio,9/10/2022,3,Brick,,35 m²,Fully furnished,New-build,Personal,B,,,1.0,1.0,,130.34,674.95,328.7,662.91,182.49,531.16,929.62,307.24,572.75,335.78,Prague - Smíchov,50.06745,14.40788,,,,1.0,,,,,
"CZK 29,690",CZK 0,"CZK 25,000",731887,2+kk,8/31/2022,2,Brick,,50 m²,Fully furnished,Very good,,G,,,1.0,,,399.93,432.91,26.98,381.82,37.96,635.24,269.06,511.7,970.71,313.61,Prague - Vinohrady,50.07956,14.45426,,,,,,,,,
"CZK 23,000","CZK 4,200","CZK 30,000",735206,2+kk,9/7/2022,4,Brick,,72 m²,Partly,Very good,Personal,E,,,1.0,,,23.95,430.92,31.85,121.68,7.68,296.01,127.87,292.46,595.72,409.34,Prague - Nové Město,50.07813,14.41838,,,Standard,,,,,,
"CZK 17,000","CZK 4,500","CZK 30,000",728905,2+kk,8/20/2022,3,Brick,,52 m²,Partly,New-build,,C,1.0,,1.0,1.0,,421.53,1650.45,368.8,2020.44,576.51,1104.33,1815.64,2607.26,521.97,205.56,Prague - Hostavice,50.08478,14.56296,,,,,,,,1.0,
"CZK 17,000","CZK 3,400","CZK 20,400",735195,1 bedroom,9/26/2022,4,Prefab concrete,,38 m²,Fully furnished,Very good,,G,,,,,,378.94,508.23,121.25,345.12,310.01,393.17,215.61,349.39,1160.21,203.79,Prague - Stodůlky,50.04779,14.34583,,,,,,,,,
"CZK 20,000","CZK 4,000","CZK 20,000",695001,2+kk,10/1/2022,4,Brick,,45 m²,Fully furnished,New-build,Personal,B,,,1.0,,,215.1,468.42,94.48,267.26,12.54,274.1,406.04,365.15,170.64,322.72,"Tusarova, Prague - Holešovice",50.101841946188,14.452939237593,,,,,,,,,
"CZK 15,000","CZK 5,000","CZK 25,000",483887,2+kk,10/1/2022,3,Brick,,36 m²,Fully furnished,,Personal,E,,,,,,349.3,744.42,280.28,361.13,260.09,400.91,416.21,279.98,1128.95,331.77,"Na Okraji, Prague - Veleslavín",50.0891547,14.3400733,,Complete,Standard,,,,,,
"CZK 21,000","CZK 2,000","CZK 42,000",735180,2 bedroom,9/23/2022,4,Low-energy,,60 m²,Unfurnished,New-build,,B,,,1.0,1.0,1.0,788.49,1496.01,1446.83,1705.51,320.08,1391.84,1531.97,1359.97,512.65,429.05,Prague - Letňany,50.14243,14.52565,,,,,1.0,1.0,,1.0,
"CZK 27,000","CZK 3,800","CZK 50,000",611890,2+kk,10/1/2022,6,Prefab concrete,Up to 10 years,56 m²,Partly,New-build,Personal,B,1.0,,1.0,,,458.22,1359.99,749.45,4002.43,439.08,726.17,1083.68,3425.09,1173.04,431.34,"Honzíkova, Prague - Dolní Měcholupy",50.067548,14.554658,Distance,,Luxurious,1.0,,1.0,,,
