Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Condition,Ownership,EPC,Heating,Terrace,Cellar,New-build,Parking,Garage,Reconstruction,Sklep 2 m²,Balcony,Lodžie 7.5 m²,Designe,Balkón 6 m²,Sklep 34 m²,Sklep 4 m²,Domácí mazlíčci vítáni,Balkón 33 m²,Balkón 4 m²,Balkón 9 m²,Enclosed balcony,Balkón 60 m²,Balkón 10 m²,Sklep 10 m²,Balkón 2 m²,Sklep 5 m²,Balkón 8 m²,Terasa 20 m²,Sklep 6 m²,Administrative fee,Terasa 12 m²,Balkón 3.1 m²,Balkón 32 m²,Terasa 32 m²,Terasa 19 m²,Balkón 7 m²,Sklep 20 m²,Sklep 3 m²,Sklep 1 m²,Terasa 40 m²,Lodžie 8 m²,Balkón 3 m²,Lodžie 1 m²,Balkón 5 m²,Terasa 15 m²,Water,Sewage,Plot space,Sklep 44 m²,Terasa 10 m²,Sklep 8 m²
"CZK 8,500",CZK 800,517323,Studio,10/15/2022,33 m²,Fully furnished,1,,209.4,563.58,158.4,398.46,99.94,49.61,162.28,211.99,313.93,285.34,Prague - Vršovice,50.0668618,14.4495869,"CZK 8,800",Brick,Up to 10 years,Good,Personal,C,Electric boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 29,000","CZK 6,000",727089,3+1,10/3/2022,79 m²,Fully furnished,,,243.61,1348.9,1081.18,1898.71,473.63,915.47,1131.54,1525.33,1429.94,663.83,Prague - Horní Počernice,50.10538,14.60316,"CZK 50,000",Brick,,New-build,Personal,B,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 4,000",311911,2+kk,10/15/2022,50 m²,Unfurnished,,,298.66,528.24,177.63,1310.38,256.48,813.65,435.42,425.32,385.12,81.41,"Za Pohořelcem, Prague - Střešovice",50.0865695,14.3826858,"CZK 20,000",Brick,,Good,Cooperative,G,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,000",742511,2 bedroom,10/17/2022,40 m²,Fully furnished,2,1.0,497.15,1842.38,1045.67,1821.76,842.88,1025.7,687.06,699.56,988.64,710.31,Prague - Hostivař,50.06443,14.51876,"CZK 40,000",Prefab concrete,,Very good,Personal,A,Central,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 3,156",744440,3+1,10/12/2022,76 m²,Unfurnished,4,,65.43,1209.24,89.72,604.13,133.83,187.06,496.84,364.17,901.81,495.14,Prague - Dejvice,50.10652,14.38996,"CZK 26,000",Brick,30 - 50 years,Very good,Cooperative,C,,,,,,,Interior,,,,Standard,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,600",744442,2+kk,10/8/2022,33 m²,Unfurnished,2,,100.72,937.8,390.48,1121.48,348.18,526.82,654.0,523.86,814.0,605.72,Prague - Libeň,50.11911,14.46961,"CZK 28,000",Brick,,Good,,G,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 5,200",744438,3+kk,10/8/2022,80 m²,Partly,1,,413.9,589.18,486.8,726.98,196.48,550.08,606.46,333.51,524.3,33.52,"Nová kolonie, Prague - Stodůlky",50.04882,14.33125,"CZK 40,000",Brick,,New-build,,G,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 3,000",575329,2+kk,11/1/2022,55 m²,Fully furnished,2,,151.26,810.17,31.92,789.54,794.23,814.21,982.67,922.44,923.03,93.88,"Na Groši, Prague - Hostivař",50.0579743,14.5194548,"CZK 35,000",Brick,10 to 30 years,Very good,Personal,G,,,,,1.0,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 5,000",743513,3+kk,10/3/2022,84 m²,Unfurnished,2,,346.71,871.23,815.39,875.47,346.0,792.37,530.47,691.36,1545.08,375.53,"Nad Dolíky, Prague - Suchdol",50.14213,14.38072,"CZK 23,000",Brick,,Very good,Personal,B,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 6,000",743512,2 bedroom,11/1/2022,66 m²,Partly,3,1.0,125.57,280.49,61.19,229.25,59.21,241.86,265.54,528.85,210.66,525.11,"Haškova, Prague - Holešovice",50.10061,14.42801,"CZK 30,000",Brick,,Good,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
