Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,New building,Heating,Total number of floors,PENB,Age,Design,Renovation,Front garden,Developer name,Project name,Kód jednotky,Administration fee
541134,"CZK 12,000",50.0891962,14.3716185,"Ve Střešovičkách, Prague - Střešovice",1 bedroom with open-plan kitchen,25 m²,"CZK 1,250",Partially furnished,2,No,Yes,No,Yes,No,No,No,03. 01. 2022,370,961,213,"1,028",337,429,547,712,406,336,Excellent,"CZK 10,000",Personal,Brick building,Yes,District heating,Middle floor,,1 to 10 years years,Premium materials and solutions,Overall,100 m²,,,,
148412,"CZK 14,000",50.0465682,14.4435677,"Za Zelenou liškou, Prague - Krč",1 bedroom with open-plan kitchen,53 m²,"CZK 3,600",Furnished,,No,No,No,No,No,No,No,01. 03. 2022,273,439,112,261,162,218,277,586,696,242,Excellent,,Personal,Brick building,,Other,Ground floor,,,,Overall,,,,,
255862,"CZK 12,800",50.1369129,14.5087344,"Krnovská, Prague - Letňany",1 bedroom with open-plan kitchen,55 m²,"CZK 3,152",Furnished,5,Yes,No,Yes,No,No,Yes,No,01. 02. 2022,156,657,327,540,356,180,369,725,419,362,Excellent,"CZK 20,000",Personal,Brick building,,District heating,,,,,Overall,,,,,
697700,"CZK 18,500",50.05049,14.46551,"Na Záhonech, Prague - Michle",2 bedroom with open-plan kitchen,83 m²,"CZK 5,500",Partially furnished,5,Yes,No,No,No,No,Yes,No,19. 01. 2022,157,903,518,937,588,918,565,419,809,127,Excellent,"CZK 37,000",Personal,Prefab concrete building,,,,E,,,,,,,,
460235,"CZK 16,000",50.1114445,14.4975794,"Paříkova, Prague - Vysočany",1 bedroom with open-plan kitchen,60 m²,"CZK 4,500",Partially furnished,2,Yes,No,No,No,No,No,No,01. 02. 2022,107,407,254,175,216,47,706,804,354,356,Excellent,"CZK 16,000",Personal,Other,,,,,,,,,,,,
681784,"CZK 15,900",50.0699026,14.317461,"Na Fialce Ⅱ, Prague - Řepy",2 bedroom,67 m²,"CZK 4,600",Partially furnished,3,No,No,No,No,No,No,No,29. 12. 2021,314,"1,217",918,"1,283",604,"1,071",726,491,533,255,Excellent,"CZK 20,000",Personal,Other,,Gas boiler,Attic,G,10 to 30 years years,Premium materials and solutions,,,,,,
586766,"CZK 12,000",50.012675,14.420254,Prague - Modřany,1 bedroom with open-plan kitchen,45 m²,"CZK 2,500",Unfurnished,4,No,No,No,No,No,Yes,No,01. 02. 2022,190,"1,136",135,"1,038",890,"1,063",264,233,956,233,Excellent,"CZK 12,000",Personal,Brick building,,,,D,,,,,,,,
697687,"CZK 30,000",50.12005,14.43854,"Trojská, Prague - Troja",3 bedroom,114 m²,"CZK 6,500",Partially furnished,2,Yes,No,No,No,No,No,Yes,02. 01. 2022,155,915,"1,262",397,"1,016",960,359,971,988,,New build,"CZK 60,000",Personal,Brick building,Yes,Geothermal heat pump,,B,1 to 10 years years,Premium materials and solutions,,,,,,
697239,"CZK 18,000",50.11506,14.46829,"Chlumčanského, Prague - Libeň",2 bedroom,62 m²,"CZK 3,750",Furnished,4,No,No,Yes,No,No,Yes,No,01. 02. 2022,121,962,143,"1,269",163,201,185,"1,239",889,214,Excellent,"CZK 36,000",Personal,Brick building,,,,G,,,,,,,,
694515,"CZK 10,000",50.07075,14.36128,"Pod Kotlářkou, Prague - Smíchov",Studio,22 m²,"CZK 1,500",Furnished,2,Yes,No,No,No,No,No,No,01. 12. 2021,13,"1,118",639,820,556,713,932,"1,187",378,632,Excellent,"CZK 11,500",Personal,Brick building,,,,A,,,,,,,,
384300,"CZK 10,000",50.0482015,14.4386813,"Milevská, Prague - Krč",Small studio,30 m²,"CZK 2,450",Partially furnished,3,Yes,No,No,No,No,Yes,No,01. 01. 2022,317,311,277,416,191,454,396,519,239,41,,"CZK 20,000",Personal,Prefab concrete building,,,,G,,,,,,,,
644252,"CZK 14,000",50.074283,14.405808,"Matoušova, Prague - Smíchov",1 bedroom with open-plan kitchen,40 m²,"CZK 3,000",Furnished,1,No,No,No,No,No,No,No,01. 03. 2022,272,193,137,261,65,372,285,"1,116","1,051",527,Excellent,"CZK 17,000",Personal,Brick building,,Other,Raised ground floor,F,,Standard materials and solutions,Overall,100 m²,,,,
653759,"CZK 12,000",50.06767,14.40148,"Kováků, Prague - Smíchov",Small studio,19 m²,"CZK 1,500",Furnished,3,No,No,No,No,No,No,No,27. 12. 2021,132,248,236,370,103,150,403,591,854,161,Excellent,"CZK 13,000",Personal,Brick building,,,,F,,,,,,,,
689896,"CZK 15,000",50.12379,14.48473,"Teplická, Prague - Střížkov",1 bedroom with open-plan kitchen,45 m²,"CZK 5,000",Furnished,2,Yes,No,No,Yes,No,Yes,No,01. 01. 2022,178,"1,241",193,"1,180",304,514,262,259,265,207,Excellent,"CZK 20,000",Personal,Prefab concrete building,,District heating,,C,10 to 30 years years,Premium materials and solutions,Overall,,,,,
631120,"CZK 14,000",50.07126,14.342405,"V Úvalu, Prague - Motol",1 bedroom with open-plan kitchen,51 m²,"CZK 2,800",Unfurnished,1,No,No,No,No,No,No,No,01. 01. 2022,115,372,438,191,"1,403","1,056",372,,,,New build,"CZK 16,800",Personal,Brick building,,,,G,1 to 10 years years,,,,,,,
697194,"CZK 14,500",50.07012,14.40722,"Staropramenná, Prague - Smíchov",1 bedroom,36 m²,"CZK 3,500",Furnished,2,No,No,No,No,No,Yes,No,01. 02. 2022,217,658,174,313,83,326,751,"1,136",891,377,Excellent,"CZK 25,000",Personal,Other,,Gas boiler,Middle floor,E,,Standard materials and solutions,,,,,,
555846,"CZK 14,000",50.0573864,14.4679179,"V Dolině, Prague - Michle",1 bedroom with open-plan kitchen,58 m²,"CZK 3,000",Partially furnished,1,Yes,No,No,No,No,Yes,No,02. 01. 2022,248,"1,144",374,"1,373",713,393,744,"1,051",168,,,"CZK 17,000",Personal,Prefab concrete building,,,,,,,,,,,,
691427,"CZK 14,000",49.96283,14.38368,"Neumannova, Prague - Zbraslav",1 bedroom with open-plan kitchen,50 m²,"CZK 3,000",Partially furnished,2,Yes,No,No,No,Yes,No,No,02. 01. 2022,317,243,347,531,748,108,143,,,,Excellent,"CZK 17,000",Personal,Brick building,,,,G,,,,,,,,
697214,"CZK 13,500",50.06194,14.43608,"Petra Rezka, Prague - Nusle",1 bedroom,49 m²,"CZK 2,500",Unfurnished,2,Yes,No,No,No,No,Yes,No,01. 01. 2022,167,614,151,528,121,457,121,445,399,278,Excellent,"CZK 32,000",Personal,Other,,,,G,,,,,,,,
644544,"CZK 12,400",50.073347,14.429008,"Sokolská, Prague - Nové Město",1 bedroom with open-plan kitchen,60 m²,"CZK 5,100",Furnished,3,No,No,No,No,Yes,Yes,No,01. 01. 2022,165,741,184,331,26,278,415,490,473,523,Excellent,"CZK 5,000",Personal,Brick building,,District heating,Middle floor,C,1 to 10 years years,Premium materials and solutions,Overall,,,,,
500987,"CZK 12,000",50.0706924,14.4624872,"Dvacátého osmého pluku, Prague - Vršovice",Studio,32 m²,"CZK 1,500",Partially furnished,3,No,No,No,No,No,No,No,,59,828,2,574,150,617,343,312,860,509,,"CZK 12,000",Personal,Brick building,,District heating,Middle floor,G,,,,,,,,
697209,"CZK 18,000",50.09145,14.44494,"Vítkova, Prague - Karlín",2 bedroom,58 m²,"CZK 2,500",Partially furnished,4,No,No,No,No,No,Yes,No,01. 01. 2022,188,383,12,458,35,432,104,"1,141",540,365,Excellent,"CZK 18,000",Cooperative,Brick building,,,,G,,,,,,,,
588758,"CZK 23,000",50.063612,14.360545,"Naskové, Prague - Košíře",3 bedroom,85 m²,"CZK 6,500",Partially furnished,2,Yes,No,Yes,No,No,No,Yes,01. 03. 2022,13,"1,363","1,089","1,312",734,"1,205",696,40,663,246,Excellent,"CZK 30,000",Personal,Brick building,,Gas boiler,,G,,,Overall,,,,,
697206,"CZK 13,500",50.03331,14.50646,"Valentova, Prague - Chodov",1 bedroom with open-plan kitchen,45 m²,"CZK 3,000",Partially furnished,4,No,No,No,Yes,Yes,Yes,No,01. 01. 2022,157,325,294,"1,368",77,685,288,162,530,106,Excellent,"CZK 16,500",Personal,Prefab concrete building,,District heating,,G,,,,,,,,
697639,"CZK 9,300",50.09364,14.45514,"Šaldova, Prague - Karlín",2 bedroom,70 m²,"CZK 3,500",Partially furnished,4,No,No,No,No,No,No,No,01. 02. 2022,358,627,50,256,60,119,304,"1,325",169,391,Good,"CZK 12,800",Personal,Brick building,,,,G,,,,,,,,
