Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Balcony,Cellar,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Terrace,Lift,Heating,Domácí mazlíčci vítáni,Parking,Enclosed balcony,Designe,Reconstruction,New-build,Garage,Age,"You will rent this apartment for approximately CZK 12,389 CZK",Plot type,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 10,500","CZK 3,300","CZK 16,000",697064,Studio,12/27/2021,1,Prefab concrete,,28 m²,Partly,Very good,Personal,G,,1.0,107.44,1295.05,188.34,1644.08,112.71,709.13,842.85,1174.67,559.7,380.76,"Štúrova, Prague - Krč",50.02978,14.44976,,,,,,,,,,,,,,
"CZK 21,500","CZK 3,000","CZK 43,000",729511,2 bedroom,8/11/2022,2,Brick,,57 m²,Partly,Very good,,G,,1.0,267.75,1301.32,208.94,1122.02,496.69,676.19,348.18,214.56,1000.15,110.09,Prague - Strašnice,50.07119,14.50355,,1.0,,,,,,,,,,,,
"CZK 12,000","CZK 2,950","CZK 24,000",729371,1 bedroom,8/10/2022,5,Prefab concrete,,47 m²,Partly,Good,Other,G,,1.0,130.79,263.27,264.44,291.93,331.26,284.1,242.5,421.78,447.15,239.98,Prague - Stodůlky,50.04378,14.32841,,1.0,,,,1.0,,,,,,,,
"CZK 17,900","CZK 3,000","CZK 35,800",255108,2+kk,10/1/2022,2,Brick,,55 m²,Partly,New-build,Personal,,,1.0,232.03,881.46,24.72,712.58,417.16,837.22,211.45,2077.16,1086.46,149.0,"Sazovická, Prague - Zličín",50.0577682148,14.2825120987,,1.0,Central,,1.0,1.0,Luxurious,,1.0,1.0,Up to 10 years,,,
"CZK 21,000","CZK 7,000","CZK 21,000",611034,2+kk,9/1/2022,2,Brick,,59 m²,Fully furnished,New-build,Personal,B,1.0,1.0,102.31,979.23,389.08,631.96,468.76,711.12,315.94,477.58,771.22,403.14,"Jurkovičova, Prague - Háje",50.026355,14.530983,,1.0,Distance,,,,Luxurious,,,,Up to 10 years,,,
"CZK 18,294","CZK 6,098",,728933,1 bedroom,10/1/2022,5,,,32 m²,Fully furnished,,,,,,274.47,379.57,163.75,556.36,117.69,149.94,133.8,173.39,655.41,271.57,"Peckova, Prague - Karlín",50.090627491525,14.447318674205,,1.0,,,,,,,,,,,,
"CZK 13,500","CZK 2,500","CZK 27,000",729950,Studio,8/22/2022,2,Brick,,28 m²,Unfurnished,Very good,Personal,G,,,111.85,1169.22,640.68,883.83,539.37,955.29,719.13,425.1,588.16,295.46,Prague - Žižkov,50.08774,14.47907,,1.0,Electric boiler,,,,,Complete,,,,,,
"CZK 14,000","CZK 2,880","CZK 28,000",729823,1 bedroom,8/14/2022,1,Brick,,32 m²,Partly,Very good,,G,,,1183.93,1684.93,1612.87,2153.03,1884.46,1989.34,1758.52,1694.5,1317.94,184.88,Prague - Malá Chuchle,50.02254,14.3885,1.0,,,,1.0,,,,,,,,,
"CZK 18,000",CZK 600,"CZK 18,000",536575,2 bedroom,9/1/2022,2,Brick,,63 m²,Unfurnished,,Personal,,,,114.37,500.87,116.07,597.14,93.19,224.86,209.59,289.68,252.52,433.1,Prague - Vršovice,50.0657824,14.4497389,,1.0,Gas boiler,,,,,Complete,,,,,,
"CZK 25,000","CZK 3,000","CZK 25,000",729476,3+kk,8/11/2022,8,Low-energy,,69 m²,Partly,Very good,,B,,1.0,41.41,357.85,168.15,189.94,112.9,141.5,627.05,443.81,695.08,98.67,Prague - Žižkov,50.0786,14.46037,,1.0,,1.0,,,,,,,,,,
"CZK 14,000","CZK 3,500","CZK 20,000",685886,2+kk,10/1/2022,6,Prefab concrete,,45 m²,Partly,Very good,Cooperative,G,,1.0,197.45,440.22,120.51,932.98,220.12,436.92,166.15,398.05,246.08,109.28,"Borovanského, Prague - Stodůlky",50.03862,14.34002,,,,,,,,,,,,,,
"CZK 27,000","CZK 7,000","CZK 54,000",729879,3+kk,8/15/2022,2,Brick,,81 m²,Partly,Very good,,G,,,,,,,,,,,,,Prague - Velká Chuchle,50.00702,14.38293,1.0,1.0,,,,,,,,1.0,,,,
