Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Floor,New building,Age,Design,Front garden,Heating,Total number of floors,Renovation,Administration fee,Developer name,Project name,Kód jednotky
698490,"CZK 9,000",50.08683,14.4501,"Husitská, Prague - Žižkov",Small studio,Excellent,30 m²,"CZK 3,000",,Personal,Brick building,Furnished,No,No,No,No,No,Yes,No,10. 01. 2022,G,139,480,60,451,89,458,264,421,264,694,1,,,,,,,,,,,
694875,"CZK 12,500",50.0909,14.44286,"Prvního pluku, Prague - Karlín",1 bedroom,Good,50 m²,"CZK 1,500","CZK 25,000",Cooperative,Brick building,Furnished,No,No,No,No,No,No,No,04. 12. 2021,G,112,506,113,304,66,279,265,961,390,186,,,,,,,,,,,,
543563,"CZK 15,000",50.0620761,14.4503569,Prague - Nusle,2 bedroom,,50 m²,"CZK 1,650","CZK 16,650",Personal,Brick building,Furnished,Yes,No,Yes,No,No,Yes,No,01. 03. 2022,,272,906,349,571,275,642,598,296,893,353,4,,,,,,,,,,,
698479,"CZK 13,000",50.09015,14.30737,"Ciolkovského, Prague - Ruzyně",1 bedroom with open-plan kitchen,Excellent,42 m²,"CZK 3,000","CZK 20,000",Personal,Prefab concrete building,Partially furnished,No,No,No,Yes,No,Yes,No,07. 01. 2022,C,157,225,132,119,238,176,353,"1,387","1,394",136,12,,,,,,,Overall,,,,
455979,"CZK 15,000",50.0477873,14.4642491,"Na Líše, Prague - Michle",1 bedroom with open-plan kitchen,Excellent,40 m²,"CZK 2,440","CZK 30,000",Personal,Brick building,Partially furnished,Yes,No,Yes,No,No,Yes,No,06. 02. 2022,A,345,762,351,824,342,809,103,137,623,323,2,,1 to 10 years years,Standard materials and solutions,,Central heating,Middle floor,Overall,,,,
599048,"CZK 21,000",50.074957,14.430502,"Legerova, Prague - Vinohrady",1 bedroom,Excellent,35 m²,"CZK 3,000","CZK 10,000",Personal,Brick building,Furnished,No,No,No,No,No,Yes,No,10. 01. 2022,C,23,464,81,96,73,159,362,436,384,451,2,,1 to 10 years years,Premium materials and solutions,,District heating,,,,,,
698306,"CZK 12,750",50.06606,14.49555,"Strančická, Prague - Strašnice",1 bedroom with open-plan kitchen,Excellent,40 m²,"CZK 2,000","CZK 12,750",Personal,Brick building,Partially furnished,No,No,No,No,Yes,No,No,06. 01. 2022,G,155,"1,421",272,"1,125",261,430,339,439,782,514,1,,,,,,,,,,,
699155,"CZK 12,000",50.1339598,14.4748012,"Kubíkova, Prague - Kobylisy",3 bedroom,Excellent,62 m²,"CZK 5,000","CZK 17,000",Cooperative,Prefab concrete building,Partially furnished,No,No,No,No,No,No,No,01. 02. 2022,G,189,966,386,"1,096",264,976,295,401,"1,195",312,,,,,,District heating,Ground floor,,,,,
699142,"CZK 17,500",50.09827,14.40049,"Dejvická, Prague - Dejvice",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 2,000","CZK 35,000",Personal,Brick building,Partially furnished,No,No,No,No,No,Yes,No,01. 02. 2022,G,235,383,24,5,24,214,117,774,337,116,4,,,,,,,,,,,
532956,"CZK 15,500",50.054058,14.3702,Prague - Jinonice,1 bedroom with open-plan kitchen,,46 m²,"CZK 2,500","CZK 31,000",Personal,Low-energy building,Partially furnished,No,No,No,No,Yes,Yes,Yes,10. 01. 2022,C,24,476,188,369,259,235,568,772,331,,3,,,,,,Top floor,,,,,
400345,"CZK 13,500",50.1194442,14.4815146,"Hejnická, Prague - Střížkov",2 bedroom,Excellent,64 m²,"CZK 2,000","CZK 28,000",Personal,Brick building,Partially furnished,No,Yes,No,No,No,No,No,24. 01. 2022,,268,"1,472",400,"1,410",77,"1,088",538,562,634,262,3,,,,120 m²,Gas boiler,Attic,,,,,
698455,"CZK 12,000",50.0847279,14.4488467,"Cimburkova, Prague - Žižkov",2 bedroom,Excellent,41 m²,"CZK 2,300","CZK 15,000",Personal,Brick building,Partially furnished,No,No,No,No,No,No,No,10. 01. 2022,G,240,123,5,150,31,90,146,179,178,583,2,,,,,,,,,,,
696834,"CZK 15,000",50.09712,14.34857,"K Červenému vrchu, Prague - Vokovice",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,000","CZK 34,000",Personal,Prefab concrete building,Furnished,No,No,Yes,Yes,No,Yes,No,22. 12. 2021,A,184,"1,160",166,909,419,319,274,110,388,177,10,,,,,,,,,,,
697999,"CZK 16,000",50.0287525,14.3618656,"Vítové, Prague - Hlubočepy",1 bedroom with open-plan kitchen,New build,52 m²,"CZK 3,000","CZK 24,000",Cooperative,Brick building,Partially furnished,Yes,No,No,No,No,Yes,No,10. 02. 2022,C,437,"1,318",559,"1,298",301,"1,336",529,769,854,542,5,Yes,1 to 10 years years,Premium materials and solutions,,Central heating,Middle floor,,,,,
696664,"CZK 12,500",50.02838,14.59518,"Oty Bubeníčka, Prague - Uhříněves",1 bedroom with open-plan kitchen,New build,47 m²,"CZK 3,000","CZK 30,000",Personal,Brick building,Partially furnished,No,No,No,Yes,No,Yes,Yes,20. 12. 2021,G,202,509,229,618,203,481,927,898,"1,134",325,2,,,,,,,,,,,
698322,"CZK 17,000",50.07683,14.46802,"náměstí Jiřího z Lobkovic, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,66 m²,"CZK 2,200","CZK 40,000",Personal,Brick building,Partially furnished,No,No,Yes,Yes,No,Yes,No,04. 01. 2022,D,147,439,67,299,57,280,20,784,143,118,3,,10 to 30 years years,Standard materials and solutions,,District heating,Middle floor,Overall,,,,
699145,"CZK 12,500",50.09338,14.36867,"Střešovická, Prague - Střešovice",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 4,000","CZK 16,500",Personal,Brick building,Partially furnished,No,No,No,No,No,No,No,01. 02. 2022,G,202,"1,053",650,"1,257",290,957,759,"1,339",216,163,1,,10 to 30 years years,,,Gas boiler,Ground floor,,,,,
