Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Total number of floors,Front garden,Heating,Renovation,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
484129,"CZK 13,500",50.1028214,14.5708852,"Vašátkova, Prague - Černý Most",1 bedroom with open-plan kitchen,,50 m²,"CZK 2,330","CZK 13,500",Personal,Prefab concrete building,Partially furnished,1,No,No,No,No,No,No,No,07. 02. 2022,,223,"1,207",345,978,477,589,396,540,418,,,1 to 10 years years,Standard materials and solutions,Ground floor,,District heating,Overall,,,,,
645720,"CZK 12,000",50.003901,14.405669,"Komořanská, Prague - Modřany",1 bedroom with open-plan kitchen,Excellent,41 m²,"CZK 2,000","CZK 15,000",Personal,Prefab concrete building,Partially furnished,2,No,No,No,No,No,No,Yes,01. 04. 2022,C,140,"1,036",152,"1,078",108,130,138,177,787,73,,,,Middle floor,,,,,,,,
459187,"CZK 17,000",50.0199331,14.4536045,"V Štíhlách, Prague - Krč",1 bedroom with open-plan kitchen,New build,63 m²,"CZK 3,000",,Personal,Other,Furnished,10,Yes,No,Yes,No,Yes,No,No,,B,137,250,134,"1,494",348,238,910,962,844,544,,1 to 10 years years,,Middle floor,,,,,,,,
177743,"CZK 14,500",50.1110331231,14.4889452368,"Podvinný mlýn, Prague - Libeň",Studio,Excellent,55 m²,"CZK 3,500","CZK 20,000",Personal,Brick building,Furnished,1,No,Yes,No,No,No,Yes,Yes,01. 06. 2022,,572,936,718,782,252,650,624,730,449,360,,10 to 30 years years,Standard materials and solutions,Middle floor,,Central heating,,,,,,
407331,"CZK 14,000",50.0367847,14.3970151,"Švábova, Prague - Hlubočepy",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 2,000","CZK 16,000",Personal,Brick building,Partially furnished,,No,Yes,No,No,Yes,No,No,01. 04. 2022,C,292,"1,226",980,"1,291","1,116","1,028",686,,,,,,,Raised ground floor,50 m²,Gas boiler,,,,,,
705541,"CZK 12,000",50.07697,14.46556,"Slezská, Prague - Vinohrady",1 bedroom,Excellent,53 m²,"CZK 4,600","CZK 20,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,G,147,327,188,434,176,401,101,719,145,122,,,,,,,,,,,,
705478,"CZK 45,000",50.07848,14.42791,"Krakovská, Prague - Nové Město",2 bedroom with open-plan kitchen,New build,110 m²,"CZK 9,000","CZK 45,000",Personal,Prefab concrete building,Furnished,5,Yes,Yes,No,No,No,Yes,Yes,07. 02. 2022,A,243,661,215,230,104,322,458,539,202,445,,,,,,,,,,,,
423835,"CZK 10,000",50.1270946,14.4765722,Prague - Libeň,1 bedroom with open-plan kitchen,Excellent,19 m²,"CZK 1,000","CZK 11,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,07. 01. 2022,A,167,626,373,658,352,427,350,323,"1,071",355,,,Standard materials and solutions,,,Central heating,,,,,,
705461,"CZK 19,900",50.06194,14.43608,"Petra Rezka, Prague - Nusle",3 bedroom,Excellent,97 m²,"CZK 3,400","CZK 46,600",Personal,Other,Unfurnished,3,Yes,No,No,No,No,Yes,No,07. 02. 2022,G,167,614,151,528,121,457,121,445,399,278,,,,,,,,,,,,
430813,"CZK 19,900",50.1262741,14.4319591,"Velká skála, Prague - Troja",2 bedroom with open-plan kitchen,Excellent,80 m²,"CZK 5,000","CZK 35,000",Personal,Brick building,Furnished,2,No,Yes,No,No,Yes,No,No,01. 04. 2022,A,361,626,69,"1,243",574,"1,042",547,475,481,469,,,,,,District heating,,,,,,
616328,"CZK 11,500",50.101137,14.369987,Prague - Dejvice,1 bedroom,Excellent,50 m²,"CZK 2,700","CZK 11,500",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,01. 04. 2022,,262,864,505,501,382,410,807,790,839,377,,,Standard materials and solutions,Ground floor,50 m²,Central heating,Overall,,,,,
604344,"CZK 14,000",50.056015,14.441224,"Na Veselí, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,55 m²,CZK 990,"CZK 14,000",Cooperative,Brick building,Partially furnished,2,No,No,Yes,No,No,No,No,01. 06. 2020,,27,"1,158",180,647,119,537,375,349,"1,067",149,,,,,,Gas boiler,,,,,,
488832,"CZK 11,000",50.0576298,14.2845344,"Sazovická, Prague - Zličín",Studio,,40 m²,"CZK 3,280","CZK 20,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,,A,214,"1,023",643,572,778,697,167,919,208,,,,,,,,,,,,,
705362,"CZK 15,000",50.10341,14.51085,"Pod Harfou, Prague - Vysočany",1 bedroom with open-plan kitchen,New build,54 m²,"CZK 4,300","CZK 20,000",Personal,Brick building,Furnished,5,Yes,No,No,No,No,No,No,01. 03. 2022,C,344,162,"1,197",617,893,"1,249",972,45,,,,,,,,,,,,,,
495644,"CZK 12,000",50.0296532,14.449589,"Štúrova, Prague - Krč",Small studio,,24 m²,"CZK 2,000","CZK 15,000",Personal,Prefab concrete building,Partially furnished,3,No,No,Yes,No,No,No,Yes,01. 03. 2022,C,312,"1,483",0,0,761,"1,031","1,357",748,569,,,,Premium materials and solutions,,,,,,,,,
705335,"CZK 18,000",50.08962,14.46521,"Koněvova, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,500","CZK 10,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,G,139,750,163,51,36,309,640,670,545,200,,,,,,,,,,,,
423801,"CZK 16,500",50.0987807,14.395203,"Kafkova, Prague - Dejvice",1 bedroom with open-plan kitchen,,52 m²,"CZK 3,500","CZK 35,000",Personal,Brick building,Furnished,5,No,No,No,No,No,No,No,01. 09. 2020,D,71,69,166,157,84,176,598,362,374,189,,1 to 10 years years,Premium materials and solutions,Top floor,,Gas boiler,Interior,,,,,
361871,"CZK 13,500",50.1341967,14.5084069,"Vratimovská, Prague - Letňany",2 bedroom,,50 m²,"CZK 2,950","CZK 17,000",Personal,Prefab concrete building,Partially furnished,6,Yes,No,No,No,No,No,No,07. 02. 2022,C,120,837,185,513,386,385,63,330,218,232,,,,,,,Overall,,,,,
