Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Cellar,Lift,Domácí mazlíčci vítáni,Enclosed balcony,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Heating,Designe,Ownership,Reconstruction,Age,Terrace,Parking,New-build,Balcony,Garage,Administrative fee,Plot type
"CZK 21,000","CZK 5,000","CZK 21,000",625005,2 bedroom,9/1/2022,1,D,57 m²,Fully furnished,Very good,Brick,,,,,204.28,447.36,120.4,316.12,133.65,468.15,168.81,137.77,299.77,570.13,"Husinecká, Prague - Žižkov",50.085831,14.446835,Gas boiler,Standard,Personal,Interior,10 to 30 years,,,,,,,
"CZK 9,000","CZK 2,250","CZK 11,250",594331,4+1,9/1/2022,2,D,75 m²,Fully furnished,Very good,Prefab concrete,,,,,352.03,955.04,652.99,1168.73,624.96,604.85,856.1,628.72,422.98,44.94,"Luhovská, Prague - Kobylisy",50.127727,14.439651,Distance,,Personal,Complete,,,,,,,,
"CZK 8,500",CZK 0,"CZK 8,500",574536,3+kk,9/1/2022,3,,18 m²,Fully furnished,Very good,Brick,1.0,,,,357.73,1016.28,61.7,529.41,268.77,899.07,341.86,258.03,919.3,325.61,"U Družstva Ideál, Prague - Nusle",50.0564863,14.4456659,Gas boiler,Standard,Personal,Interior,Over 50 years,,,,,,,
"CZK 23,000","CZK 1,000","CZK 30,000",731903,2+kk,10/1/2022,2,G,81 m²,Partly,Very good,Brick,,,,,378.93,951.45,269.95,786.53,428.13,920.27,279.63,122.79,839.47,361.04,Prague - Nusle,50.05516,14.44648,,,Personal,Complete,,,,,,,,
"CZK 22,000","CZK 3,500","CZK 44,000",731901,2+kk,9/29/2022,7,E,50 m²,Fully furnished,New-build,Low-energy,,,,,311.79,937.12,217.43,494.16,172.3,251.34,607.78,1093.67,297.97,798.29,Prague - Holešovice,50.10363,14.43617,,,,,,1.0,,,,,,
"CZK 14,900","CZK 4,900","CZK 20,000",635038,Studio,10/1/2022,4,B,32 m²,Fully furnished,Very good,Other,,1.0,,,474.8,735.23,455.41,409.77,278.71,696.77,513.44,390.75,684.01,221.88,"Freyova, Prague - Vysočany",50.105327,14.50215,Central,Standard,Personal,,Up to 10 years,,1.0,1.0,,1.0,,
"CZK 21,000","CZK 4,000","CZK 20,998",731894,2+kk,8/31/2022,6,A,63 m²,Fully furnished,New-build,Brick,1.0,1.0,,1.0,370.35,1846.99,68.29,1521.54,1168.02,656.18,967.96,1256.29,959.81,91.64,Prague - Vysočany,50.1043,14.51031,,,,,,1.0,1.0,1.0,1.0,1.0,,
"CZK 14,500",CZK 682,"CZK 30,400",727527,Studio,9/23/2022,2,E,32 m²,Unfurnished,Good,Brick,1.0,1.0,,,134.1,1231.17,484.46,487.91,0.66,491.14,797.02,376.04,364.68,547.87,"5. května, Prague - Nusle",50.05624815,14.43716165,,Standard,Personal,Interior,,,,,,,,
"CZK 14,900","CZK 3,600","CZK 25,000",731416,Studio,9/1/2022,1,C,45 m²,Partly,Very good,Brick,,,,,130.19,920.68,265.95,859.06,491.81,519.79,180.24,489.43,700.02,156.93,Prague - Prosek,50.11869,14.48924,Distance,,,,,1.0,,,,,,
"CZK 19,800","CZK 6,600",,731893,3+1,9/23/2022,5,,90 m²,Fully furnished,,,,1.0,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,
