Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Renovation,Age,Total number of floors,New building,Front garden,Developer name,Project name,Kód jednotky,Administration fee
684015,"CZK 8,000",50.1021,14.56863,"Vašátkova, Prague - Černý Most",Studio,25 m²,"CZK 1,000",Unfurnished,7,No,No,No,No,No,Yes,No,01. 11. 2021,126,"1,098",236,"1,170",668,771,442,431,"1,432",367,Good,"CZK 8,000",Cooperative,Prefab concrete building,E,Standard materials and solutions,District heating,Interior,,Top floor,,,,,,
674119,"CZK 11,000",50.0535,14.4193,"U Kublova, Prague - Podolí",Studio,29 m²,"CZK 1,000",Partially furnished,3,No,No,Yes,No,No,No,No,12. 12. 2021,197,758,83,579,111,776,561,"1,132",113,258,Excellent,"CZK 22,000",Personal,Brick building,G,Premium materials and solutions,Other,Overall,1 to 10 years years,Middle floor,,,,,,
695678,"CZK 15,000",50.0596,14.42716,"Marie Cibulkové, Prague - Nusle",2 bedroom,60 m²,"CZK 4,000",Unfurnished,2,No,No,Yes,No,No,Yes,No,01. 01. 2022,74,644,172,383,119,423,536,222,113,330,Excellent,"CZK 15,000",Personal,Brick building,G,Standard materials and solutions,Gas boiler,,,Middle floor,,,,,,
666834,"CZK 16,000",50.0667,14.39653,"U Nikolajky, Prague - Smíchov",2 bedroom,69 m²,CZK 440,Partially furnished,2,Yes,No,No,No,No,No,No,01. 01. 2022,236,378,464,734,144,465,325,538,768,338,Excellent,"CZK 32,000",Personal,Brick building,D,,,,,,,,,,,
608954,"CZK 16,000",50.0905802,14.3505593,"Janouškova, Prague - Veleslavín",2 bedroom,55 m²,"CZK 5,000",Furnished,1,No,No,No,No,No,No,No,01. 02. 2022,116,258,112,618,247,392,463,316,364,283,Excellent,"CZK 32,000",Personal,Prefab concrete building,C,Standard materials and solutions,District heating,,,Raised ground floor,,,,,,
162035,"CZK 9,000",50.0257033,14.436275,"Nad lesním divadlem, Prague - Braník",Small studio,24 m²,"CZK 2,000",Partially furnished,8,No,No,No,No,No,Yes,No,,227,270,228,240,317,296,689,373,901,378,,"CZK 5,000",Personal,Prefab concrete building,,,,,,,Yes,,,,,
696139,"CZK 11,500",50.07041,14.45537,"Madridská, Prague - Vršovice",1 bedroom,50 m²,"CZK 1,000",Furnished,1,No,No,No,No,No,No,No,01. 01. 2022,314,509,176,286,136,284,227,16,462,68,Excellent,,Cooperative,Brick building,G,,,,,,,,,,,
297556,"CZK 15,900",50.1050666,14.5181109,"Sousedíkova, Prague - Vysočany",1 bedroom with open-plan kitchen,60 m²,"CZK 3,600",Partially furnished,2,Yes,No,No,No,Yes,Yes,No,10. 01. 2022,350,601,"1,064",610,"1,312","1,115",872,130,,,New build,"CZK 30,000",Personal,Brick building,,,,,,Middle floor,Yes,,,,,
695414,"CZK 10,000",50.09681,14.3476,Prague - Vokovice,Studio,24 m²,"CZK 2,800",Partially furnished,6,No,No,No,No,No,Yes,No,07. 12. 2021,93,"1,136",101,802,346,212,203,202,480,221,Good,"CZK 10,000",Personal,Prefab concrete building,G,Standard materials and solutions,District heating,,10 to 30 years years,Middle floor,,,,,,
583211,"CZK 36,000",50.10506,14.45906,"Sanderova, Prague - Holešovice",2 bedroom with open-plan kitchen,97 m²,"CZK 7,000",Furnished,4,Yes,Yes,Yes,No,Yes,Yes,No,01. 02. 2022,242,"1,008",371,681,181,504,876,"1,012",488,115,New build,"CZK 72,000",Personal,Other,B,,District heating,,,,,,,,,
