Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Total number of floors,Renovation,Heating,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
682864,"CZK 12,500",50.03941,14.32119,"Wiesenthalova, Prague - Řeporyje",Studio,New build,38 m²,"CZK 4,400","CZK 30,000",Personal,Brick building,Furnished,1,Yes,No,Yes,No,No,Yes,No,11. 04. 2022,B,293,"1,025",669,882,729,946,583,965,874,238,1 to 10 years years,,Middle floor,Interior,District heating,,,,,,,
432359,"CZK 17,000",50.0696377,14.4876275,"Gutova, Prague - Strašnice",2 bedroom,,55 m²,"CZK 2,000","CZK 17,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,03. 04. 2022,A,159,934,615,686,150,372,433,790,396,327,,,,,,,,,,,,
711129,"CZK 13,500",50.06745,14.40788,"Na Valentince, Prague - Smíchov",Studio,New build,32 m²,"CZK 3,000","CZK 13,500",Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,Yes,No,28. 03. 2022,C,132,600,326,571,182,496,845,"1,083",589,338,,,,,,,,,,,,
711127,"CZK 13,500",50.07148,14.40961,"Na Celné, Prague - Smíchov",1 bedroom,Excellent,33 m²,"CZK 3,500","CZK 27,000",Personal,Brick building,Partially furnished,3,No,No,No,Yes,No,No,No,10. 04. 2022,G,214,652,142,149,141,550,692,943,816,375,,Standard materials and solutions,Top floor,,Electric boiler,,,,,,,
310693,"CZK 14,500",50.0747109,14.4995468,Prague - Strašnice,1 bedroom with open-plan kitchen,,55 m²,"CZK 3,500","CZK 18,000",Personal,Brick building,Furnished,,No,Yes,No,No,No,No,No,,,329,708,175,819,108,816,120,275,865,412,,,Ground floor,,,,,,,,,
476622,"CZK 8,000",50.0847625,14.5099854,"Malešická, Prague - Malešice",Small studio,,25 m²,"CZK 2,000","CZK 10,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,03. 04. 2022,,24,813,256,832,179,584,831,660,452,328,,,Middle floor,,District heating,,30 m²,,,,,
708777,"CZK 110,250",50.0909662,14.4174193,"Břehová, Prague - Josefov",5 bedroom,,222 m²,"CZK 36,750",,,,Furnished,6,Yes,Yes,No,No,No,Yes,No,21. 04. 2022,,60,336,266,417,6,503,391,634,138,634,,,,,,,,,,,,
711752,"CZK 14,000",50.0067092,14.4358546,"Levského, Prague - Modřany",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 2,300","CZK 20,000",Personal,Prefab concrete building,Partially furnished,3,No,No,No,Yes,No,Yes,No,01. 04. 2022,G,233,"1,446",784,"1,434",294,"1,262",910,346,718,142,,,,,,,,,,,,
301227,"CZK 7,000",50.0707563,14.381343,"Pod radnicí, Prague - Košíře",Studio,,27 m²,"CZK 3,000","CZK 15,000",Personal,Brick building,Partially furnished,,No,No,No,No,No,No,No,,,97,628,88,"1,003",143,"1,110",1,613,"1,070",381,,,,,,,,,,,,
597330,"CZK 12,000",50.066052,14.460206,"Přípotoční, Prague - Vršovice",Studio,Excellent,30 m²,"CZK 1,500","CZK 11,500",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,No,01. 04. 2022,C,109,552,123,480,2,588,561,340,200,234,,,,Overall,,,,,,,,
338040,"CZK 16,000",50.0400835249,14.4973857442,"Babická, Prague - Chodov",1 bedroom with open-plan kitchen,Excellent,56 m²,"CZK 5,000","CZK 42,000",Personal,Brick building,Furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,01. 06. 2022,C,209,"1,219",338,"1,359",220,"1,098",826,"1,054",721,489,10 to 30 years years,Standard materials and solutions,Top floor,,District heating,,,,,,,
711750,"CZK 12,000",50.08729,14.41543,Prague - Staré Město,2 bedroom,Excellent,145 m²,"CZK 1,000","CZK 13,000",Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,25. 03. 2022,B,139,307,285,202,12,476,161,707,487,227,,,,,,,,,,,,
668931,"CZK 13,900",50.0733,14.39517,"Grafická, Prague - Smíchov",Studio,New build,34 m²,"CZK 2,100","CZK 27,800",Personal,Brick building,Furnished,1,No,Yes,No,No,No,No,No,01. 04. 2022,G,219,826,112,517,59,608,33,"1,064",874,365,1 to 10 years years,Standard materials and solutions,Ground floor,Overall,District heating,,,,,,,
577064,"CZK 17,100",50.1027788,14.3748352,"U Hadovky, Prague - Dejvice",2 bedroom,Excellent,63 m²,"CZK 2,850","CZK 18,000",Cooperative,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,11. 04. 2022,D,261,"1,397",338,"1,034",337,306,502,635,535,425,over 50 years years,Standard materials and solutions,Raised ground floor,Interior,Gas boiler,,,,,,,
711387,"CZK 15,500",50.06963,14.47475,"Lvovská, Prague - Vršovice",2 bedroom,Excellent,61 m²,"CZK 5,500","CZK 21,000",Personal,Brick building,Partially furnished,4,Yes,No,Yes,No,No,Yes,No,01. 04. 2022,G,197,330,194,417,146,377,135,142,120,160,,,,,,,,,,,,
550879,"CZK 12,900",50.0639544,14.2854037,"Lačnovská, Prague - Zličín",Studio,New build,36 m²,"CZK 2,839","CZK 25,800",Personal,Low-energy building,Furnished,2,Yes,No,No,No,Yes,No,No,01. 04. 2022,B,304,361,"1,215","1,060",875,"1,338",551,,,,1 to 10 years years,Premium materials and solutions,Middle floor,,Other,Yes,,,,,,
711745,"CZK 15,500",50.0732478,14.3957879,"Grafická, Prague - Smíchov",Studio,New build,30 m²,"CZK 2,600","CZK 30,000",Personal,Low-energy building,Unfurnished,1,No,Yes,Yes,No,No,Yes,No,25. 03. 2022,B,198,802,134,493,35,566,79,"1,139",850,325,,,,,,,,,,,,
711743,"CZK 9,000",50.12099,14.45387,"Kubišova, Prague - Libeň",1 bedroom with open-plan kitchen,Good,44 m²,"CZK 1,000","CZK 9,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,20. 04. 2022,G,272,618,256,255,290,339,474,693,"1,207",468,,,,,,,,,,,,
